cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,face_rub,0,sys_0,{Name}的阴茎在{TargetName}的脸上剐蹭，从额头戳到鼻子、脸颊、下巴，感受着{TargetName}的脸颊的触感和{TargetName}的呼吸打在阴茎上的感觉
1,face_rub,0,sys_0,{Name}的阴茎胡乱地在{TargetName}的脸上摩擦着，腥臭而粘稠的先走汁一时使得{TargetName}难以睁开眼，这般反应反而使得{Name}更加兴奋，继续在{TargetName}脸上释放着兽欲。
2,face_rub,0,sys_0,{Name}将肉棒压在{TargetName}的脸上反复刮擦着，因为兴奋而从马眼溢出的先走汁甚至微微晕开了{TargetName}的妆容。
3,face_rub,0,sys_0,{Name}滚烫的肉棒反复摩擦着{TargetName}脸部，无论是坚挺的鼻子还是柔软的脸颊，{Name}都能通过改变摩擦的速度和力道来获取着病态的快感。
4,face_rub,0,sys_0,{Name}在{TargetName}脸上狂乱的性行为使得{TargetName}只能半闭着眼睛忍受着，略微皱眉的表情进一步刺激了{Name}，违背常理的行为将{Name}的快感进一步放大。
1000,face_rub,0,sys_0,{TargetName}羞涩地靠近{Name}的下体，小心翼翼地将脸颊贴在勃起的阴茎上，柔嫩的皮肤与粗糙的肉棒形成鲜明对比，她微微转动着脸，用温热的脸颊为{Name}带来异样的快感，同时不安地闭上眼睛，试图忽略这种羞耻的行为。
1001,face_rub,0,sys_0,{Name}将硕大的阴茎压在{TargetName}精致的脸庞上，随着每一次移动，{TargetName}的皮肤都能感受到上面跳动的脉搏，她顺从地保持不动，任由{Name}的体液沾湿她的脸颊，留下淫靡的痕迹，她的睫毛微微颤抖，显示出内心的不安。
1002,face_rub,0,sys_0,{TargetName}轻轻地用自己娇嫩的脸颊摩擦着{Name}的阴茎，她红润的双颊因羞耻而发烫，这种温度反而给{Name}带来更多的刺激，每当粗大的龟头划过她的眉毛或是唇角时，她都会不由自主地轻轻颤抖，却依然努力保持着服务的姿态。
1003,face_rub,0,sys_0,{Name}紧紧抓住{TargetName}的头发，强制性地让自己的阴茎在她光滑的脸上来回滑动，{TargetName}微微皱眉，但还是尽量放松面部肌肉，让自己的脸颊为{Name}提供最佳的触感，她眼中闪烁的泪光反而成为了最好的催情剂。
1004,face_rub,0,sys_0,{TargetName}按照{Name}的指示，将脸贴在勃发的肉棒上，轻轻摇晃着头部，用自己细腻的脸庞服务着{Name}，她能清晰地感受到阴茎上每一根血管的形状，而当前端的小孔渗出液体时，她强忍着不适，继续着这种屈辱的侍奉。
1005,face_rub,0,sys_0,{Name}的阴茎在{TargetName}精致的面容上横冲直撞，从光洁的额头一直到小巧的下巴，无一处不被侵犯，{TargetName}只能闭上眼睛，承受着这种异样的摩擦，她柔软的脸颊被迫成为{Name}发泄欲望的工具，而她却无法拒绝这样的对待。
1006,face_rub,0,sys_0,{TargetName}僵硬地躺着，让{Name}用坚硬的肉棒在她脸上来回摩擦，她的鼻尖、眉心、嘴角都成为了{Name}刻意照顾的敏感区域，每当龟头划过她的唇角时，{TargetName}都会不自觉地微微张开嘴，但又立刻紧闭，这种矛盾的反应更加刺激了{Name}的欲望。
1007,face_rub,0,sys_0,{Name}抓住{TargetName}的下巴，将自己粗壮的阴茎贴在她白皙的脸庞上摩擦，{TargetName}温顺地配合着，时而用自己柔软的脸颊轻轻蹭动，时而保持不动让{Name}主导，她的眼神中混合着屈辱与努力取悦的复杂情绪，这种对比让{Name}的征服欲得到极大满足。
1008,face_rub,0,sys_0,{TargetName}小心翼翼地将脸靠近{Name}的下体，开始用自己娇嫩的脸颊轻轻摩擦着勃起的阴茎，她能清晰感受到那上面的热度和脉动，偶尔渗出的前液沾湿了她的皮肤，但她只是轻轻咬唇，继续着这种异样的侍奉，希望能够满足{Name}的特殊要求。
1009,face_rub,0,sys_0,{Name}的阴茎在{TargetName}白皙的脸上留下湿漉漉的痕迹，从眉心到鼻尖，再到红润的双唇，无一处不被亵玩，{TargetName}强忍着羞耻，甚至主动转动着脸，用不同的角度和部位为{Name}提供刺激，她闭着眼的表情既是逃避现实，又是专注于服务。
1010,face_rub,0,sys_0,{TargetName}的脸颊被{Name}的肉棒反复摩擦着，她能感受到那上面每一个细微的纹理和脉动，当{Name}将龟头压在她的鼻尖时，那浓郁的气味让她微微皱眉，但她还是配合地用自己光滑的肌肤服侍着{Name}，脸上的温度因羞耻而不断升高。
1011,face_rub,0,sys_0,{Name}用手指轻轻抚摸着{TargetName}的脸，随后将自己的阴茎贴上，开始在她精致的五官间来回滑动，{TargetName}的睫毛微微颤抖，但她还是保持着顺从的姿态，任由{Name}的阴茎在她脸上进出，她柔软的脸颊被迫成为了提供快感的工具。
1012,face_rub,0,sys_0,{TargetName}低着头，让{Name}将阴茎放在她的脸颊上，她能清晰地感受到那上面的热度和脉动，当{Name}开始移动时，她轻轻地跟随着节奏摆动自己的头部，用最大的表面积去接触{Name}的敏感部位，虽然内心充满羞耻，但她还是尽力做到最好。
1013,face_rub,0,sys_0,{Name}粗暴地将阴茎压在{TargetName}精致的脸庞上，像是打上标记一般来回摩擦，{TargetName}的脸上很快布满了湿滑的痕迹，她微微张开嘴想要呼吸，却不小心碰到了{Name}的阴茎，这意外的接触让{Name}更加兴奋，而{TargetName}则羞红了脸。
1014,face_rub,0,sys_0,{TargetName}半躺着，让{Name}跪在她的脸旁，用勃起的肉棒在她脸上缓慢滑动，从光洁的额头到小巧的下巴，每一寸肌肤都被照顾到，{TargetName}尽量放松面部肌肉，让自己的脸成为{Name}最好的"玩具"，尽管内心充满抗拒，但她的表情却尽量保持平静。
1015,face_rub,0,sys_0,{Name}的阴茎在{TargetName}脸上前后摩擦，每一次移动都带出一丝前液，沾湿了{TargetName}的皮肤，她能感受到那上面的每一次跳动，当龟头划过她的唇角时，她本能地想要转头避开，却被{Name}牢牢固定住，只能继续承受这种特殊的玩弄。
1016,face_rub,0,sys_0,{TargetName}闭着眼睛，将自己柔软的脸颊贴在{Name}硬挺的阴茎上，轻轻地来回蹭动，她能感受到那上面的每一处纹理，以及不断升高的温度，当{Name}发出满足的叹息时，她微微加快了速度，希望能够尽快结束这种羞耻的行为。
1017,face_rub,0,sys_0,{Name}的阴茎在{TargetName}白皙的脸庞上肆意妄为，从眉心到鼻尖，再到红润的双唇，每一处都被反复摩擦，{TargetName}只能紧闭双眼，承受着这种特殊的对待，她的脸颊因为摩擦而微微发热，这种温度反而给{Name}带来更多的刺激。
1018,face_rub,0,sys_0,{TargetName}轻轻摇晃着头部，让自己的脸与{Name}的阴茎充分接触，她能感受到那上面的脉动，以及不断流出的粘稠液体，虽然内心充满抗拒，但她还是尽可能地取悦{Name}，希望能够获得一丝喘息的机会。
1019,face_rub,0,sys_0,{Name}握住自己的阴茎，轻轻拍打着{TargetName}的脸颊，随后开始在她脸上来回滑动，{TargetName}的眼角微微湿润，但她还是保持着顺从的姿态，任由{Name}用自己的脸来获取快感，她能感受到那上面每一次的脉动和热度。
1020,face_rub,0,sys_0,{TargetName}温顺地躺着，让{Name}将勃起的阴茎放在她脸上，随着{Name}的动作，她的脸被迫成为了取悦工具，从鼻尖到脸颊，再到额头，每一处都被细心照顾，她的表情虽然平静，但微微颤抖的睫毛却暴露了内心的不安。
1021,face_rub,0,sys_0,{Name}将龟头抵在{TargetName}的脸颊上，慢慢地画着圈，感受着她细腻的肌肤带来的特殊触感，{TargetName}紧闭双眼，努力控制自己不要表现出厌恶，当{Name}加大力度时，她的脸颊被微微压陷，这种视觉冲击让{Name}更加兴奋。
1022,face_rub,0,sys_0,{TargetName}小心翼翼地将脸贴近{Name}的阴茎，开始用自己娇嫩的面颊轻轻摩擦，她能感受到那上面的热度和硬度，以及不时跳动的脉搏，虽然内心充满羞耻，但她还是尽量用不同的角度和力度去取悦{Name}，希望能够得到一丝认可。
1023,face_rub,0,sys_0,{Name}的肉棒在{TargetName}精致的五官间来回滑动，从眉心到鼻尖，再到嘴角，每一处都被细心照顾，{TargetName}只能闭上眼睛，承受着这种特殊的侵犯，她的脸上很快沾满了{Name}的体液，这种标记般的行为让{Name}感到莫大的满足。
1024,face_rub,0,sys_0,{TargetName}用自己柔软的脸颊贴在{Name}的阴茎上，随着{Name}的动作，轻轻地前后移动，她能感受到那上面的每一处纹理和脉动，当龟头划过她的唇角时，她微微紧张，但还是继续着这种特殊的服务，尽管内心充满抗拒。
1025,face_rub,0,sys_0,{Name}将阴茎放在{TargetName}的脸上，开始缓慢地前后移动，感受着她细腻的肌肤带来的特殊触感，{TargetName}微微皱眉，但还是保持着顺从的姿态，她能清晰地感受到那上面的热度和脉动，以及不断增加的湿滑液体。
1026,face_rub,0,sys_0,{TargetName}低着头，让{Name}将阴茎放在她的脸颊上，开始轻轻地摩擦，她的睫毛微微颤抖，但还是尽量放松面部肌肉，为{Name}提供最舒适的触感，当{Name}加快速度时，她的脸上很快布满了湿滑的痕迹，这种标记让{Name}感到莫大的征服欲。
1027,face_rub,0,sys_0,{Name}握住自己的阴茎，开始在{TargetName}精致的脸庞上来回滑动，从光洁的额头到小巧的下巴，每一处都被细心照顾，{TargetName}只能闭上眼睛，承受着这种特殊的对待，她的脸上很快沾满了{Name}的体液，这种侵犯让{Name}感到无比的兴奋。
1028,face_rub,0,sys_0,{TargetName}温顺地将脸贴在{Name}的阴茎上，开始轻轻地摇晃头部，用自己柔软的脸颊为{Name}提供刺激，她能感受到那上面的每一次脉动，以及不断升高的温度，虽然内心充满羞耻，但她还是尽力做到最好，希望能够尽快结束这种行为。
1029,face_rub,0,sys_0,{Name}的阴茎在{TargetName}脸上肆意妄为，从眉心到鼻尖，再到红润的双唇，无一处不被照顾，{TargetName}紧闭双眼，承受着这种特殊的对待，每当龟头划过她的唇角时，她都会不自觉地微微张嘴，这种无意识的反应更加刺激了{Name}的欲望。
1030,face_rub,0,sys_0,{TargetName}躺在{Name}身下，让{Name}将阴茎放在她的脸上，开始前后移动，她能感受到那上面的热度和脉动，以及不断增加的湿滑液体，虽然内心充满抗拒，但她还是保持着顺从的姿态，任由{Name}用自己的脸来获取快感。
1031,face_rub,0,sys_0,{Name}紧紧抓住{TargetName}的头发，将自己的阴茎按在她脸上，开始快速地摩擦，{TargetName}的脸很快变得通红，既是因为羞耻，也是因为摩擦的热度，她的眼角微微湿润，但还是努力配合着{Name}的动作，希望能够尽快结束这种羞辱。
1032,face_rub,0,sys_0,{TargetName}小心翼翼地将脸贴在{Name}的阴茎上，开始轻轻地来回蹭动，她能感受到那上面的每一处纹理和脉动，当{Name}发出满足的叹息时，她微微加快了速度，用自己柔软的脸颊为{Name}提供更多的刺激，尽管内心充满羞耻。
1033,face_rub,0,sys_0,{Name}的肉棒在{TargetName}精致的五官间来回滑动，从眉心到鼻尖，再到嘴角，每一处都被细心照顾，{TargetName}只能闭上眼睛，承受着这种特殊的侵犯，她的脸上很快沾满了{Name}的体液，这种标记般的行为让{Name}感到莫大的满足。
1034,face_rub,0,sys_0,{TargetName}用自己柔软的脸颊贴在{Name}的阴茎上，随着{Name}的动作，轻轻地前后移动，她能感受到那上面的每一处纹理和脉动，当龟头划过她的唇角时，她微微紧张，但还是继续着这种特殊的服务，尽管内心充满抗拒。
