cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,examine_horn,0,CVP_A2_T|102_E_1&CVP_A2_A|101_LE_3,{Name}仔细检查着幼小{TargetName}头顶上的兽角，用手指轻轻抚过角的表面和根部。\n小小的兽角有着细腻的纹理，在{Name}的指尖下显得异常稚嫩。\n{TargetName}对这种检查感到好奇，虽然兽角被触碰但感觉并不强烈，她眨着天真的大眼睛看着{Name}。\n博士将医用仪器贴近角根部测量，小女孩的角根连接处皮肤呈现出独特的过渡色泽，手指滑过这里时，小幼女只是轻轻歪了下头。\n{Name}假装专业地记录着数据，实际上目光贪婪地流连于幼女稚嫩的兽角，手指故意在角根部多停留了几秒，感受着那微温的触感，低感度的小兽角并没有让{TargetName}产生太多反应，她只是安静地配合着这次检查。
1001,examine_horn,0,CVP_A2_T|102_E_1&CVP_A2_A|101_LE_3,{Name}用特制的测量工具环绕着{TargetName}的小兽角，从角尖到角根部逐一检查。\n幼女的兽角在灯光下呈现出独特的质感，小巧而略带弧度，表面有着细微的纹理。\n{Name}的手指在角的表面来回抚摸，测试其硬度和弹性，小女孩只是偶尔轻轻摇晃脑袋，对这种检查并无特别反应。\n博士拿出放大镜仔细观察角根部与头皮的连接处，那里的皮肤尤为柔嫩，但{TargetName}的角感度较低，她只是好奇地眨眨眼睛，并不觉得不舒服。\n{Name}故意加重了按压兽角根部的力度，享受着那种独特的触感和掌控幼女身体的刺激，小女孩稍微皱了下眉头，但并没有表现出明显的快感反应，她天真地询问检查是否已经结束了。
1002,examine_horn,0,CVP_A2_T|102_E_1&CVP_A2_A|101_LE_3,{Name}让小小的{TargetName}坐在检查台上，双手捧住她的脸颊，仔细观察着她头顶上的幼嫩兽角。\n稚嫩的兽角表面光滑而有韧性，在{Name}的指尖下呈现出独特的质地，但缺乏明显的敏感反应。\n博士用测温仪检测角的温度分布，手指故意在角根部多次滑动，幼女只是轻轻摇晃着脑袋，眼神中流露出好奇。\n{Name}拿出特制的角质检查仪，轻轻按压兽角不同位置，记录着硬度和弹性数据，小女孩安静地配合着，低感度的兽角让她并不觉得这种检查有什么特别。\n博士的手指描绘着角上细微的纹理和纹路，那种稚嫩的触感让他心跳加速，但{TargetName}只是天真地望着他，完全没意识到博士内心的欲望。
1003,examine_horn,0,CVP_A2_T|102_E_1&CVP_A2_A|101_LE_3,{Name}让{TargetName}面对着强光灯，声称要检查兽角的内部结构和透光性。\n小女孩乖巧地配合着，幼小的身体坐在高高的检查台上，双脚悬空晃动。\n博士的手指从角尖开始，缓慢地滑向角根部，仔细感受着每一寸表面的质地变化，{TargetName}对这种触碰并没有特别反应，只是好奇地问着问题。\n{Name}拿出精密仪器测量角的各个维度，手指时不时在敏感度较低的角根部停留，小女孩偶尔微微歪头，但并未表现出明显的不适或快感。\n博士故意让检查时间延长，贪婪地享受着触摸幼女兽角的感觉，那种掌控和亵渎的刺激让他内心激动不已，而天真的{TargetName}完全没有察觉到这一切，只是乖巧地配合着。
1004,examine_horn,0,CVP_A2_T|102_E_1&CVP_A2_A|101_LE_3,{Name}仔细观察着{TargetName}头顶的小兽角，手持专业工具从各个角度进行测量。\n幼小的兽角在灯光下呈现出晶莹剔透的质感，表面光滑而富有弹性，让{Name}爱不释手。\n博士的手指轻轻抚过角根部与头皮的连接处，那里的皮肤格外嫩滑，但由于敏感度较低，小女孩只是微微侧头，并没有太多反应。\n{Name}用特制的检测仪轻轻敲击兽角不同位置，记录着回声数据，同时暗自享受着触摸幼女身体特殊部位的刺激感。\n小{TargetName}安静地坐着，偶尔抬眼望向博士，天真的目光中不含一丝杂质，她对这种检查并不排斥，只是单纯觉得有些无聊，完全不知道{Name}内心正在翻腾的龌龊想法。
1005,examine_horn,0,CVP_A2_T|102_E_1&CVP_A2_A|101_G_3&CVP_A2_A|101_LE_6,{Name}用手指轻轻触碰{TargetName}头顶上娇小的兽角，从角尖到角根部细致地检查着。\n幼女的兽角在触碰下微微颤动，中等敏感度让她感受到了明显的刺激，小脸上浮现出一丝困惑的红晕。\n博士的指尖在角根部轻轻打圈，按压那敏感的连接处，{TargetName}身体轻颤，发出细微的呜咽声，小手无意识地抓紧了检查台边缘。\n{Name}假装记录数据，实际上故意加重了按压力度，享受着小女孩因快感而微微扭动的反应，那种禁忌的刺激让他心跳加速。\n幼小的{TargetName}不明白为何角被触碰会有这种奇怪的感觉，她眨着湿润的大眼睛，身体时不时轻微颤抖，兽角传来的异样感受让她既困惑又本能地有些期待下一次触碰。
1006,examine_horn,0,CVP_A2_T|102_E_1&CVP_A2_A|101_G_3&CVP_A2_A|101_LE_6,{Name}拿出特制的测量工具，小心翼翼地接触{TargetName}稚嫩的兽角表面。\n幼女的兽角对触碰有着明显的敏感反应，当博士的手指滑过角根部时，她不由自主地颤抖了一下，发出短促的轻喘。\n{Name}假装专注于检查，实际上细致地观察着小女孩每一个微妙的反应，当手指再次按压角根部时，{TargetName}的小腿微微夹紧，眼神变得迷离。\n博士故意延长检查时间，反复刺激着那中等敏感的兽角，小女孩的呼吸变得不规律，粉嫩的小脸上泛起潮红，对这种陌生的感觉既害怕又好奇。\n{Name}的手指在角的表面来回摩擦，时轻时重，{TargetName}的身体随着触碰节奏微微晃动，她不知道为什么角被摸会让全身都感到奇怪，只能乖乖地任由博士继续这场“检查”。
1007,examine_horn,0,CVP_A2_T|102_E_1&CVP_A2_A|101_G_3&CVP_A2_A|101_LE_6,{Name}让{TargetName}坐在自己腿上，声称这样能更好地观察兽角的各个角度。\n幼小的女孩坐在博士腿上，当他的手指触碰到敏感的兽角时，她的小身体明显地战栗了一下，发出细微的呜咽声。\n{Name}一手扶着她的腰，一手仔细“检查”着兽角，指尖在角根部反复摩擦，小女孩的反应越来越明显，呼吸变得急促起来。\n博士装作专注于数据记录，实际上享受着{TargetName}因兽角被刺激而不断扭动的小屁股带来的触感，两重刺激让他险些控制不住自己。\n幼小的{TargetName}感到身体里升起一种陌生的热流，特别是当博士的手指在角根部打圈时，她不知道这种感觉意味着什么，只能用天真困惑的眼神望着{Name}，小手无意识地揪紧了自己的衣角。
1008,examine_horn,0,CVP_A2_T|102_E_1&CVP_A2_A|101_G_3&CVP_A2_A|101_LE_6,{Name}让小小的{TargetName}趴在检查台上，声称要测试兽角的各个角度和弹性。\n幼女乖巧地照做，当博士的手指触碰到中等敏感度的兽角时，她的小身体明显地绷紧了，发出一声短促的轻吟。\n{Name}一边记录数据一边暗自观察着小女孩的反应，当他的指尖故意在角根部多停留几秒时，{TargetName}的小腿不由自主地轻踢了几下，像小动物一样呜咽着。\n博士的手指沿着角的纹路来回滑动，时而轻柔时而用力，幼女的呼吸越来越不稳，小脸蛋上泛起红晕，眼神中闪烁着困惑和陌生的快感。\n{Name}假装测试角的敏感区域，实际上是在反复刺激最敏感的部位，小{TargetName}的身体微微颤抖，她困惑地扭动着，不明白为什么角被摸会让全身都感到奇怪，只能用湿润的眼睛望着博士，完全信任着这场“检查”的必要性。
1009,examine_horn,0,CVP_A2_T|102_E_1&CVP_A2_A|101_G_3&CVP_A2_A|101_LE_6,{Name}为{TargetName}的兽角涂上一层特殊的“检测液”，声称这样能更好地观察角质结构。\n小女孩好奇地望着博士的操作，当带着微凉液体的手指触碰她的兽角时，她身体一颤，发出了轻微的哼声。\n{Name}的手指在涂抹液体的过程中，故意加重了对角根部的按压和揉搓，{TargetName}的小手紧紧抓住检查台边缘，小腿不自觉地摩擦着。\n博士假装专注地记录数据，实际上贪婪地欣赏着幼女因兽角被刺激而表现出的每一丝反应，那种掌控和亵渎的快感让他兴奋不已。\n小小的{TargetName}不知道为何角被触碰会有这种奇怪的温热感，随着博士的动作，她的呼吸越来越急促，小脸越来越红，整个人在检查台上扭动着，蜷缩的脚趾暴露了她所感受到的异样快感。
1010,examine_horn,0,CVP_A2_T|102_E_1&CVP_A2_A|101_G_6,{Name}的手指刚刚触碰到{TargetName}幼小的兽角，她整个人就剧烈地颤抖起来，发出一声细微的呜咽。\n幼女的兽角异常敏感，哪怕是最轻微的抚触都能引发强烈的反应，小女孩的腿立刻紧紧地夹在了一起，眼睛瞬间湿润了。\n博士假装专业地检查着，手指轻轻划过角根部，{TargetName}立即弓起身子，发出一声似乎连自己都吓了一跳的甜腻呻吟，小手无助地抓紧了检查台。\n{Name}故意加重了触碰力度，幼小的身体因强烈的快感而剧烈抖动，她的眼睛迷离地望着天花板，完全无法理解自己身体为何会有如此强烈的反应。\n博士的手指在高敏感度的角根部打着圈，小女孩整个人像触电一样颤抖着，小腿无力地踢蹬，呼吸急促到几乎喘不过气来，她困惑而无助地看着{Name}，不明白为何简单的检查会让自己感觉如此奇怪。
1011,examine_horn,0,CVP_A2_T|102_E_1&CVP_A2_A|101_G_6,{Name}小心翼翼地用特制医疗器械接触{TargetName}的兽角，声称要测试其敏感度指数。\n幼女的兽角对任何接触都极度敏感，医疗器械刚碰到表面，她就浑身一颤，眼睛瞬间失焦，发出一声短促的高亢呻吟。\n博士记录着“数据”，手指故意在角根部反复摩擦，小女孩立即瘫软在检查台上，双腿无意识地夹紧又松开，小手紧紧抓住身下的床单，眼神中充满了对这种强烈感觉的恐惧和困惑。\n{Name}一边安抚着说这是正常的检查反应，一边继续刺激着高敏感的兽角，{TargetName}的小身体因为过度的刺激而不断扭动，嘴里发出断断续续的呜咽声，眼角挂着因快感而产生的泪珠。\n博士的手指沿着兽角的纹路来回抚摸，甚至轻轻捏住角根部揉捏，幼小的女孩立即剧烈颤抖，整个人蜷缩成一团，发出类似抽泣的声音，强烈的快感对她稚嫩的身心来说几乎是一种折磨，但{Name}却在这种反应中找到了极大的满足感。
1012,examine_horn,0,CVP_A2_T|102_E_1&CVP_A2_A|101_G_6,{Name}让{TargetName}坐在特制的检查椅上，声称要全面测试角部敏感度。\n小女孩乖乖地坐好，博士的手指刚接触到高敏感的兽角，她就整个人僵住了，随即发出一声细弱的尖叫，小手立即紧紧抓住椅子扶手。\n{Name}用测试笔轻轻滑过角根部，{TargetName}剧烈地弓起身子，双腿立即紧紧夹在一起，脚趾因强烈的快感而蜷缩，眼神中充满了无助和恐惧。\n博士假装记录数据，实际上贪婪地欣赏着幼女因敏感兽角被刺激而表现出的每一丝反应，他故意将检查时间拉长，反复刺激着最敏感的区域。\n小小的{TargetName}很快就因过度刺激而全身颤抖，呼吸急促而紊乱，小脸因强烈的快感而涨得通红，她甚至无法保持坐姿，整个人软倒在椅子上，双腿无意识地踢蹬着，异常敏感的兽角让她陷入了一种连自己都无法理解的快感漩涡中。
