cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,1003,0,high_1,胸部传来的阵阵快感让{Name}的呼吸变得急促而紊乱，她的双手无意识地抓紧了身下的表面，试图稳住自己颤抖的身体。\n敏感的乳尖在刺激下挺立，每一次触碰都引起她全身的轻微颤栗，使她不得不咬住下唇来阻止自己发出羞人的声音。\n尽管她竭力保持冷静，但{Name}泛红的脸颊和湿润的眼眸却出卖了她内心的感受，在博士{PlayerName}的注视下，她感到一种混合着羞耻与期待的奇妙情绪在心中蔓延。\n微弱的电流般的快感从胸部流向四肢百骸，让她的大腿根部不自觉地绷紧，一股暖流在小腹处汇聚，预示着即将到来的小高潮。
1001,1003,0,high_1,随着胸部敏感度的提升，{Name}感到一阵阵酥麻感从乳尖扩散开来，她的呼吸变得越来越急促，双眼半闭，沉浸在这种微妙的快感中无法自拔。\n她的乳房变得异常敏感，轻微的触碰都能引起她全身的战栗，使她的腰部不自觉地扭动，试图缓解这种甜蜜的折磨。\n在博士{PlayerName}的注视下，{Name}的脸颊染上了一层诱人的粉红，她的嘴唇微微张开，发出细碎而甜美的呻吟声，显示出她正在经历一次轻微的高潮。\n这种程度的快感虽然不至于让她完全失控，但足以让她的身体微微颤抖，双腿不自觉地夹紧，甚至连脚趾都因快感而蜷曲起来。
1002,1003,0,high_1,{Name}的胸部在持续的刺激下变得越来越敏感，她的乳尖硬挺得发疼，每一次触碰都引起一阵电流般的快感直达脊椎。\n她的呼吸变得短促而不规律，小腹随着一阵阵袭来的快感而紧绷又放松，双腿也不自觉地夹紧又分开，仿佛在追逐那即将到来的高潮。\n尽管{Name}努力保持理智，但她湿润的眼神和微张的嘴唇却暴露了她内心的渴望，在博士{PlayerName}面前展现出青涩又诱人的一面。\n当一波小高潮终于袭来时，她的身体轻微地颤抖着，胸膛剧烈起伏，一声短促的娇喘从她的喉咙深处溢出，然后迅速被她自己咬住下唇所阻止。
1003,1003,0,high_1,胸部的刺激让{Name}感到一阵阵热流从乳尖向全身扩散，她的身体变得异常敏感，连最轻微的接触都能引起她不受控制的颤抖。\n她的乳头变得坚硬而充血，随着刺激的持续，一种奇妙的酥麻感逐渐在她的小腹处聚集，让她不得不咬紧牙关抑制即将溢出的呻吟。\n在博士{PlayerName}的注视下，{Name}感到既紧张又兴奋，她的脸颊和耳尖都变得通红，眼神也变得迷离而湿润，显示出她正在经历一次小小的高潮。\n当那一瞬间来临时，她的腰部微微拱起，双手无意识地抓紧身下的表面，一阵甜蜜的战栗从胸部扩散到全身，让她的大腿内侧不自觉地绷紧，脚趾也因快感而蜷曲。
1004,1003,0,high_1,随着胸部快感的积累，{Name}感到自己的理智正在一点点溃散，她的乳尖变得异常敏感，每一次刺激都能引起她全身的颤抖和一声难以抑制的轻吟。\n她的呼吸变得急促而紊乱，小腹和大腿内侧的肌肉开始不规律地收缩，预示着一波小高潮即将来临。\n在博士{PlayerName}的注视下，{Name}的羞耻感和兴奋感交织在一起，她的眼神变得湿润而迷离，嘴唇微微张开，无声地渴求着更多。\n当那一瞬间终于来临时，她的身体轻微地痉挛着，一种甜美而短暂的释放感从胸部传遍全身，让她发出一声短促而满足的呻吟，随后又因羞耻而急忙咬住自己的下唇。
1005,1004,0,high_1,胸部的强烈刺激让{Name}再也无法保持冷静，一波又一波的快感如同潮水般席卷她的全身，使她的腰部不自觉地弓起，双手紧紧抓住身下的表面，指节因用力而发白。\n她的呼吸变得急促而破碎，胸膛剧烈起伏，乳尖变得异常坚硬和敏感，每一次触碰都能引起她全身的剧烈颤抖和一声控制不住的娇喘。\n在博士{PlayerName}的注视下，{Name}的理智逐渐崩溃，她的眼神变得迷离而涣散，泪水不自觉地从眼角滑落，嘴唇微张，唾液顺着嘴角流下，展现出一副完全沉浸在快感中的淫荡表情。\n当高潮终于来临时，她的身体猛地绷紧，腰部高高抬起，一声高亢的呻吟从她的喉咙深处迸发出来，双腿不受控制地颤抖着，脚趾因极度的快感而蜷曲。\n即使在高潮过后，她的身体仍然敏感得不可思议，轻微的触碰都能引起她的痉挛，余韵持续在她体内回荡，让她的呼吸久久不能平复。
