cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,1009,0,CVP_A1_ShootPos|C4_E_1,\n{Name}将勃起的阴茎贴在{TargetName}的口饰上，用力摩擦几下后射出一股精液，白浊液体洒在精致的口饰上，缓缓滑落\n{TargetName}感受到嘴边传来的湿热触感，眼神中闪过一丝羞耻与无奈\n{Name}看着自己的杰作，满足感油然而生，伸手轻抚那沾染了精液的口饰\n两人的呼吸都变得有些急促，空气中弥漫着欲望的气息\n
1001,1009,0,CVP_A1_ShootPos|C4_E_1,\n{Name}用手轻轻扶住{TargetName}的口饰，然后将勃起的阴茎贴上，在口饰的表面来回摩擦\n随着一阵快感袭来，{Name}释放出一股精液，白浊液体渗入口饰的缝隙，有些顺着{TargetName}的下巴流下\n{TargetName}感受到嘴唇周围传来的湿热感，不由自主地微微后仰，眼神中流露出复杂情绪\n{Name}的呼吸逐渐平稳，满意地看着自己留下的痕迹\n
1002,1009,0,CVP_A1_ShootPos|C4_E_1,\n{Name}将{TargetName}的口饰微微拉开一点，将勃起的阴茎插入口饰与皮肤之间的空隙中抽动\n几次深入后，{Name}达到高潮，精液射在{TargetName}的嘴角和口饰内侧，形成一道白色的痕迹\n{TargetName}感受到嘴边温热的液体，不由得轻轻颤抖，脸上浮现出一抹红晕\n{Name}看着白浊液体从口饰的边缘渗出，心中涌起一股征服感\n
1003,1009,0,CVP_A1_ShootPos|C4_E_1,\n{Name}双手捧住{TargetName}的脸颊，让阴茎在她佩戴的口饰表面来回摩擦，享受着丝滑的触感\n快感积累到一定程度后，{Name}低吟一声，释放出一股精液，白浊液体洒在精美的口饰上，有些甚至溅到了{TargetName}的下巴\n{TargetName}感受到嘴边传来的湿热感，眼神中流露出复杂的情绪，轻轻闭上眼睛\n两人的呼吸交织在一起，气氛变得更加暧昧\n
1004,1009,0,CVP_A1_ShootPos|C4_E_1,\n{Name}用一只手轻轻扶住{TargetName}的下巴，另一只手握着勃起的阴茎在她的口饰上来回磨蹭\n{Name}的呼吸逐渐急促，在一声轻哼后释放出来，精液洒在口饰上，有些顺着{TargetName}的嘴角滑落\n{TargetName}感受到口唇周围温热的液体，眼神中闪过一丝羞涩\n{Name}用手指轻轻抹了一下射在口饰上的白浊，满意地看着自己的标记\n
1005,1009,0,CVP_A1_ShootPos|C4_E_1,\n{Name}让{TargetName}微微张嘴，将勃起的阴茎放在她的口饰和下唇之间的区域摩擦\n随着快感的积累，{Name}射出一股精液，白浊液体洒在口饰和下唇上，有些甚至滑入嘴角\n{TargetName}感受到唇部的湿热，不由得屏住呼吸，脸颊染上一层薄红\n{Name}看着白色液体和口饰形成的对比，心中涌起一股满足感\n
1006,1009,0,CVP_A1_ShootPos|C4_E_1,\n{Name}将{TargetName}的口饰微微向上推，让它紧贴在她的鼻子下方，然后将勃起的阴茎插入口饰下方与嘴唇的缝隙中抽动\n几次抽送后，{Name}释放出来，精液射在{TargetName}的嘴唇和口饰的内侧，缓缓流淌\n{TargetName}感受到嘴唇传来的湿热感，以及口饰的压力，眼中闪过一丝不安\n{Name}轻抚{TargetName}的脸颊，欣赏着自己的杰作\n
1007,1009,0,CVP_A1_ShootPos|C4_E_1,\n{Name}用一只手轻轻抚摸{TargetName}的口饰，另一只手握着阴茎在口饰周围的皮肤上摩擦\n随着快感的累积，{Name}释放出一股精液，白浊液体部分洒在口饰上，部分滴落在{TargetName}的下巴和颈部\n{TargetName}感受到嘴边周围的湿热感，不由得轻轻皱眉，却也配合地保持姿势\n{Name}看着白色液体在{TargetName}精致的面容上的对比，心中涌起一股莫名的满足感\n
1008,1009,0,CVP_A1_ShootPos|C4_E_1,\n{Name}让{TargetName}侧对着自己，将勃起的阴茎贴在她嘴边的口饰上，沿着口饰的边缘来回摩擦\n几次深呼吸后，{Name}射出一股精液，白浊液体沿着口饰的边缘和{TargetName}的嘴角流淌\n{TargetName}感受到嘴边传来的湿热触感，身体微微后仰，肩膀轻轻颤抖\n{Name}用手指沿着{TargetName}的下巴轻轻滑动，满意地看着白浊液体的痕迹\n
1009,1009,0,CVP_A1_ShootPos|C4_E_1,\n{Name}将{TargetName}的口饰稍稍拉宽，将勃起的阴茎沿着口饰内侧与嘴唇的接触面来回摩擦\n随着一阵快感袭来，{Name}释放出一股精液，白浊液体射在口饰的内侧和{TargetName}的嘴唇上，形成一圈湿润的痕迹\n{TargetName}感受到嘴唇周围一圈湿热的触感，不由得轻轻闭上眼睛，呼吸变得急促\n{Name}欣赏着自己的杰作，轻轻整理了一下被拉宽的口饰\n
