cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1040,action_part_penis_in_body_2_C,0,jj_0&CVP_A2_A|71_LE_3,{Name}感受着{TargetName}的{mouth_s}包裹着{penis_s}，她生涩的舌头小心翼翼地舔舐着龟头，这种青涩的动作反而让{Name}的快感一波波袭来，阴茎在口腔里不断跳动。
1041,action_part_penis_in_body_2_C,0,jj_0&CVP_A2_A|71_G_3&CVP_A2_A|71_LE_6,{Name}感受到{TargetName}的{mouth_s}熟练地吞吐着{penis_s}，她的舌头有规律地按摩着冠状沟，恰到好处的吸吮让{Name}的快感逐渐积累，阴茎在她口中变得更加硬挺。
1042,action_part_penis_in_body_2_C,0,jj_0&CVP_A2_A|71_G_6,{Name}感受到{TargetName}的{mouth_s}如同天堂般包裹着{penis_s}，她精湛的舌技让每一条神经末梢都被精确刺激，快感如浪潮般一波接一波冲刷全身，令{Name}几乎站立不稳。
1043,action_part_penis_in_body_2_C,0,jj_1&CVP_A2_A|71_LE_3,{Name}的{penis_s}被{TargetName}的{mouth_s}包含，她生涩地尝试吞吐，却不知如何照顾到整根阴茎，这种青涩感反而让{Name}的欲望更加强烈，忍不住自己轻轻挺动腰部，寻求更强的快感。
1044,action_part_penis_in_body_2_C,0,jj_1&CVP_A2_A|71_G_3&CVP_A2_A|71_LE_6,{Name}的{penis_s}在{TargetName}的{mouth_s}中享受着适度的湿润与温暖，她有意识地用舌头按摩着柱身，吞吐的节奏逐渐熟练起来，让{Name}舒服得轻哼出声。
1045,action_part_penis_in_body_2_C,0,jj_1&CVP_A2_A|71_G_6,{Name}的{penis_s}沉浸在{TargetName}的{mouth_s}创造的极乐世界中，她的舌头如艺术家般在每一寸肌肤上描绘，精确地刺激着所有敏感神经，让{Name}全身颤栗，几乎立刻就要射精。
1046,action_part_penis_in_body_2_C,0,jj_2&CVP_A2_A|71_LE_3,{Name}的{penis_s}在{TargetName}勉强张开的{mouth_s}中感受着紧致，她努力容纳着这份粗大，舌头生涩地舔舐着能触及的部分，看她吃力的样子反而让{Name}更加兴奋。
1047,action_part_penis_in_body_2_C,0,jj_2&CVP_A2_A|71_G_3&CVP_A2_A|71_LE_6,{Name}的{penis_s}被{TargetName}的{mouth_s}努力容纳，她已掌握一些技巧，懂得如何用舌头按摩粗壮的柱身，尽管无法全部吞入但对敏感点的刺激让{Name}呼吸急促。
1048,action_part_penis_in_body_2_C,0,jj_2&CVP_A2_A|71_G_6,{Name}的{penis_s}在{TargetName}的{mouth_s}中体验着极致的快感，尽管只能容纳一部分，她精湛的舌技和吸吮技巧让每一寸接触到的皮肤都受到无与伦比的刺激，让{Name}几乎立刻就想射精。
1049,action_part_penis_in_body_2_C,0,jj_3&CVP_A2_A|71_LE_3,{Name}看着自己的{penis_s}只有龟头能勉强被{TargetName}的{mouth_s}含住，她嘴角被撑到极限，眼中透露出恐惧和不知所措，这种视觉冲击和心理满足感让{Name}的快感远超生理刺激。
1050,action_part_penis_in_body_2_C,0,jj_3&CVP_A2_A|71_G_3&CVP_A2_A|71_LE_6,{Name}的{penis_s}对{TargetName}的{mouth_s}来说过于巨大，她只能含入龟头部分，但已懂得如何用舌尖刺激最敏感的地方，这种局部高强度的刺激反而给{Name}带来强烈的快感。
1051,action_part_penis_in_body_2_C,0,jj_3&CVP_A2_A|71_G_6,{Name}的{penis_s}只有头部能进入{TargetName}的{mouth_s}，但她高超的技巧将这变成了优势，她以惊人的精准度刺激着龟头每一处敏感神经，让{Name}体验到了前所未有的集中式快感。
