cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,

1000,first_kiss,0,self_is_player_daughter&high_1&CVP_A1_G_E_0,她的身体僵硬地站在那里，眼神里充满了困惑和不安，作为父亲的博士缓缓靠近，手掌轻轻托住了她的下巴。\n她睁大眼睛看着近在咫尺的父亲面容，心跳剧烈得几乎要跳出胸腔，不明白为什么要做这样的事情，脑子里一片混乱。\n嘴唇终于贴在了一起，柔软湿润的触感让她浑身一颤，这是她人生中第一次被人这样亲吻，而对象竟然是自己的亲生父亲。\n她呆呆地承受着父亲的吻，不知道该如何反应，任由对方的嘴唇在自己唇瓣上轻轻摩擦揉捏，唇齿间传来陌生的温热气息。\n父亲的舌尖试探性地舔舐她紧闭的嘴唇，她本能地微微张开了嘴，温热滑腻的舌头立刻钻了进来，开始在她口腔里肆意搅动品尝。\n她的舌头被父亲的舌头纠缠住，笨拙地被带动着一起交缠翻卷，口水不受控制地分泌出来，顺着嘴角滑落。\n这个吻持续了很久，她感觉自己的呼吸都快要停止了，脑袋晕乎乎的，心里满是茫然和疑惑，不明白父女之间为什么要做这种事。\n她想要推开父亲，但身体却软绵绵的使不上力气，只能任由对方吸吮着自己的舌头和口腔，发出淫靡的水渍声。\n唾液混合在一起在两人口中往来传递，她被迫吞咽下父亲的津液，喉咙里发出细微的吞咽声，脸颊烧得通红。\n她的眼眶逐渐湿润，不知道是因为缺氧还是因为内心的困惑和羞耻，泪水在眼眶里打转，模糊了视线。\n父亲的大手揽住她的腰，将她紧紧压在自己身上，她能感觉到两人身体紧密贴合的触感，这让她更加不知所措。\n舌头依然在口腔深处纠缠翻搅，她被吻得头晕目眩，分不清东南西北，只能本能地配合着父亲的节奏，笨拙地回应着这个漫长的深吻。\n五分钟的时间仿佛过了一个世纪那么漫长，当父亲终于放开她的嘴唇时，一条银丝从两人唇间拉出，她大口喘着气，眼神迷离而茫然，完全不明白刚才发生了什么，内心充满了对这段禁忌关系的疑惑和不安。
1001,first_kiss,0,self_is_player_daughter&high_1&CVP_A1_G_E_0,博士的手指轻轻抚摸着女儿的脸颊，她茫然地看着父亲，不明白接下来会发生什么，心里涌起难以名状的不安感。\n她知道自己是他的亲生女儿，但对这个身为父亲的男人却并不熟悉，两人之间像陌生人一样缺乏亲密的情感联系。\n当父亲的脸越凑越近时，她本能地想要后退，但身体却像被定住了一样无法移动，只能眼睁睁看着那张脸离自己越来越近。\n温热的嘴唇贴上了她的双唇，柔软的触感让她整个人都僵住了，这是她的初吻，而夺走它的人竟然是自己的父亲。\n她不知道该作何反应，只能呆呆地站着，任由父亲的嘴唇在自己唇上反复吸吮摩擦，唇瓣被吮咬得微微发麻。\n父亲的舌头撬开了她的牙关，灵活地钻进她的口腔，开始肆无忌惮地在里面探索扫荡，舔舐着她口腔内壁的每一寸。\n她的舌头被父亲的舌头卷住，被迫与之纠缠在一起，口水不断分泌出来，在两人嘴里搅成一团，发出淫靡的水声。\n她的大脑一片空白，不明白父女之间怎么能做这样的事情，但身体却诚实地起了反应，舌头笨拙地回应着父亲的挑逗。\n这个深吻让她几乎无法呼吸，她只能用鼻子急促地喘气，眼神涣散迷离，脸颊烧得滚烫，身体也变得燥热起来。\n父亲吸吮着她的舌头，像是在品尝什么美味一样，她被吸得舌根发麻，口腔里全是两人混合的唾液，黏腻而羞耻。\n她感到困惑和茫然，不明白为什么要和一个基本上算是陌生人的父亲做这种事，这种乱伦的行为让她内心充满了疑问和不安。\n但吻还在继续，父亲的手搂住她的后腰，将她整个人都压在怀里，她能清晰感受到两人身体紧贴的温度，这让她更加慌乱。\n舌头在口腔深处激烈地搅动纠缠，唾液顺着嘴角流下来，滴落在地上，她羞耻得想要躲开，却被父亲牢牢按住无法挣脱。\n漫长的五分钟终于结束，父亲恋恋不舍地松开了她的嘴唇，她瘫软地靠在父亲身上，大口喘着粗气，眼神里满是迷茫和疑惑，不知道自己该对刚才发生的事情作何感想，只觉得整个世界都变得陌生而混乱。
1002,first_kiss,0,self_is_player_daughter&high_1&CVP_A1_G_E_0,她呆滞地站在博士面前，作为女儿的她和身为父亲的他之间的关系本该单纯，但此刻气氛却变得诡异而暧昧。\n她对这个父亲并不熟悉，两人之间就像陌生人一样，她不明白为什么会走到这一步，内心充满了茫然和困惑。\n博士缓缓低下头，她看着近在眼前的父亲面孔，心脏狂跳不止，隐约预感到接下来会发生什么，但又不敢相信。\n嘴唇触碰的瞬间，她的大脑像被雷击中一样，整个人都呆住了，这是她人生中的第一个吻，而给予她初吻的竟是自己的亲生父亲。\n父亲的嘴唇温热而柔软，在她的唇瓣上轻轻摩擦碾压，她不知道该怎么回应，只能僵硬地站着，任由对方为所欲为。\n唇齿间传来父亲的气息，带着成熟男性特有的味道，她的心里涌起复杂的情绪，羞耻、困惑、茫然交织在一起。\n父亲的舌尖在她紧闭的唇缝处舔舐，带着湿热的触感，她本能地抿紧嘴唇，但最终还是抵挡不住，微微张开了嘴。\n灵活的舌头立刻钻了进来，开始在她口腔里肆意翻搅搜刮，舔过她的牙齿、上颚、口腔内壁，不放过任何一个角落。\n她的舌头被父亲的舌头紧紧缠住，被迫与之交缠在一起，笨拙地随着对方的节奏摆动，口水不受控制地大量分泌。\n唾液在两人口中来回流转，她被迫吞下父亲的津液，喉咙发出细微的吞咽声，脸颊羞红得像要滴出血来。\n她不明白为什么要和一个几乎是陌生人的父亲接吻，这种禁忌的乱伦行为让她感到后悔和疑惑，但身体却软绵绵地无力反抗。\n父亲吸吮着她的舌头和口腔，发出淫靡的啧啧水声，她羞耻得想要闭上眼睛，却又忍不住偷看父亲近在咫尺的面容。\n这个吻持续了很久很久，她感觉自己快要窒息了，脑袋晕乎乎的缺氧，双腿发软，只能靠着父亲的支撑才能勉强站立。\n父亲的大手搂着她的纤腰，将她紧紧按在怀里，她能感受到两人身体贴合处传来的滚烫温度，这让她更加不知所措。\n当父亲终于松开她的嘴唇时，粘稠的银丝在两人之间拉扯出淫靡的弧度，她大口喘着气，眼神迷离涣散，完全不明白刚才那五分钟里到底发生了什么，只知道自己失去了初吻，而对象是自己的父亲，这个认知让她内心充满了疑问、茫然和深深的困惑。
1003,first_kiss,0,self_is_player_daughter&high_1&CVP_A1_G_E_0,作为父亲的博士伸手揽住了女儿的肩膀，她僵硬地站着，眼神里满是疑惑和不解，不明白接下来会发生什么事。\n她和父亲之间的关系很陌生，虽然血缘上是父女，但感情上却像陌生人，她无法理解为什么现在会是这样的情况。\n博士的另一只手抬起她的下巴，强迫她抬起头看着自己，她茫然地对上父亲的视线，心里涌起莫名的慌乱和不安。\n距离越来越近，她能感受到父亲温热的鼻息喷洒在自己脸上，她想要躲开，但身体却像被施了魔法一样动弹不得。\n嘴唇贴合的刹那，她瞪大了眼睛，不敢置信地看着近在眼前的父亲面孔，这是她的初吻，而夺走它的居然是自己的父亲。\n父亲的嘴唇柔软而温热，在她的双唇上反复吸吮碾压，她呆呆地承受着，不知道该作何反应，只觉得唇瓣传来异样的酥麻感。\n她闭上了眼睛，眼角渗出泪水，不知道是因为羞耻还是因为内心的困惑，泪珠顺着脸颊滑落，滴在父亲的手背上。\n父亲的舌头灵活地撬开她的牙关，钻进她的口腔深处，开始肆无忌惮地搅动舔舐，她被这突如其来的侵入吓得浑身一颤。\n她的舌头被父亲的舌头卷住纠缠，被迫与之交缠在一起激烈翻滚，口腔里充满了两人混合的唾液，黏腻而羞耻。\n她笨拙地配合着父亲的动作，不知道该怎么接吻，只能任由对方带着自己的舌头一起舞动，发出淫靡的水渍声响。\n父亲深深地吸吮着她的舌头和口腔，像是要把她的灵魂都吸走一样，她感到呼吸困难，只能用鼻子急促地喘气。\n她不明白为什么要和一个基本陌生的父亲做这种事，这种乱伦的行为让她感到茫然和后悔，但身体却软得无法反抗。\n唾液不断分泌出来，多到无法吞咽，顺着嘴角流下来，打湿了她的下巴和衣领，她羞耻得恨不得找个地缝钻进去。\n父亲的手搂着她的腰，将她整个人都抱在怀里，她能清晰感受到两人身体紧密相贴的触感，这让她更加慌乱和不知所措。\n这个深吻持续了整整五分钟，当父亲终于放开她时，她瘫软地靠在父亲身上，双腿发软站不稳，嘴唇红肿，眼神涣散迷离，大口喘着粗气，脑子里一片混乱，完全不明白为什么会和父亲接吻，内心充满了对这段禁忌关系的疑惑、茫然和深深的困扰。
1004,first_kiss,0,self_is_player_daughter&high_1&CVP_A1_G_E_0,她茫然地站在父亲面前，虽然知道眼前这个男人是自己的亲生父亲，但两人之间的关系却陌生得像是从未见过面的路人。\n博士伸手抚摸她的脸庞，她下意识地想要躲开，但父亲的手掌已经牢牢托住了她的脸，让她无法逃避。\n她不明白接下来会发生什么，只是本能地感到不安和困惑，心跳快得几乎要从胸腔里跳出来，呼吸也变得急促起来。\n父亲的脸越来越近，她能清楚地看到对方脸上的每一个细节，她想要推开父亲，但手臂却软绵绵地抬不起来。\n柔软的嘴唇覆盖上她的双唇，温热湿润的触感让她整个人都僵住了，这是她人生中第一次被人亲吻，而对象竟然是自己的父亲。\n她睁大眼睛，眼神里充满了震惊和茫然，不敢相信这样的事情正在发生，父女之间怎么能做这种事情。\n父亲的嘴唇在她唇瓣上轻轻摩擦吸吮，带着温柔却又强势的力道，她不知道该如何回应，只能僵硬地承受着。\n唇齿间传来父亲的气息和体温，她感到脸颊发烫，心里涌起复杂难明的情绪，羞耻、困惑、茫然全都混杂在一起。\n父亲的舌尖撬开她的嘴唇，钻进她的口腔，开始在里面肆意舔舐搅动，她被这突如其来的侵入吓得浑身颤抖。\n温热滑腻的舌头缠上了她的舌头，将它卷住一起翻滚纠缠，她笨拙地被动配合着，口水不受控制地大量分泌出来。\n两人的唾液混合在一起，在口腔里来回流转，她被迫吞下父亲的津液，喉咙发出吞咽的声音，羞耻得想要逃开。\n她不明白为什么要和一个陌生的父亲接吻，这种禁忌的乱伦关系让她感到迷茫和后悔，但身体却无力反抗，只能任人摆布。\n父亲深深地吸吮着她的舌头，像是要把它吞进肚子里一样，她感到舌根发麻，呼吸也越来越困难，脑袋昏昏沉沉的。\n唾液顺着嘴角流下来，滴落在地上，她羞耻得想要哭出来，眼眶里蓄满了泪水，模糊了视线。\n父亲搂住她的腰，将她紧紧压在自己身上，她能感受到两人身体贴合处传来的温度，这让她更加慌乱和不知所措。\n这个漫长的深吻持续了整整五分钟，舌头在口腔深处激烈地交缠搅动，发出淫靡的水声，她被吻得头晕目眩，完全失去了思考能力。\n当父亲终于松开她的嘴唇时，一条银丝从两人唇间拉出，她大口喘着气，双腿发软几乎要跌倒，眼神迷离涣散，嘴唇红肿，脸颊通红，完全不明白刚才那五分钟里到底发生了什么，只知道自己失去了初吻，而夺走它的是自己的父亲，这个事实让她内心充满了茫然、困惑和深深的疑问。
