cid,name,required,data_size,default,prompt
数据id,数据名,是否必选,数据量(1小2中3大),是否默认已选,提示词
int,str,int,int,int,str
0,1,0,0,0,1
向AI发送的数据,,,
1,角色名,1,1,1,{pl_name}正在对{name}进行互动，干员的名字叫做{name}。
2,时间,1,1,1,当前的季节是{Season}，当前的时间是{time}。
3,地点,1,1,1,场景发生的地点是{Location}。

11,好感与信赖,0,2,1,如果用数字等级来表示关系好坏，0是第一次见面的陌生人，8是托付人生的亲密伴侣，那{pl_name}和{name}的关系大概是{ave_text}。
12,陷落,0,2,1,{fall_prompt}

31,饥饿,0,1,1,{name}有点饿了，想吃东西。
32,尿意,0,1,1,{name}有点想上厕所尿尿。
33,疲劳程度,0,1,1,{name}有些累了，疲劳的程度为{tired_text}。
34,心情,0,1,1,{name}的心情状态是{angry_text}。
35,睡眠与睡眠深度,0,1,1,{name}正在睡觉，睡眠的深度是{sleep_text}。

41,年龄素质,0,1,1,{name}的年龄是{age_text}。
42,种族,0,1,0,{name}的种族是{race_name}。
43,出身地,0,1,0,{name}的出生地是{birthplace_name}。
44,势力,0,1,0,{name}所属的势力是{nation_name}。
45,女儿,0,1,1,{name}是{pl_name}的女儿。

51,助理,0,1,1,{name}是{pl_name}的助理，负责协助{pl_name}的工作。
52,跟随,0,1,0,{name}正在跟随{pl_name}一起行动。
53,工作职业,0,2,0,{name}的工作是{work_name}。工作的内容是{work_description}。
54,访客,0,1,1,{name}不是公司的员工，是前来拜访的访客。
55,角色称呼,0,1,0,{name}会称呼{pl_name}为{nick_name_to_pl}，{pl_name}称呼{name}为{nick_name}。

61,催眠与催眠类型,0,3,0,{name}被{pl_name}催眠了，催眠的类型是{hypnosis_name}，催眠的效果是{hypnosis_effect}。
62,监禁,0,1,1,{name}被{pl_name}监禁在监狱里了。
63,时停,0,1,1,{name}正处在停止的时间中，无法做出任何反应。

101,身上穿的服装,0,3,0,{name}目前穿着{cloth_text}。
102,全素质数据,0,3,0,{name}的详细素质数据：{talent_text}
