cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_s_orgasm_strong_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,一股远比从前凶猛的酥麻快感成片漫过{TargetName}的皮肤，如电流劈进脑髓，把她整个人烧得脑中一片空白。\n那快感强烈得几乎要把她的意识冲垮，青涩的她在这前所未有的极致里失神颤栗，只觉得连自己的皮肤都不再属于自己。\n她压根不懂性事，也不明白自己本不该有感觉的皮肤为何会敏感到这般地步，只觉得又怕又乱。\n这陌生的快感洪流一波波将她淹没，年幼无知的她惊慌又迷乱，连身体这样颤抖着究竟意味着什么都全然不解。
1001,action_part_s_orgasm_strong_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,快感如潮水般从{TargetName}成片的皮肤上漫过，越是被抚弄脑子就越烧得发白，那股酥麻凶得远超她以往的任何一次。\n意识几乎被这股洪流冲垮，青涩的她在灭顶的快意里几近崩溃地颤栗，脑中只剩一片混乱的空白。\n她对性一无所知，完全想不明白自己普通的皮肤怎么会被玩到这种地步，心里满是茫然的惊惧。\n那种从皮肤一路烧遍全身的战栗令她既迷乱又羞耻，懵懂的她甚至不知道这具身体正承受着怎样的事，只能任它剧烈颤动。
1002,action_part_s_orgasm_strong_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,电流般的酥麻从被触碰的皮肤成片窜开，一路烧遍{TargetName}稚嫩的全身，强烈得让她连一寸肌肤都无法承受。\n这股远胜从前的快感几乎冲垮了她的神智，她在陌生的极致绝顶里失神迷醉，脑中翻涌着近乎崩溃的快意。\n年幼懵懂的她根本不明白这是什么，只隐约觉得有种可怕又迷人的东西正把自己彻底吞没。\n她既惊又惧地承受着这场灭顶的快感，全然不知自己这具已能孕育生命的身体正在经历什么，只余满心的慌乱与沉沦。
1003,action_part_s_orgasm_strong_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,一浪高过一浪的酥麻从{TargetName}的皮肤上成片漫开，如潮水漫过全身，那快感凶猛得几乎将她的意识连根拔起。\n远超普通高潮的极致快意令她彻底失神，青涩的身子在灵魂震颤般的绝顶里迷乱颤栗，脑中一片滚烫的空白。\n她对性事完全无知，越是感受这股汹涌的快感就越发慌乱，根本弄不懂自己怎么会变成这样。\n对自己本不该敏感的皮肤竟被开发到如此地步，懵懂的她又羞又怕，却只能在这陌生的洪流里无助地沉沦下去。
1004,action_part_s_orgasm_strong_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,从皮肤表面漫开的酥麻如电流劈进脑髓，一路窜遍{TargetName}稚嫩的全身，快感强烈到她连意识都几乎守不住。\n这远比以往任何一次都凶猛的绝顶把她冲得失神颤栗，脑海里翻涌着近乎崩溃的迷醉快意。\n她压根不懂这些，只觉得有股陌生又可怕的浪潮正把懵懂的自己一寸寸淹没。\n面对这般汹涌的快感，年幼无知的她又慌又乱，既不明白皮肤为何会敏感至此，也全然不知这样下去会招致怎样的后果。

1005,action_part_s_orgasm_strong_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,如电流般的酥麻从皮肤成片漫开，一路窜遍全身、劈进脑髓，{TargetName}被这远超以往普通绝顶的快感洪流冲得几乎失了神。\n敏感度攀上新台阶后，连最轻的抚弄都令她整片肌肤烧得发白，脑中一片空白。\n她虽未成年却早已懂得这份快感意味着什么，正因如此，当自己本不该敏感的普通皮肤竟被玩到高潮，一股迷乱又羞耻的念头搅得她心口发烫。\n可那份对性的好奇压过了羞怯，她颤栗失神，贪恋地任由这非常强的绝顶将自己彻底淹没。
1006,action_part_s_orgasm_strong_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,快感如烧红的电流从被抚弄的皮肤一寸寸炸开，成片漫过全身，{TargetName}只觉意识几乎被这股洪流冲垮。\n这绝顶的烈度远非先前的普通绝顶可比，敏感度拔高一档后，连一丝轻触都能把她烧得从肌肤一路酥麻到脑仁，越被抚弄脑子就越白。\n年幼的她心里明白这样的快感代表着什么，也清楚这具身子被开发得多离谱，那份羞耻却奇异地和好奇搅在一起，令她既想逃又忍不住沉沦。\n她在这前所未有的极致绝顶里迷醉颤栗，灵魂都仿佛被这股快感震得发麻。
1007,action_part_s_orgasm_strong_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,从皮肤表面成片漫开的酥麻如潮水般涌上，{TargetName}被这股远胜普通绝顶的强烈快感撞得神魂俱散。\n敏感度升上新台阶后，哪怕最细微的碰触都令她全身肌肤颤栗，快感一路烧进脑髓，脑中烫得一片空白。\n未成年的她早已了解性事，也正因懂得，才更羞于承认自己连普通皮肤都能被玩到绝顶，可强烈的好奇又催着她想探究这陌生的极致快意。\n她在近乎崩溃的快意里失神发抖，心底翻涌着难以言喻的迷醉与灵魂震颤。
