key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,69,0,角色编号
Name,str,塔佳娜,1,角色姓名
Sex,int,1,0,角色性别
Profession,int,3,0,角色职业为医疗
Race,int,16,0,角色种族为卡普里尼
Nation,int,81,0,角色势力为莱塔尼亚
Birthplace,int,8,0,角色出身地为莱塔尼亚
Hp,int,1500,0,角色初始体力
Mp,int,1000,0,角色初始气力
Dormitory,str,无,1,角色初始宿舍
Token,str,一位故人的遗物,1,角色信物
Introduce_1,str,沃伦姆德居民，管理着当地的民兵团，在政府议事厅工作，跟随着亚叶及铃兰在感染者居住区调查，后在暴乱中受伤并被感染者打晕，被灰喉小队救出。为了恢复沃伦姆德的平静而奔波。,1,角色介绍
A|40,int,1,0,角色话术技能为1
A|46,int,1,0,角色医术技能为1
E|80,int,10,0,角色对话经验为10
E|0,int,1,0,角色Ｎ经验为1
E|88,int,5,0,角色医疗经验为5
T|0,int,1,0,角色有处女素质
T|1,int,1,0,角色有Ａ处女素质
T|2,int,1,0,角色有尿道处女素质
T|3,int,1,0,角色有子宫处女素质
T|4,int,1,0,角色有无接吻经验素质
T|104,int,1,0,角色有少女素质
T|111,int,1,0,角色有兽耳素质
T|112,int,1,0,角色有兽角素质
T|122,int,1,0,角色有贫乳素质
T|127,int,1,0,角色有普臀素质
T|129,int,1,0,角色有细腿素质
T|131,int,1,0,角色有小足素质
C|5-1,str,黑色皮质斗篷,0,黑色皮质斗篷
C|5-2,str,黑色V领内衣,0,黑色V领内衣
C|8,str,浅灰色短裙,0,浅灰色短裙
C|10,str,渐变色短袜,0,渐变色短袜
C|11,str,黑色长筒靴,0,黑色长筒靴
