cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,

1000,s_orgasm_small,0,to_do,尽管并不是性器官受到了刺激，但{Name}还是微微颤抖了一下，嘴里发出了一声轻轻的呻吟
1001,s_orgasm_normal,0,to_do,来自于身体的快感让{Name}的脸颊微微泛红，她的呼吸变得急促，身体变得僵硬，猛地抖了抖，然后很快放松下来
1002,s_orgasm_strong,0,to_do,宛如性器官高潮一样的快感从身体各处强烈地袭来，{Name}的身体猛烈地颤抖着，腰不受控制地向后仰去，双足不停地踢动\n在快感总算结束后，{Name}的身体变得软绵绵的，躺在地上，呼吸急促，脸颊泛红，眼神迷离
1003,b_orgasm_small,0,to_do,{Name}的乳房在快感中变得异常敏感，乳头也在充血下缓缓地膨胀起来
1004,b_orgasm_normal,0,to_do,{Name}因为胸部的快感而浑身颤抖，急促地呼吸着，身体变得僵硬，然后猛地抖了抖，很快放松下来
1005,b_orgasm_strong,0,to_do,如潮水般汹涌而来的快感从胸部蔓延到全身，{Name}的身体猛烈地颤抖着，腰不受控制地向后仰去，双足不停地踢动\n在快感总算结束后，{Name}的身体变得软绵绵的，躺在地上，呼吸急促，脸颊泛红，眼神迷离
1006,c_orgasm_small,0,to_do,{Name}因为兴奋而升温的阴蒂在冷空气下挺立着，空气中任何轻微的变化都使得{Name}的阴蒂更为敏感。
1007,c_orgasm_normal,0,to_do,来自阴蒂的快感让{Name}绷紧了小腹，快感在身体的颤抖中一波波从阴蒂传递到了四肢的末端。
1008,c_orgasm_strong,0,to_do,{Name}的喘息不断变得沉重，来自阴蒂的快感不断累积最终超过了{Name}的极限，{Name}反弓着身体肆意喷洒着爱液。\n勉强渡过快感高潮的{Name}在一阵阵不自觉的颤抖中失去了所有气力，只有缓慢聚焦的瞳孔还证明着{Name}对身体的支配权。
1009,p_orgasm_small,0,to_do,{Name}的阴茎颤抖着，射出了白浊的精液
1010,p_orgasm_normal,0,to_do,{Name}的阴茎惊人般的臌胀着，用难以想象的势头射出了一大滩精液\n精液刺鼻的气味浸染了整个房间，让人不仅被这股淫霏的氛围所包围
1011,p_orgasm_strong,0,to_do,在冲刷神经般的快感下，{Name}的阴茎涨大到平常的两倍，粗壮的巨龙上凸出条条青筋\n再也忍不住的{Name}放开了精关，猛烈地射出的白浊精液就像是没有尽头的水枪一样，带着强烈的冲击力从龟头中喷射而出\n然而积攒已久的快感并没有因此而消散，一波又一波的精液持续地从阴茎中射出，让人难以想象这些精液到底来自哪里\n最终，随着最后一大波精液的射出，{Name}的头脑中一片空白，傲立的阴茎总算恢复了原状
1012,v_orgasm_small,0,to_do,{Name}的阴道不规律地收缩着，内壁上的褶皱在高潮的刺激下变得更为突出，诉说着潜意识下的欲望。
1013,v_orgasm_normal,0,to_do,{Name}的阴道仿佛拥有着自己的意志，不受{Name}的控制抽搐着。被阴道牵扯着的神经将快感的波动反馈到{Name}的脑海中，使得{Name}短暂地失去了意识，随后又被快感拉回现实世界。
1014,v_orgasm_strong,0,to_do,{Name}的阴道在强烈的刺激下最终到达了忍耐的极限，阴道内壁互相挤压着，试图通过这种方法来释放高潮强烈的余波。\n突破{Name}精神阈值的快感甚至让{Name}一时忘记了呼吸，直到微微缺氧的眩晕迫使{Name}直面仍然在体内横冲直撞的快感潮水。
1015,a_orgasm_small,0,to_do,不存在于本能之中的快感在{Name}的后穴中游走着，循着一条陌生的回路钻入了{Name}的大脑，引得{Name}不受控制地快速呼吸起来。
1016,a_orgasm_normal,0,to_do,违背常理的快感穿透了肠壁直击着{Name}的子宫，熟悉的刺激将{Name}从意识的迷失中击倒在快感的潮水之中，{Name}宛如处于溺水边缘一般深深喘息着。
1017,a_orgasm_strong,0,to_do,来自后穴的快感像一道射线一样在{Name}僵硬的躯体中不断反射着，刺激着{Name}的肢体不断抽搐着。\n狂野且暴力的刺激使得{Name}失去了大部分身体控制权，愈来愈深的喘息预示着即将到来的绝顶，最终在一次深深的吸气后触及到了这条禁忌快感之路的终点，留下了{Name}洞开着的后穴。
1018,u_orgasm_small,0,to_do,不断的刺激使得{Name}的尿道逐渐失去了控制，名为排泄的奇异快感在{Name}的小腹底端肆意游走着，不断诱惑着{Name}一泄为快。
1019,u_orgasm_normal,0,to_do,反复冲刷着{Name}尿道关口的快感将{Name}对体液的控制逐渐全部剥离，僵硬的身体在狂乱的颤抖中令{Name}失态地任由唾液，眼泪，以及尿液缓缓渗出。
1020,u_orgasm_strong,0,to_do,{Name}被逆向突入的尿道长时间保持着不正常的洞开状态，违背了生理结构的人为刺激将{Name}的精神逼入了被大脑隐藏着的死胡同，只有无尽的高潮在其中反复回荡，最终在一次次反射中磨耗掉了{Name}所有的意识，将{Name}的身体化作了一滩烂泥。
1021,w_orgasm_small,0,to_do,触及繁殖本能的快感在一瞬间熔断了{Name}的意识，本该拒绝一切异物的子宫口在快感的攻势下微微软化，无力的预示着将被攻破的未来。
1022,w_orgasm_normal,0,to_do,反复的快感无情地一遍遍碾过{Name}的本能，腹腔的神经感受到了{Name}对于繁衍的渴望，将{Name}的子宫降下，叫嚣着对于被播种的愿望。
1023,w_orgasm_strong,0,to_do,对{Name}子宫的反复刺激使得{Name}对于身体的其他部分早已麻木，{Name}现在能感受到的只有自己的子宫以及反复施加于其上的强烈快感。{Name}的子宫已经完全做好了受孕的准备
1026,extra_orgasm,0,high_1,{Name}体验到了超越极限的快感，开始不断地连续绝顶
1027,semen_drinking_climax,0,high_1,{Name}在品尝到精液味道的同时，条件反射性地绝顶了

1039,time_mark_1,0,high_1,{Name}经过多次的异常经历，已经有了些许应对的方法。
1040,time_mark_2,0,high_1,{Name}在一瞬间获得多重绝顶的记忆，促使她开始期待起被未知的存在玩弄的感觉。
1041,time_mark_3,0,high_1,{Name}完全适应了不定时的时姦行为，甚至兴奋地做好了随时被一瞬间蹂躏到倒地不起的准备。
1042,terror_mark_1,0,high_1,{Name}的身体记住了这份恐惧，本能地害怕起和{PlayerName}有关的事情。
1043,terror_mark_2,0,high_1,{Name}开始时常做和那时一样的噩梦，混沌，幻觉，已经接近崩溃的边缘。
1044,terror_mark_3,0,high_1,{Name}所遭受的痛已烙印于灵魂之上，{TargetName}所遭受的苦将伴随记忆永在。
1045,hate_mark_1,0,high_1,{Name}的心中埋下了仇恨的种子，在这种情况下恐怕很难与她结缔良好的关系。
1046,hate_mark_2,0,high_1,{Name}无法容忍{PlayerName}的存在，刻意地开始避开与{PlayerName}有关的事情。
1047,hate_mark_3,0,high_1,{Name}完全将{PlayerName}视为了仇人，但如果能够善用某种力量，就仍然存在逆转的可能性。
1050,first_kiss,0,high_1,{Name}被{PlayerName}夺走了初吻\n第一次和别人接吻，{Name}的心情无法平静，心跳加速，脸颊泛红，终于品味到了初吻的滋味
1051,first_sex,0,high_1,{Name}被{PlayerName}夺走了纯洁的处女之身\n剧烈的破瓜之痛让{Name}的身体无意识地绷紧，随着处子血的流出，{Name}也逐渐开始适应这种疼痛，以及与疼痛一起涌上来的奇妙快感\n{Name}的人生被烙上了{PlayerName}的印记
1052,first_a_sex,0,high_1,{Name}被{PlayerName}夺走了后穴的第一次\n虽然这里并不是性器官，但是在疼痛之外，{Name}还是感受到了奇妙的快感，这种不正常的快感让{Name}的身体打开了一扇新的大门
1061,unconscious_mark_1,999,high_1,{Name}虽然已经没有相关的记忆，但是身体记住了快乐的感觉。
1062,unconscious_mark_2,999,high_1,{Name}最近有些苦恼，因为自己正在变得越来越难拒绝{PlayerName}的性骚扰。
1063,unconscious_mark_3,999,high_1,{Name}的身体渴望着爱抚，贪婪到仿佛这些恋人一样的触感真的出现过一般。
1064,unconscious_mark_4,999,high_1,{Name}已经搞不懂自己的身体了，即使寻求了医疗帮助却时常饥渴难耐至难以拒绝{PlayerName}。
1065,unconscious_mark_5,999,high_1,{Name}渴望性爱的新身体背叛了曾经清醒的意志，逐渐模糊了认知与虚构出来的幻觉之间的界限。
1066,unconscious_mark_6,999,high_1,{Name}残留的理智不断地警告自己已经陷入深渊，但{Name}已经不在乎这些了。

1071,b_orgasm_to_milk,0,high_1,{Name}在胸部的强烈快感刺激下，大量分泌的乳汁也一并喷射了出来
1072,u_orgasm_to_pee,0,high_1,{Name}在尿道的强烈快感刺激下，膀胱中的尿液也一起漏了出来

1081,plural_orgasm_2,0,high_1,{Name}触发了双重绝顶的地文
1082,plural_orgasm_3,0,high_1,{Name}触发了三重绝顶的地文
1083,plural_orgasm_4,0,high_1,{Name}触发了四重绝顶的地文
1084,plural_orgasm_5,0,high_1,{Name}触发了五重绝顶的地文
1085,plural_orgasm_6,0,high_1,{Name}触发了六重绝顶的地文
1086,plural_orgasm_7,0,high_1,{Name}触发了七重绝顶的地文

1090,s_orgasm_super,0,high_1,{Name}触发了S超强绝顶的地文
1096,u_orgasm_super,0,high_1,{Name}触发了U超强绝顶的地文
1097,w_orgasm_super,0,high_1,{Name}触发了W超强绝顶的地文

1108,diuretics,0,high_1,\n{Name}体内的利尿剂发挥着作用，让{Name}不断地想要上厕所
1109,second_sleeping_pills,0,high_1,\n{Name}体内的安眠药发挥着作用，让{Name}保持在深度的昏睡中
1110,ovulation_promotion_drugs,0,high_1,\n{Name}体内的排卵促进药发挥着作用，让{Name}的身体做好了排卵的准备
1111,second_birth_control_pills_before,0,high_1,\n{Name}体内的事前避孕药发挥着作用，让{Name}的身体不会怀孕
1112,second_birth_control_pills_after,0,high_1,\n{Name}体内的事后避孕药发挥着作用，让{Name}的身体不会怀孕

1201,penis_in_body_0,0,high_1,\n{Name}的头发缠绕在{PlayerName}的阴茎上，不断摩擦着，让{PlayerName}感到异常的快感
1202,penis_in_body_1,0,high_1,\n{PlayerName}的阴茎在{Name}的脸上蹭来蹭去，让{PlayerName}感觉到异常的快感和征服感
1204,penis_in_body_3,0,high_1,\n{PlayerName}的阴茎在{Name}的双乳间不断抽插着，让{PlayerName}的射精欲望不断升高
1205,penis_in_body_4,0,high_1,\n{PlayerName}的阴茎在{Name}的腋下不断抽插着，让{PlayerName}的射精欲望不断升高
1211,penis_in_body_10,0,high_1,\n{PlayerName}的阴茎在{Name}的双腿间不断抽插着，让{PlayerName}的射精欲望不断升高
1212,penis_in_body_11,0,high_1,\n{Name}的双脚温柔地夹住{PlayerName}的阴茎，不断摩擦着，让{PlayerName}感到异常的快感
1213,penis_in_body_12,0,high_1,\n{Name}的尾巴紧紧地缠绕住{PlayerName}的阴茎，不断摩擦着，让{PlayerName}感到异常的快感
1214,penis_in_body_13,0,high_1,\n{PlayerName}的阴茎在{Name}的角上蹭来蹭去，让{PlayerName}感觉到异常的快感和征服感
1215,penis_in_body_14,0,high_1,\n{PlayerName}的阴茎在{Name}的兽耳上蹭来蹭去，让{PlayerName}感觉到异常的快感和征服感
1216,penis_in_rub_buttock,0,high_1,\n{PlayerName}的阴茎在{Name}的股间蹭来蹭去，让{PlayerName}感觉到异常的快感和征服感

1221,penis_in_cloth_0,0,high_1,\n{PlayerName}的阴茎在{Name}的帽子上不断摩擦着，让{PlayerName}感到异常的快感
1222,penis_in_cloth_1,0,high_1,\n{PlayerName}的阴茎在{Name}的眼镜上不断摩擦着，让{PlayerName}感到异常的快感
