key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0,str则为1),备注
AdvNpc,int,343,0,干员编号：343
Name,str,月禾,1,姓名：月禾
Sex,int,1,0,性别：女
Profession,int,7,0,职业：辅助
Race,int,10,0,种族：埃拉菲亚
Nation,int,51,0,势力：东
Birthplace,int,3,0,出生地：东
Hp,int,1500,0,初始体力：1500
Mp,int,2000,0,初始气力：2000
Dormitory,str,无,1,无：无
Token,str,由月禾本人制作与祈福的御守。听说带上能让人心平气和，还可以抚平对黑夜的恐惧。,1,信物
Introduce_1,str,前东国天灾信使，擅长运用灵敏感官，从最细微变化中察觉天灾发生并传达给城市。这种天赋在搜索和发现隐藏敌人上也十分适用，建议为其安排侦查和匿踪方向上的工作。,1,人物介绍_1
T|0,int,1,0,处女
T|1,int,1,0,Ａ处女
T|2,int,1,0,Ｕ处女
T|3,int,1,0,Ｗ处女
T|4,int,1,0,无接吻经验
T|105,int,1,0,大姐姐
T|112,int,1,0,兽角
T|111,int,1,0,兽耳
T|113,int,1,0,兽尾
T|125,int,1,0,爆乳
T|127,int,1,0,普臀
T|130,int,1,0,肉腿
T|132,int,1,0,长足
T|150,int,1,0,源石病感染者
T|162,int,1,0,体表源石结晶
A|41,int,2,0,指挥技能level:2
A|42,int,2,0,战斗技能level:2
C|5999,int,1,0,通用上衣
C|8999,int,1,0,通用下衣
