cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,raise_skirt,0,t_wear_pan,{Name}掀起了{TargetName}的{TagetSkiName}，露出了下面的{TagetPanName}
1,raise_skirt,0,t_not_wear_pan,{Name}掀起了{TargetName}的{TagetSkiName}，露出了下面没有穿内裤的阴部
1000,raise_skirt,0,t_wear_pan,{Name}突然掀起{TargetName}的{TagetSkiName}，露出了下面的{TagetPanName}，{TargetName}惊慌地低呼一声，脸颊瞬间泛起红晕，手忙脚乱地想要拉下裙摆遮掩自己的隐私部位。
1001,raise_skirt,0,t_wear_pan,{Name}悄悄靠近{TargetName}身后，迅速掀起了她的{TagetSkiName}，{TargetName}感到一阵凉意，回头发现自己的{TagetPanName}已经暴露在空气中，她羞红了脸，双手紧张地按住裙子。
1002,raise_skirt,0,t_wear_pan,{Name}假装不经意地走到{TargetName}旁边，突然伸手掀起了她的{TagetSkiName}，{TargetName}猝不及防，看到自己的{TagetPanName}被暴露，眼神中充满了惊讶和羞涩，身体微微颤抖。
1003,raise_skirt,0,t_wear_pan,{Name}轻轻掀起{TargetName}的{TagetSkiName}，露出她的{TagetPanName}，{TargetName}的身体顿时变得僵硬，脸上闪过一丝慌乱，双腿不自觉地并拢，试图掩饰自己的尴尬。
1004,raise_skirt,0,t_wear_pan,{Name}笑着掀起{TargetName}的{TagetSkiName}，{TargetName}感到一阵凉风拂过下身，低头看到自己的{TagetPanName}暴露无遗，她咬着嘴唇，眼神中充满了羞意和无助。
1005,raise_skirt,0,t_wear_pan,{Name}假装不小心碰到{TargetName}，顺势掀起她的{TagetSkiName}，{TargetName}的{TagetPanName}展露在视线中，她惊慌地后退了一步，双手急忙下压裙摆，眼中带着一丝责备和羞怒。
1006,raise_skirt,0,t_wear_pan,{Name}大胆地掀起{TargetName}的{TagetSkiName}，{TargetName}的{TagetPanName}完全展现在眼前，她的脸瞬间变得通红，呼吸急促，手足无措地想要遮挡，却不知该如何是好。
1007,raise_skirt,0,t_wear_pan,{Name}快速掀起{TargetName}的{TagetSkiName}，{TargetName}一时反应不及，{TagetPanName}已经暴露，她慌乱中转过身去，手忙脚乱地整理着裙子，脸上露出了羞愤交加的表情。
1008,raise_skirt,0,t_wear_pan,{Name}轻轻掀起{TargetName}的{TagetSkiName}边缘，{TargetName}立刻察觉，但为时已晚，她的{TagetPanName}已经被看到，她轻轻抱怨了一声，脸颊泛起红晕，眼神中透露出羞涩与嗔怪。
1009,raise_skirt,0,t_wear_pan,{Name}俏皮地掀起{TargetName}的{TagetSkiName}，{TargetName}感到下身一凉，低头看见自己的{TagetPanName}被展示出来，她的双手急忙按住裙边，眼神中流露出慌乱与不安。
1010,raise_skirt,0,t_wear_pan,{Name}趁{TargetName}不注意时，迅速掀起她的{TagetSkiName}，{TargetName}被突如其来的举动吓了一跳，看到自己的{TagetPanName}暴露在外，她的脸一下子涨得通红，双腿绞在一起。
1011,raise_skirt,0,t_wear_pan,{Name}故意将{TargetName}的{TagetSkiName}高高掀起，{TargetName}的{TagetPanName}完全暴露，她惊慌失措地想要遮挡，却被{Name}的手阻止，只能红着脸，眼中含着泪水，承受着这份羞耻。
1012,raise_skirt,0,t_wear_pan,{Name}假装不小心地掀起{TargetName}的{TagetSkiName}，露出她的{TagetPanName}，{TargetName}瞬间感到一阵慌乱，双手迅速下压裙摆，脸上露出了尴尬而又羞涩的表情。
1013,raise_skirt,0,t_wear_pan,{Name}突然从背后靠近，掀起{TargetName}的{TagetSkiName}，{TargetName}的{TagetPanName}暴露无遗，她急忙转身，双手护在身前，眼神中充满了惊讶与羞涩，脸颊染上一层红晕。
1014,raise_skirt,0,t_wear_pan,{Name}轻巧地掀起{TargetName}的{TagetSkiName}，{TargetName}感到一阵凉意，低头看到自己的{TagetPanName}被暴露，她的身体微微颤抖，眼神中流露出羞怯，双手慌乱地想要遮挡。
1015,raise_skirt,0,t_wear_pan,{Name}猝不及防地掀起{TargetName}的{TagetSkiName}，{TargetName}的{TagetPanName}完全展露，她的眼睛瞪大，嘴唇微微颤抖，一时间不知所措，只能僵在原地，脸上浮现出羞红。
1016,raise_skirt,0,t_wear_pan,{Name}笑着掀起{TargetName}的{TagetSkiName}，{TargetName}低头看到自己的{TagetPanName}暴露在空气中，她惊呼一声，迅速用手按住裙子，脸上露出了窘迫和羞涩的表情。
1017,raise_skirt,0,t_wear_pan,{Name}悄悄接近{TargetName}，一把掀起她的{TagetSkiName}，{TargetName}被突然的动作吓了一跳，看到自己的{TagetPanName}被暴露，她急忙转身，脸颊泛红，眼中流露出惊慌与羞意。
1018,raise_skirt,0,t_wear_pan,{Name}趁{TargetName}不备，掀起她的{TagetSkiName}，{TargetName}的{TagetPanName}完全暴露，她的身体僵硬了一瞬，随后急忙用手按住裙摆，眼神中充满了惊讶和羞涩。
1019,raise_skirt,0,t_wear_pan,{Name}故意掀起{TargetName}的{TagetSkiName}，{TargetName}感到下身一凉，低头看到自己的{TagetPanName}被展示出来，她的脸涨得通红，双腿不自觉地并拢，眼中闪过一丝羞恼。

1050,raise_skirt,0,t_not_wear_pan,{Name}突然掀起{TargetName}的{TagetSkiName}，发现她下面居然没穿内裤，私密处完全暴露，{TargetName}惊慌失措，脸上瞬间涨得通红，双手慌乱地想要遮挡，眼里泛起了羞耻的泪花。
1051,raise_skirt,0,t_not_wear_pan,{Name}悄悄接近{TargetName}，迅速掀起她的{TagetSkiName}，惊讶地发现下面竟然空无一物，{TargetName}的身体猛地僵住，脸色涨红，眼神中充满了极度的羞耻和惊慌，双手急忙下压遮挡。
1052,raise_skirt,0,t_not_wear_pan,{Name}装作不经意地掀起{TargetName}的{TagetSkiName}，下面赤裸的私处完全暴露，{TargetName}惊呼一声，身体剧烈颤抖，羞耻感让她几乎站不稳，双手慌乱地按住裙摆，眼中含着泪水。
1053,raise_skirt,0,t_not_wear_pan,{Name}突然掀起{TargetName}的{TagetSkiName}，看到下面没有内裤的私密处，{TargetName}的脸瞬间变得通红，呼吸急促，手忙脚乱地想要遮挡，眼神中透露出极度的羞耻和惊慌。
1054,raise_skirt,0,t_not_wear_pan,{Name}趁{TargetName}不备，掀起她的{TagetSkiName}，露出下面没有遮掩的私处，{TargetName}受到极大的惊吓，身体微微发抖，双手急忙合拢遮挡，脸上浮现出深深的红晕和羞耻。
1055,raise_skirt,0,t_not_wear_pan,{Name}笑着掀起{TargetName}的{TagetSkiName}，发现她竟然没穿内裤，{TargetName}惊慌地按下裙摆，脸上红得发烫，眼神中充满了羞耻和无助，双腿不自觉地并拢。
1056,raise_skirt,0,t_not_wear_pan,{Name}轻轻掀起{TargetName}的{TagetSkiName}，露出下面没有内裤的私密处，{TargetName}的身体顿时僵硬，脸色涨红，双手慌乱地压下裙摆，眼神中流露出极度的羞耻和惊慌。
1057,raise_skirt,0,t_not_wear_pan,{Name}假装不小心碰到{TargetName}，同时掀起她的{TagetSkiName}，惊讶地发现她下面居然什么也没穿，{TargetName}瞬间面红耳赤，慌乱中几乎跌倒，双手紧张地遮挡着私处。
1058,raise_skirt,0,t_not_wear_pan,{Name}故意掀起{TargetName}的{TagetSkiName}，露出下面没有遮掩的私处，{TargetName}惊呼一声，身体微微颤抖，羞耻感让她几乎说不出话来，双手慌乱地想要遮挡。
1059,raise_skirt,0,t_not_wear_pan,{Name}突然从背后掀起{TargetName}的{TagetSkiName}，发现她竟然没穿内裤，{TargetName}被吓了一跳，急忙转身，双手紧紧按住裙摆，脸上红得发烫，眼神中充满了羞耻和责备。
1060,raise_skirt,0,t_not_wear_pan,{Name}趁{TargetName}不注意，快速掀起她的{TagetSkiName}，露出下面没有内裤的私密处，{TargetName}的身体瞬间绷紧，脸色涨红，双手慌乱地想要遮挡，眼神中流露出极度的羞耻和惊慌。
1061,raise_skirt,0,t_not_wear_pan,{Name}俏皮地掀起{TargetName}的{TagetSkiName}一角，惊讶地发现她下面居然什么都没穿，{TargetName}察觉后猛地按下裙摆，脸上瞬间涨得通红，身体微微发抖，眼神中充满了羞愧和慌乱。
1062,raise_skirt,0,t_not_wear_pan,{Name}轻轻掀起{TargetName}的{TagetSkiName}边缘，看到下面赤裸的私处，{TargetName}惊慌失措，双手急忙按住裙摆，脸上浮现出深深的红晕，眼神中透露出极度的羞耻和惊慌。
1063,raise_skirt,0,t_not_wear_pan,{Name}假装不经意地掀起{TargetName}的{TagetSkiName}，露出下面没有内裤的私密处，{TargetName}的身体猛地一颤，脸色涨红，呼吸急促，手忙脚乱地想要遮挡，眼神中充满了羞耻和惊慌。
1064,raise_skirt,0,t_not_wear_pan,{Name}出其不意地掀起{TargetName}的{TagetSkiName}，发现她竟然没穿内裤，{TargetName}惊呼一声，双手慌乱地按住裙摆，脸上红得发烫，眼神中透露出极度的羞耻和惊慌。
1065,raise_skirt,0,t_not_wear_pan,{Name}调皮地掀起{TargetName}的{TagetSkiName}，惊讶地发现下面空无一物，{TargetName}的身体顿时僵硬，脸上浮现出深深的红晕，双手急忙下压遮挡，眼神中流露出极度的羞耻和惊慌。
1066,raise_skirt,0,t_not_wear_pan,{Name}突然掀起{TargetName}的{TagetSkiName}，看到下面没有内裤的私密处，{TargetName}惊慌失措，脸色涨红，身体微微发抖，双手慌乱地想要遮挡，眼中含着羞耻的泪水。
1067,raise_skirt,0,t_not_wear_pan,{Name}从侧面靠近，迅速掀起{TargetName}的{TagetSkiName}，露出下面没有遮掩的私处，{TargetName}受到极大的惊吓，双手急忙合拢遮挡，脸上红得发烫，眼神中充满了羞耻和惊慌。
1068,raise_skirt,0,t_not_wear_pan,{Name}趁{TargetName}转身的瞬间，掀起她的{TagetSkiName}，发现她竟然没穿内裤，{TargetName}察觉后猛地转身，双手紧张地按住裙摆，脸上浮现出深深的红晕，眼神中透露出极度的羞耻和惊慌。
1069,raise_skirt,0,t_not_wear_pan,{Name}猝不及防地掀起{TargetName}的{TagetSkiName}，看到下面赤裸的私处，{TargetName}的身体微微颤抖，脸色涨红，双手慌乱地想要遮挡，眼神中流露出极度的羞耻和恼怒。
