cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_c_orgasm_super_B,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,{TargetName}稚嫩单薄的身子骤然绷紧到极限，{clitoris}极度剧烈地长时间连续搏动痉挛，充血胀硬到极致，从包皮下完全暴露挺出，不住地颤抖。\n她幼小的下腹深处持续剧烈抽搐，稚气的耻骨疯狂地向上顶动，纤细的腰肢反复深深弓起后又彻底瘫软下去，青涩单薄的脊背绷成一张满弓。\n她瘦削的四肢失控地颤抖痉挛，两条细腿无意识地乱蹬，稚嫩的小手死死攥紧，指节泛白，脚趾用力蜷缩扣拢。\n圆圆的眼睛彻底涣散无神，稚气的唇舌失控地微微开合，口水顺着嘴角溢出，通红的小脸大汗淋漓，呼吸完全失控地急促起伏。\n幼嫩的阴部彻底失控地大量喷涌爱液，四处飞溅，浸湿了细嫩的腿根，整具青涩的身躯在长久的痉挛中剧烈抖动，久久无法平复。
1001,action_part_c_orgasm_super_B,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,稚气未脱的{TargetName}整个小身板猛地弹起，{clitoris}以四档之最的烈度疯狂搏动颤动，胀硬挺立到几乎要炸裂，长时间地连续痉挛个不停。\n她青涩的小腹一下下地深深绞缩抽搐，纤瘦的腰肢极度向上弓起，随即又整个软塌下去，单薄的脊椎一节节剧烈起伏。\n她细弱的双臂和小腿失控地痉挛乱蹬，稚嫩的十指痉挛般张开又攥紧，脚背绷直，脚趾狠狠蜷曲。\n她圆睁的双眼失焦涣散，稚嫩的嘴角挂着来不及吞咽的涎水，通红的小脸上满是汗珠，胸口剧烈而紊乱地起伏喘动。\n幼小的阴部失禁般地喷洒出汹涌爱液，飞溅淋漓，沿着青涩的腿缝大股淌落，稚嫩的身躯从头到脚被一波接一波的痉挛反复贯穿。
1002,action_part_c_orgasm_super_B,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,{TargetName}稚嫩的躯体骤然拱成一张紧绷的弓，{clitoris}长久而剧烈地不受控制地连续搏动痉挛，充血挺立到发硬，完全从包皮下暴露顶出。\n她幼小的下腹深处持续痉挛抽动，青涩的耻骨一次次疯狂上顶，纤细的腰肢反复深深弓起后又彻底瘫软，单薄的身子剧烈战栗。\n她瘦弱的四肢强烈而持续地抽搐绷紧，两条细腿失控地痉挛蹬动，稚气的小手胡乱抓攥，指节死死泛白。\n她圆溜溜的眼睛彻底翻涌失神，稚嫩的唇舌控制不住地颤抖开合，口涎顺着下巴滑落，滚烫通红的小脸淌满了汗水。\n幼嫩的阴部彻底失控地大量喷涌爱液，四下飞溅，将细嫩的腿根浇得湿透，整具青涩单薄的身躯在长时间的连续痉挛里剧烈抖动不止。
1003,action_part_c_orgasm_super_B,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,稚嫩的{TargetName}小小的身躯猛地绷直弹动，{clitoris}极度剧烈地长时间搏动颤栗，胀硬到极限也依旧完全暴露挺立，一刻不停地痉挛。\n她青涩的小腹持续深深抽搐绞紧，纤瘦的耻骨疯狂地向上顶送，单薄的腰肢深深弓起后又彻底软瘫，稚气的脊背反复剧烈起伏。\n她细弱的手脚失控地颤抖乱蹬，稚嫩的十指痉挛着攥紧又张开，脚趾狠狠向内蜷扣，脚踝绷得死紧。\n她圆睁的双眼涣散无神，稚气的嘴大张着无声喘息，涎水挂在唇边，通红滚烫的小脸上汗珠涔涔滚落。\n幼小的阴部失禁般地喷洒出大股爱液，淋漓四溅，顺着青涩细嫩的腿根一路淌下，整具单薄的身子被连绵不绝的痉挛反复撕扯抖动。
1004,action_part_c_orgasm_super_B,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,{TargetName}青涩单薄的身体骤然绷紧到极点，{clitoris}以远超寻常的猛烈幅度长时间连续搏动痉挛，充血胀硬到发痛，完全从包皮下挺出暴露。\n她幼小的下腹深处一阵阵剧烈抽搐，稚嫩的耻骨不住地疯狂上顶，纤细的腰肢极度弓起后又整个瘫软，单薄的脊椎剧烈弓动。\n她瘦削的四肢强烈而持续地痉挛绷紧，两条细腿无意识地乱蹬扑腾，稚气的小手死死抓紧，指节惨白，脚趾用力蜷缩。\n她圆圆的眼睛彻底失神涣散，稚嫩的唇舌失控地哆嗦开合，口水顺着嘴角流下，通红的小脸挂满汗珠，呼吸彻底乱成一团。\n幼嫩的阴部彻底失控地喷涌出大量爱液，四处飞溅，将细嫩腿根浸得湿淋淋的，整具稚嫩青涩的身躯在漫长的连续痉挛中不停剧烈抖动。

