cid,name,type,info
配表id,状态名字,状态类型,状态说明
int,str,int,str
0,1,0,1
角色状态属性表,,,
0,皮肤,0,性器官以外的皮肤上的性快感累积值
1,胸部,0,胸部及乳头区域的性快感累积值
2,阴蒂,0,阴蒂及其周边区域的性快感累积值
3,阴茎,0,阴茎及龟头的性快感累积值
4,阴道,0,阴道内壁及G点区域的性快感累积值
5,肛肠,0,肛门及直肠区域的性快感累积值
6,尿道,0,尿道口、尿道、膀胱的性快感累积值
7,子宫,0,子宫颈及子宫内壁的性快感累积值
8,润滑,1,阴道、肛肠等部位的润滑状态
9,习得,1,通过学习、训练、经验累积获得的知识总量
10,恭顺,1,服从与顺从玩家命令的累积值
11,好意,1,与玩家进行亲密互动的累积值
12,欲情,1,性欲的高涨与性冲动的累积值
13,快乐,1,身心愉悦与幸福感的累积值
14,先导,1,在互动中掌握主导权与控制权的累积值
15,屈服,1,精神层面的屈服与丧失意志的累积值
16,羞耻,1,羞耻感与打破社会道德束缚的情绪累积值
17,苦痛,1,肉体痛苦的累积值
18,恐怖,1,恐惧、惊吓与不安的情绪累积值
19,抑郁,1,抑郁、绝望与消极的情绪累积值
20,反感,1,对玩家的厌恶、反感与敌意的情绪累积值
21,口喉,0,口腔、舌头、喉咙的性快感累积值
22,兽部,0,兽耳、尾巴、翅膀等兽化部位的性快感累积值
23,心理,0,纯心理层面的性快感累积值
