cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}轻轻抚摸着温室内的一株薰衣草，对{TargetName}露出温和的微笑。“博士，您知道吗？薰衣草的种植其实很有讲究。\n我发现不同品种的薰衣草对土壤的要求各不相同，有些喜欢偏碱性的土壤，有些则更适合中性土壤。在温室里，我需要根据每种薰衣草的特性来调配合适的土壤配方，这样才能让它们健康生长，开出香气浓郁的花朵。”\n
2,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}手中拿着一小束新鲜的迷迭香，向{TargetName}展示着。“博士，迷迭香的照料需要特别注意修剪时机。我发现定期修剪能让植株更加茂盛，但修剪时要注意保留足够的叶片，不能剪得太狠。\n而且迷迭香喜欢充足的阳光，在光照不足的环境下生长会变得缓慢，香气也会减弱。”
3,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在为玫瑰松土，转头对{TargetName}说道：“博士，您看这些玫瑰，每一株的生长习性都略有不同。大马士革玫瑰需要更多的空间来伸展根系，而迷你玫瑰则更适合盆栽。\n我在照料过程中发现，适当的松土能让玫瑰的根系呼吸更顺畅，这样花朵就会开得更加饱满。”
4,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}从花盆里拔出一株薄荷，向{TargetName}解释道：“博士，薄荷的繁殖其实很简单。我发现用茎插法繁殖成功率很高，只要选取健康的枝条，插入湿润的土壤中就能生根。\n而且薄荷生长很快，需要定期分株，否则根系会过于拥挤，影响植株的健康。”
5,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在检查茉莉花的叶片，对{TargetName}分享道：“博士，茉莉花对温度很敏感。我发现在温室里保持适宜的温度范围很重要，太冷会影响开花，太热则容易导致叶片枯黄。\n而且茉莉花喜欢湿润的环境，但浇水时要注意不能积水，否则根部容易腐烂。”
6,chat,0,work_is_floral_planter&sys_4,{Name}手中拿着一个装满种子的袋子，向{TargetName}介绍道：“博士，香草种子的保存很有讲究。我发现不同香草种子的保存条件各不相同，有些需要低温干燥，有些则要保持一定的湿度。\n而且种子的新鲜度直接影响发芽率，所以我都会标注好采收日期，确保使用最新鲜的种子。”
7,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在为香草植物施肥，对{TargetName}说道：“博士，您知道香草植物的施肥时机吗？我发现在生长季节定期施肥很重要，但要控制好肥料的浓度。\n太浓的肥料会烧伤根系，太淡则无法满足植物的营养需求，需要根据植株的生长状态来调整。”
8,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}从花圃里拔除杂草，对{TargetName}解释道：“博士，杂草管理是种植中的重要环节。我发现定期除草不仅能减少养分竞争，还能预防病虫害的传播。\n而且除草时要连根拔起，否则很快就会重新生长，影响香草的正常生长。”
9,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在观察香草的生长情况，对{TargetName}分享道：“博士，我发现香草植物的生长周期很有规律。每种香草都有其特定的生长旺季和休眠期，了解这些规律能帮助我更好地安排照料工作。\n比如薰衣草在春季生长最快，而迷迭香则更适合在秋季进行大规模繁殖。”
10,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}轻轻整理着收获的香草，对{TargetName}微笑道：“博士，香草的采收时机直接影响品质。我发现不同香草的最佳采收期各不相同，有些要在花蕾期采收，有些则要等到完全绽放。\n而且采收时的天气也很重要，晴朗干燥的天气最适合采收，这样能保证香草的最佳状态。”
11,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在为香草植物调整光照，对{TargetName}解释道：“博士，光照对香草生长的影响很大。我发现不同香草对光照的需求各不相同，有些喜欢全日照，有些则需要适当的遮荫。\n在温室里，我需要根据每种香草的特性来安排它们的位置，确保每株植物都能获得最适合的光照条件。”
12,chat,0,work_is_floral_planter&sys_4,{Name}手中拿着一个喷壶，向{TargetName}展示着。“博士，我发现喷水的方式对香草生长很重要。细密的水雾比直接浇水更适合香草植物，这样既能保持叶片湿润，又不会让土壤过于潮湿。\n而且喷水的时间也很讲究，最好在早晨进行，这样叶片上的水分能在白天蒸发，避免夜间潮湿引发病害。”
13,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在检查土壤湿度，对{TargetName}说道：“博士，土壤湿度的判断需要经验。我发现用手指插入土壤是最直观的方法，如果表层干燥但下面湿润，就说明湿度正好。\n太干的土壤会让香草生长缓慢，太湿则容易导致根部腐烂，需要保持恰到好处的湿润度。”
14,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}从花盆里移出一株香草，向{TargetName}解释道：“博士，香草的换盆时机很重要。我发现当根系开始从盆底排水孔伸出时，就是换盆的最佳时机。\n换盆时要小心不要损伤根系，新盆要比旧盆稍大一些，给根系足够的生长空间。”
15,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在为香草植物除虫，对{TargetName}分享道：“博士，我发现预防虫害比治疗更重要。定期检查叶片背面，及时发现并清除虫卵，能有效防止虫害蔓延。\n而且保持温室通风良好，也能减少病虫害的发生几率。”
16,chat,0,work_is_floral_planter&sys_4,{Name}手中拿着园艺剪刀，向{TargetName}介绍道：“博士，修剪工具的选择很有讲究。锋利的剪刀能减少对植物的伤害，钝的工具会压伤茎秆，影响植物恢复。\n我每次使用前都会检查剪刀是否锋利，确保修剪时切口平整，这样植物才能更快愈合。”
17,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在观察香草的生长速度，对{TargetName}说道：“博士，我发现香草的生长速度与环境密切相关。温度适宜、光照充足时，香草生长最快；而在环境条件不佳时，生长会明显放缓。\n通过观察生长速度的变化，我能及时调整照料方式，确保每株香草都能健康生长。”
18,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}从苗床上拔出一株幼苗，向{TargetName}解释道：“博士，幼苗的移植需要特别小心。我发现带土移植能大大提高成活率，因为这样能保护幼嫩的根系不受损伤。\n移植后要及时浇水，但水量要控制好，太多会淹死幼苗，太少则无法帮助根系适应新环境。”
19,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在为香草植物搭建支架，对{TargetName}分享道：“博士，有些香草需要支架支撑。我发现及时搭建支架能让植株生长更整齐，避免倒伏影响美观和健康。\n支架的材料也很重要，要选择不会伤害植物的柔软材质，比如竹竿或塑料杆。”
20,chat,0,work_is_floral_planter&sys_4,{Name}手中拿着温度计，向{TargetName}介绍道：“博士，温度监控是温室管理的重要环节。我发现不同香草对温度的要求各不相同，有些耐寒，有些喜温。\n通过精确控制温度，我能为每种香草创造最适宜的生长环境，确保它们都能茁壮成长。”
21,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在为香草植物松土，对{TargetName}说道：“博士，松土的深度需要掌握好。我发现浅层松土最适合香草植物，既能改善土壤通气性，又不会伤到浅层根系。\n松土时要用小耙子轻轻操作，避免用力过猛破坏土壤结构。”
22,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}从花圃里收集落叶，向{TargetName}解释道：“博士，落叶处理也是种植工作的一部分。我发现及时清理落叶能减少病害传播，保持种植区域的整洁。\n而且有些落叶可以作为堆肥原料，经过处理后还能为植物提供养分。”
23,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在观察香草的叶片颜色，对{TargetName}分享道：“博士，叶片颜色能反映植物的健康状况。我发现鲜绿的叶片说明植物生长良好，而发黄或发白的叶片可能表示营养不足或病害。\n通过定期观察叶片颜色，我能及时发现并解决潜在问题。”
24,chat,0,work_is_floral_planter&sys_4,{Name}手中拿着湿度计，向{TargetName}介绍道：“博士，空气湿度对香草生长也很重要。我发现大多数香草喜欢中等湿度环境，太干燥会导致叶片枯黄，太潮湿则容易引发真菌病害。\n在温室里，我需要通过通风和喷水来调节湿度，创造最适合香草生长的环境。”
25,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在为香草植物分株，对{TargetName}说道：“博士，分株是繁殖香草的好方法。我发现选择健壮的母株进行分株，成活率最高。\n分株时要确保每个新株都有足够的根系，这样移植后才能快速恢复生长，保持原有的生长特性。”
26,chat,0,work_is_floral_planter&sys_4,{Name}从苗圃里挑选种子，向{TargetName}解释道：“博士，种子筛选需要仔细。我发现饱满、色泽均匀的种子发芽率最高，而干瘪或有损伤的种子往往无法正常发芽。\n每次播种前我都会仔细挑选，确保使用最优质的种子。”
27,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在为香草植物记录生长数据，对{TargetName}分享道：“博士，我发现记录生长数据很有帮助。通过记录每株植物的生长情况，我能更好地了解它们的生长规律和需求。\n这些数据还能帮助我总结经验，提高种植技术，让香草长得更好。”
28,chat,0,work_is_floral_planter&sys_4,{Name}手中拿着园艺手套，向{TargetName}介绍道：“博士，防护装备在种植工作中很重要。我发现戴手套不仅能保护双手，还能避免手上的细菌传染给植物。\n而且有些香草的叶片边缘很锋利，戴手套能防止被划伤。”
29,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在为香草植物调整间距，对{TargetName}说道：“博士，植株间距直接影响生长质量。我发现间距太近会导致植物争夺养分和阳光，太远则浪费种植空间。\n通过合理调整间距，我能让每株香草都有足够的生长空间，长得更加健壮。”
30,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}从工具架上取下喷壶，向{TargetName}解释道：“博士，我发现喷壶的选择也很重要。细雾喷壶适合给叶片喷水，而普通喷壶更适合浇灌土壤。\n根据不同的需求选择合适的工具，能让照料工作更加高效。”
31,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在观察香草的开花情况，对{TargetName}分享道：“博士，我发现开花时间能反映植物的健康状况。按时开花的香草说明生长环境适宜，而延迟开花可能表示某些条件需要调整。\n通过观察开花时间，我能及时发现问题并改进照料方法。”
32,chat,0,work_is_floral_planter&sys_4,{Name}手中拿着园艺铲，向{TargetName}介绍道：“博士，我发现铲子的使用技巧需要练习。斜插入土能减少对根系的伤害，轻轻摇动能让土壤松动而不破坏根系。\n掌握正确的使用方法，能让移植和松土工作更加顺利。”
33,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在为香草植物清理枯叶，对{TargetName}说道：“博士，及时清理枯叶很重要。我发现枯叶不仅影响美观，还可能成为病害的温床。\n定期清理能让植株保持整洁，减少病虫害的发生几率。”
34,chat,0,work_is_floral_planter&sys_4,{Name}从种子袋里取出几粒种子，向{TargetName}解释道：“博士，我发现种子储存条件影响发芽率。干燥、阴凉的环境最适合储存种子，高温或潮湿会降低种子的活力。\n我专门准备了种子储存箱，确保每批种子都能保持最佳状态。”
35,chat,0,work_is_floral_planter&sys_4&in_greenhouse,{Name}正在为香草植物测量生长高度，对{TargetName}分享道：“博士，我发现定期测量生长高度很有意义。通过记录生长数据，我能了解每种香草的生长速度和规律。\n这些信息能帮助我优化照料方案，让香草在最佳条件下生长。”
36,chat,0,work_is_floral_planter&sys_4,{Name}手中拿着园艺标签，向{TargetName}介绍道：“博士，我发现给植物贴标签很有必要。标签上记录品种名称和种植日期，能帮助我跟踪每株植物的生长历程。\n这样即使种植很多品种，我也能清楚地了解每株香草的情况。”
