cid,Talent_type,name,heredity,info
素质id,"类型(0:性素质,1:身体素质,2:精神素质,3:技术素质,4:其他素质)",名字,是否可遗传,备注说明
int,int,str,int,str
0,0,1,0,1
素质对应类型和文字描述,,,,

111,1,兽耳,1,柔软的动物耳朵长在头顶，能灵活地随情绪变化而转动。耳朵内侧覆盖着细腻的绒毛，轻触会引起敏感的反应。根据不同种类可能呈现出各种形态，从小巧可爱到修长优雅不等。
112,1,兽角,1,头部长出的角质结构，质地坚硬光滑，可能是短小圆润的，也可能是修长弯曲的。角的表面可能有独特的纹路或花纹，触碰时会传递轻微的感觉。在阳光下可呈现出微妙的光泽。
113,1,兽尾,1,从尾椎骨延伸出的柔软尾巴，覆盖着与兽耳相同特性的毛发。尾巴能自主活动，反映主人的情绪变化。长度和形态各异，从短小蓬松到修长灵活，都能展现出独特的魅力与性感。
114,1,光环,1,头顶上方漂浮着的圆形光芒，散发出柔和而神圣的光辉。光环不受物理约束，可随主人移动而保持稳定悬浮。根据情绪变化，光环的亮度和颜色可能会有微妙变化。
115,1,翅膀,1,背部生长出的翼状结构，覆盖着细腻的羽毛或薄如蝉翼的膜。翅膀可以自由展开收拢，充分展开时能达到身高的一到两倍宽度。羽翼轻盈而富有弹性，有着极高的审美价值。
116,1,触手,1,身体某处可以长出柔软灵活的触手组织，表面光滑且略带黏性。这些触手能够自由延展收缩，具有惊人的力量和灵敏度。触手末端的感知极为敏锐，可以感知微小的温度和质地变化。
117,1,小车,0,带着小车。

121,1,绝壁,1,两片小巧的乳房仅形成一个微弱的突起，乳房的边缘轮廓模糊，和胸口没有明显的分界线，两点浅色的乳头几乎隐没在乳晕之中。手掌可以轻易地整个盖住。
122,1,贫乳,1,两片微微隆起的乳房，线条柔和，呈现出自然突出的形状，乳头的形状若隐若现，蕴含着朦胧的性感。乳房突起也不明显，手掌可以整个握住。
123,1,普乳,1,丰满而不过分的乳房，蕴含着成熟女性的魅力，既健康又迷人。乳房有一个自然的弧度，手掌可以包裹住，但很难整个握住。
124,1,巨乳,1,过分丰满的乳房高高耸立，乳房呈现出饱满高耸的弧度，线条丰腴流畅。手掌无法整个握住，从指缝间会有乳肉溢出。
125,1,爆乳,1,乳房高高隆起，饱满程度近乎极致，服装近乎完全无法束缚这一切。达到了令人视线完全无法离开的程度，有着手掌完全无法握住的大小，整张脸也肯定可以埋得进去。
126,1,小臀,1,臀部较小，仅比手掌大去不多，并没有得到充分发育，臀型较为平坦，缺乏曲线感。
127,1,普臀,1,双手难以覆盖。臀型明显丰满上翘，有弧度感。看上去完全能够诞下非常健康的孩子，臀肉较为饱满有力。
128,1,巨臀,1,臀部高度丰满，双手无法覆盖大部分区域。臀型极为饱满翘挺，雄性近乎于无法抗拒的程度，非常吸引人的眼球。亦可以称之为成熟雌性的典范
129,1,细腿,1,修长纤细的双腿，肌肉线条若隐若现，关节处形成优美的轮廓。腿部肌肤光滑细腻，充满了视觉上的美感。行走时姿态轻盈，给人以高挑优雅的印象。
130,1,肉腿,1,腿部肌肉丰满有力，线条圆润饱满。大腿内侧和小腿肚都有着恰到好处的肉感，触感柔软而富有弹性。行走时肌肉的轻微起伏展现出健康与活力。
131,1,小足,1,脚掌纤巧玲珑，足弓高挑优雅。脚趾排列紧凑整齐，比例和谐。足背皮肤细腻，踝关节处轮廓分明。整体呈现出精致小巧的美感，走路时动作轻盈。
132,1,长足,1,双足修长，脚掌与小腿比例和谐。足弓线条流畅优美，脚趾排列整齐修长。踝关节轮廓清晰，整体呈现出优雅成熟的魅力。步态稳健而优美，展现出独特的韵律感。
