cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,chat,0,is_assistant&sys_4&in_dr_off&time_morning,{Name}手里拿着今天的日程安排表走到{TargetName}的办公桌前，微微欠身说道：“博士，早上好。我想向您确认一下今天的工作安排，特别是那些需要优先处理的事项。\n根据昨天的会议记录，今天上午九点我们需要讨论关于新干员培训计划的具体实施方案，这个项目目前已经进入了关键阶段。另外，医疗部门提交了一份关于源石病患者康复训练设施升级的预算申请，需要您在今天下午两点前审批。\n还有，后勤部门报告说最近物资运输方面遇到了一些困难，可能需要您出面协调。”{Name}一边说着，一边在日程表上做着标记，“除此之外，还有一些常规的文书工作需要处理。\n您看这些安排是否合理？如果需要调整的话，我可以立即重新安排时间。”她抬起头，用期待的眼神看着{TargetName}，等待着你的指示。\n
2,chat,0,is_assistant&sys_4&in_dr_off,{Name}带着一份厚厚的物资清单走进{TargetName}的办公室，脸上带着些许严肃的表情。“博士，我需要向您汇报一下罗德岛近期的物资储备情况。\n根据最新的统计数据显示，我们的医疗物资储备目前处于中等水平，其中源石病相关药物的库存量可以维持大约三周的正常使用。食品储备方面，主食类物资相对充足，但新鲜蔬菜和水果的供应存在一定压力，这可能与最近的天气变化有关。\n在武器装备方面，常规弹药储备充足，但一些特殊型号的源石技艺装备配件库存偏低。”{Name}翻开清单的下一页，继续说道：“基于这些情况，我建议我们可以优先补充新鲜食材和特殊装备配件。\n我已经联系了几个可靠的供应商，他们表示可以在三天内提供第一批补给。另外，考虑到即将到来的雨季，我还建议增加一些防潮物资的储备。\n您对这些补给计划有什么看法？”她认真地看着{TargetName}，等待着你的决策。
3,chat,0,is_assistant&sys_4&in_dr_off,{Name}拿着干员轮班表来到{TargetName}面前，脸上带着思考的神情。“博士，我想和您讨论一下下个周期的干员轮班安排。\n目前我们面临的主要问题是几个关键岗位的人员调配。医疗部门那边，华法琳医生表示她需要更多时间进行源石病研究，可能无法承担过多的值班任务。\n而作战部门方面，一些经验丰富的干员即将开始休假，我们需要确保在此期间有足够的人手应对可能的突发情况。”{Name}指着轮班表上的几个位置说道：“我建议可以将一些新晋干员安排到相对轻松的岗位上进行锻炼，同时保留核心骨干在重要位置。\n另外，考虑到不同干员的专长和身体状况，我还做了一些个性化的调整。比如，让擅长源石技艺的干员更多地参与技术性工作，而体力较好的干员则负责外勤任务。\n您觉得这样的安排是否合理？”她认真地询问着{TargetName}的意见。
4,chat,0,is_assistant&sys_4&in_dr_off,{Name}带着一本厚厚的源石技艺训练手册来到{TargetName}的办公室，脸上带着求教的表情。“博士，我想向您请教一些关于源石技艺训练的问题。\n最近我在指导新干员进行基础训练时遇到了一些困惑。比如，如何判断一个干员适合哪种类型的源石技艺发展方向？有些干员虽然天赋不错，但在控制力方面存在困难。\n而另一些干员则是在能量输出稳定性上需要加强。”{Name}翻开手册的某一页，指着上面的图示说道：“我在想，是否应该根据每个干员的特点制定个性化的训练方案？比如，对于控制力较弱的干员，是否可以增加一些精细操作训练？而对于能量输出不稳定的干员，是否需要先从基础的能量控制开始？另外，在训练过程中如何平衡安全性和效果也是一个值得思考的问题。\n您在这方面经验丰富，希望能给我一些建议。”她诚恳地看着{TargetName}，期待着你的指导。
5,chat,0,is_assistant&sys_4&in_dr_off,{Name}拿着一份医疗物资库存报告快步走进{TargetName}的办公室，神情略显担忧。“博士，我需要向您报告医疗部门的最新药品库存情况。\n根据今天的盘点结果，一些关键药品的库存量已经接近警戒线。特别是用于治疗急性源石病发作所带来的各种并发症的急救药物，目前的库存只能维持大约十天的用量。\n常规消炎药和止痛药的储备相对充足，但一些特殊抗生素的库存偏低。”{Name}将报告放在桌上，继续说道：“我建议立即启动紧急采购程序，优先补充急救类药物。\n我已经联系了几家可靠的药品供应商，他们表示可以在48小时内提供第一批货物。另外，考虑到近期源石病患者的增加趋势，我还建议适当增加日常用药的储备量。\n在药品管理方面，我建议加强对近效期药品的监控，避免资源浪费。您对这些建议有什么看法？”她认真地看着{TargetName}，等待着你的决定。\n
6,chat,0,is_assistant&sys_4&in_dr_off,{Name}带着舰船维护计划书来到{TargetName}面前，脸上带着认真的表情。“博士，我想和您讨论一下罗德岛舰船下个季度的维护计划。\n根据工程部门的检测报告，舰船的几个关键系统都需要进行定期维护。动力系统方面，源石引擎需要进行一次全面的检查和保养，预计需要三天时间。\n生命维持系统的过滤器已经接近使用寿命，建议在下次维护时一并更换。”{Name}翻开计划书的另一页，指着上面的时间安排说道：“我建议将维护工作分成几个阶段进行，尽量减少对日常工作的影响。\n第一阶段可以安排在周末进行，主要处理一些不影响正常运行的部件。关键系统的维护则可以选择在工作量相对较少的时间段。另外，我还建议趁此机会对舰船的安全系统进行一次全面升级。\n您觉得这样的安排是否合理？”她仔细地询问着{TargetName}的意见。
7,chat,0,is_assistant&sys_4&in_dr_off,{Name}拿着外勤任务准备清单快步走进{TargetName}的办公室，神情专注。“博士，我需要向您汇报明天外勤任务的准备情况。\n根据任务要求，我已经协调好了参与人员的名单和装备配置。作战小组由六名经验丰富的干员组成，其中包括两名医疗干员和四名战斗干员。\n装备方面，我们已经准备好了足够的防护装备和应急物资。”{Name}仔细查看着清单上的每一项，继续说道：“在通讯保障方面，我确认了所有通讯设备都处于良好状态，并且准备了备用方案。\n交通工具已经安排妥当，司机和随行技术人员也都做好了准备。另外，我还与目的地当地的相关部门进行了沟通，确保任务执行过程中不会遇到不必要的阻碍。\n关于任务的具体细节，我想再和您确认一下几个关键点。您觉得这样的准备是否充分？”她认真地等待着{TargetName}的指示。\n
8,chat,0,is_assistant&sys_4&in_dr_off,{Name}带着一份干员心理健康评估报告来到{TargetName}面前，脸上带着关切的神情。“博士，我想和您交流一下关于干员心理健康的问题。\n最近我注意到一些干员在工作压力下出现了一些心理困扰的迹象。特别是那些经常执行外勤任务的干员，他们面临着更大的心理压力。还有一些新加入的干员，在适应罗德岛环境的过程中也遇到了一些困难。”\n{Name}翻开报告，指着上面的数据说道：“我建议我们可以建立一个更加完善的心理支持体系。比如，定期组织心理健康讲座和团体辅导活动。\n为有需要的干员提供一对一的心理咨询服务。另外，还可以在各部门设立心理联络员，及时发现和帮助有困难的同事。在管理层面，我们也应该关注工作强度的合理安排。\n您对这些建议有什么看法？”她真诚地看着{TargetName}，期待着你的意见。
9,chat,0,is_assistant&sys_4&in_dr_off,{Name}带着几本战术指挥相关的书籍来到{TargetName}的办公室，脸上带着求知的热情。“博士，我想向您请教一些关于战术指挥的经验。\n最近我在学习指挥理论时遇到了一些困惑。比如，在复杂战场环境下如何做出快速而准确的决策？当面临多个目标时，应该如何确定优先级？还有，在指挥过程中如何平衡风险与收益的关系？”{Name}翻开其中一本书，指着上面的案例说道：“我特别想了解您在实际指挥中的一些经验。\n比如，如何根据不同的作战环境和敌我力量对比来调整战术？在信息不完全的情况下，如何做出相对可靠的判断？还有，在团队协作中，如何确保每个成员都能发挥出最佳水平？您在这些方面有着丰富的经验，希望能给我一些指导。”\n她诚恳地看着{TargetName}，期待着你的分享。
10,chat,0,is_assistant&sys_4&in_dr_off,{Name}带着一份关于罗德岛未来发展的建议书来到{TargetName}面前，神情认真而充满期待。“博士，我想和您讨论一下罗德岛未来的发展规划。\n经过这段时间的观察和思考，我对组织的发展方向有了一些想法。在医疗研究方面，我认为我们应该加大对源石病治疗方法的研发投入。毕竟，帮助感染者改善生活质量是我们最重要的使命之一。\n在人才培养方面，我建议建立更加系统的培训体系。让每个干员都能在适合自己的方向上得到充分发展。”{Name}翻开建议书，继续说道：“在对外合作方面，我认为可以加强与各移动城邦的交流。\n这样既能获得更多资源支持，也能扩大我们的影响力。另外，在内部管理上，我建议进一步优化工作流程。提高效率的同时也要关注干员的工作体验。\n您对这些想法有什么看法？”她认真地看着{TargetName}，期待着你的指导。
11,chat,0,is_assistant&sys_4&in_dr_off,{Name}拿着一份新干员入职培训计划来到{TargetName}面前，脸上带着期待的表情。“博士，我想和您讨论一下新干员入职培训的相关事宜。\n根据人力资源部门的统计，下个月将有十五名新干员加入罗德岛。我建议为他们设计一个为期两周的全面培训计划。第一周主要进行基础知识培训，包括罗德岛的组织文化、安全规范、源石病防护等。\n第二周则根据每个干员的具体岗位进行专业技能培训。”{Name}翻开培训计划书，详细说明道：“在培训方式上，我建议采用理论授课与实践操作相结合的方式。\n可以邀请经验丰富的老干员分享实际工作经验。另外，我还建议为每位新干员安排一位导师，帮助他们更快地适应环境。您觉得这样的培训安排是否合理？”她认真地询问着{TargetName}的意见。\n
12,chat,0,is_assistant&sys_4&in_dr_off,{Name}带着一份设备采购申请单来到{TargetName}的办公室，神情认真。“博士，早上好。我需要向您汇报一下设备采购的相关情况。\n根据各部门的需求汇总，我们需要采购一批新的实验设备和办公设备。医疗部门申请了一台高精度的源石病检测仪器，这对于提高诊断准确性非常重要。\n研究部门则需要更新一些实验设备，以支持他们的源石技艺研究项目。”{Name}仔细查看着申请单上的每一项，继续说道：“在预算方面，我已经与财务部门进行了初步沟通。\n他们表示可以在现有预算范围内支持大部分采购需求。不过，一些高价值的设备可能需要分期采购。我建议我们可以优先采购那些对日常工作影响最大的设备。\n您对这些采购计划有什么看法？”她认真地看着{TargetName}，等待着你的决策。
13,chat,0,is_assistant&sys_4&in_dr_off,{Name}拿着一份会议纪要来到{TargetName}面前，脸上带着思考的神情。“博士，我想和您讨论一下昨天部门负责人会议的相关内容。\n会议上各部门负责人都汇报了近期的工作进展和遇到的困难。医疗部门提到他们在源石病治疗方面取得了一些新的进展。但同时也面临着研究经费和专业人员不足的问题。\n作战部门则反映了一些装备老化的问题，需要及时更新。”{Name}翻开会议纪要，继续说道：“我认为我们需要重点关注几个方面。\n首先是加强部门之间的协作，避免资源浪费和重复工作。其次是优化资源配置，确保关键项目能够得到足够的支持。另外，我还建议建立更加畅通的沟通渠道。\n您对这些建议有什么看法？”她认真地询问着{TargetName}的意见。
14,chat,0,is_assistant&sys_4&in_dr_off,{Name}带着一份安全演练计划来到{TargetName}面前，神情严肃。“博士，我想和您讨论一下下个月的安全演练安排。\n根据安全部门的要求，我们需要定期组织全舰安全演练。这次演练将模拟几种常见的紧急情况。包括火灾、源石泄漏、外部袭击等场景。演练将分为几个阶段进行，每个阶段都有不同的重点。”\n{Name}翻开计划书，详细说明道：“我建议将演练安排在周末进行。这样可以最大限度地减少对日常工作的影响。在演练前，我们需要对全体干员进行相关的安全培训。\n确保每个人都了解在紧急情况下应该如何应对。另外，我还建议邀请专业的安全顾问参与演练评估。您觉得这样的安排是否合理？”她认真地看着{TargetName}，等待着你的意见。\n
15,chat,0,is_assistant&sys_4&in_dr_off,{Name}拿着一份国际合作项目提案来到{TargetName}面前，脸上带着期待的表情。“博士，我想和您讨论一下与龙门合作的项目提案。\n龙门方面表示愿意在源石病研究方面与我们开展合作。他们拥有先进的医疗设备和丰富的临床经验。而我们在源石技艺研究方面有着独特的优势。\n这种合作对双方都有很大的好处。”{Name}翻开提案文件，继续说道：“我建议我们可以从几个具体项目开始合作。比如联合开展源石病流行病学调查。\n或者共同研发新的诊断和治疗方法。在合作方式上，我们可以采取人员交流和资源共享的模式。您对这个合作项目有什么看法？”她认真地看着{TargetName}，期待着你的指导。\n
