key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,0863,0,角色编号
Name,str,贝尔德,1,角色姓名
Sex,int,1,0,角色性别
Profession,int,5,0,角色职业为近卫
Race,int,13,0,角色种族为菲林
Nation,int,132,0,角色势力为格拉斯哥帮
Birthplace,int,13,0,角色出身地为维多利亚
Hp,int,2000,0,角色初始体力
Mp,int,2000,0,角色初始气力
Dormitory,str,无,1,角色初始宿舍
Token,str,一把蝴蝶刀,1,角色信物
Introduce_1,str,格拉斯哥帮成员，和其他人一起运营着诺伯特区的“揍歪下巴”拳馆作为据点，并等待维娜和追随她离开维多利亚的格拉斯哥帮成员归来。随身携带着的是从旧货市场淘来的最爱的蝴蝶刀。诺伯特区被萨卡兹分离出去后与卡铎尔、戴菲恩一同坚守拳馆，援助寻求庇护的难民。,1,角色介绍
A|42,int,3,0,角色战斗技能为3
E|81,int,50,0,角色战斗经验为50
T|0,int,1,0,角色有处女素质
T|1,int,1,0,角色有Ａ处女素质
T|4,int,1,0,角色有无接吻经验素质
T|104,int,1,0,角色有少女素质
T|111,int,1,0,角色有兽耳素质
T|113,int,1,0,角色有兽尾素质
T|123,int,1,0,角色有普乳素质
T|128,int,1,0,角色有巨臀素质
T|129,int,1,0,角色有细腿素质
T|131,int,1,0,角色有小足素质
C|5,str,通用上衣,1,角色上衣为通用上衣
C|8,str,通用下衣,1,角色下衣为通用下衣
