cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,b_orgasm_small,0,high_1,阴道深处传来的微妙快感让{Name}的呼吸变得急促，她的小腹开始不自觉地收缩，大腿内侧的肌肉也轻微地颤抖起来。\n她咬住下唇试图抑制那即将溢出的甜美呻吟，却只能发出细碎的喘息声，双手无意识地抓紧了身边能够抓住的东西。\n在博士{PlayerName}的注视下，{Name}的脸颊和耳尖都染上了一层诱人的绯红，她的眼神开始变得迷离，瞳孔微微扩大，显示出她正在经历一次小小的阴道高潮。\n当那一波快感的浪潮终于席卷全身时，她的腰部不由自主地向上弓起，大腿根部不断颤抖，阴道内壁有节奏地收缩着，爱液不受控制地从花径中溢出，打湿了她的私处。\n即使只是一次小小的绝顶，也足以让年轻的{Name}感到全身酥软，双腿发麻，一阵甜美而短暂的空白过后，她羞涩地低下了头，不敢直视{PlayerName}的目光。
1001,b_orgasm_small,0,high_1,阴道内传来的阵阵酥麻快感让{Name}的脚趾不自觉地蜷缩起来，她的小腹开始轻微抽搐，腰肢也无法控制地左右摆动。\n她的呼吸变得破碎而急促，胸脯剧烈起伏，喉咙深处发出甜腻的呜咽声，无法完全抑制的娇喘从她微张的唇间溢出。\n在博士{PlayerName}面前，{Name}感到既羞耻又兴奋，她的眼角微微泛红，带着些许泪光，小脸涨得通红，全身肌肤都泛起了一层诱人的粉色。\n当小高潮来临的那一刻，她的双腿不自主地夹紧又分开，阴道内壁开始有节奏地收缩痉挛，爱液不断从花穴深处涌出，沿着大腿内侧流下，在身下形成了一小片湿痕。\n这次小小的绝顶让年轻的{Name}感到既羞耻又舒爽，她咬着自己的手指，试图平复那急促的呼吸，却发现自己的下体仍在不受控制地轻微抽搐着，余韵在体内缓缓扩散。
1002,b_orgasm_small,0,high_1,阴道内部传来的一波波快感让{Name}的身体变得异常敏感，她的腰肢不自觉地轻颤，双腿微微分开又合拢，像是在抗拒又像是在迎合。\n她的呼吸变得短促而急切，嘴唇微微张开，发出断断续续的甜美喘息，眼神也变得朦胧而湿润，显示出她正在经历一次轻微的阴道高潮。\n在博士{PlayerName}的注视下，{Name}感到一阵羞涩与兴奋交织的情绪冲击，她的脸颊染上了樱桃般的红晕，眼角也泛起了一丝薄汗，看起来既纯真又诱人。\n当那一瞬间的小高潮来临时，她的腰部微微向上挺起，大腿内侧不受控制地轻微抽搐，花径内壁有规律地收缩着，一小股温热的爱液从花穴中流出，沾湿了她的私处。\n这次轻微的绝顶虽然强度不高，却足以让年轻的{Name}全身发软，她轻咬下唇，羞怯地低下头，不敢直视{PlayerName}的目光，却又忍不住从眼角偷偷瞄向对方，脸上的红晕久久不能退去。
1003,b_orgasm_small,0,high_1,阴道中传来的阵阵酥麻感让{Name}的双腿开始不受控制地微微颤抖，她的小腹有节奏地收缩着，腰肢也不自觉地轻轻扭动。\n她的呼吸变得急促而不均匀，胸口剧烈起伏，喉咙深处发出像小猫般的呜咽声，细碎的娇喘声不断从她半张的嘴唇间逸出。\n在博士{PlayerName}面前，{Name}感到既兴奋又害羞，她的眼神变得迷离而湿润，脸颊和耳尖都染上了一层粉红，全身的肌肤也泛起了一层薄汗。\n当那一波小高潮的快感袭来时，她的身体轻微地弓起，腰部不自觉地向上挺，阴道内壁有规律地收缩痉挛着，一股温热的爱液从花径深处涌出，沿着臀缝缓缓流下。\n这次小小的绝顶让年轻的{Name}感到一阵甜美的晕眩，她咬住自己的手指，试图掩饰那不受控制的颤抖，但她的大腿内侧肌肉仍在微微痉挛，显示出她刚刚经历过的快感。
1004,b_orgasm_small,0,high_1,阴道内部传来的一阵阵甜美麻痒感让{Name}的小腹开始不自主地收缩，她的腰肢不由自主地轻微扭动，像是在寻找更多的刺激。\n她的呼吸变得急促而混乱，双唇微张，发出细碎的呻吟声，眼神也变得朦胧而飘忽，显示出她正在逐渐攀上一个小小的高峰。\n在博士{PlayerName}的注视下，{Name}感到既紧张又期待，她的脸颊飞上两朵红云，连颈部和胸口都泛起了淡淡的粉色，看起来既青涩又诱人。\n当那一瞬间的小高潮降临时，她的大腿内侧肌肉微微颤抖，小腹轻轻抽搐，阴道内壁有节奏地收缩着，一小股温热的爱液从花穴深处涌出，打湿了她的私处。\n这次轻微的绝顶让年轻的{Name}感到全身酥软，她紧咬下唇，眼角泛起一丝湿润，双腿轻微地夹紧又放松，试图延长那美妙但短暂的快感，余韵在她体内缓缓扩散，让她的身体依然敏感得不可思议。
1005,b_orgasm_normal,0,high_1,强烈的阴道快感如同电流般席卷了{Name}的全身，使她的腰部猛地弓起，双腿大张着不受控制地痉挛，脚趾紧紧蜷曲，如同被某种看不见的力量紧紧抓住。\n她的呼吸变得急促而混乱，胸口剧烈起伏，喉咙深处发出一声声甜腻的呻吟，无法抑制的浪叫从她微张的嘴唇中迸发出来，唾液甚至因为过度的快感而从嘴角溢出。\n在博士{PlayerName}面前，{Name}完全丧失了少女应有的矜持，她的眼神变得涣散，瞳孔微微放大，泪水不受控制地从眼角滑落，脸上浮现出一种混合着羞耻与极度满足的淫荡表情。\n当绝顶的巅峰来临时，她的全身肌肉猛地绷紧，随后陷入一连串剧烈的痉挛中，阴道内壁疯狂地收缩痉挛，大量的爱液从花穴中喷涌而出，沿着臀缝流下，在身下形成了一片湿痕。\n即使高潮过后，{Name}的身体仍然敏感得不可思议，轻微的触碰都能引起她的战栗，她的大腿内侧肌肉仍在不受控制地抽搐，阴道深处依然传来一阵阵余韵，让她的意识仿佛飘在云端，久久无法回神。
1006,b_orgasm_normal,0,high_1,阴道深处传来的强烈快感让{Name}的整个下体都在剧烈地痉挛，她的腰肢不受控制地向上挺起，双腿大张着颤抖，脚趾因极度的快感而紧紧蜷曲。\n她的呼吸变得极度紊乱，甚至几乎停滞，胸口剧烈起伏，喉咙深处发出一声高亢的呻吟，接着是一连串破碎的浪叫，声音中充满了少女特有的甜美与淫荡的混合。\n在博士{PlayerName}的注视下，{Name}完全放下了羞耻心，她的眼神失去了焦点，泪水从眼角滑落，与汗水混合在一起，脸上浮现出一种完全沉浸在性快感中的恍惚表情。\n当高潮的巅峰来临时，她的全身肌肉紧绷到了极限，随后陷入一连串无法控制的痉挛中，阴道内壁疯狂地收缩着，一波接一波的爱液从花径深处涌出，顺着她的臀部流下，在身下形成了一片湿痕。\n绝顶过后的{Name}全身瘫软，四肢无力，但她的阴道仍在不受控制地一张一合，大腿内侧的肌肉依然在不规律地抽搐，她的意识似乎短暂地离开了身体，沉浸在一片快感的余韵中，嘴角挂着一丝满足的微笑，显示出她刚才经历的快感有多么强烈。
1007,b_orgasm_normal,0,high_1,阴道被刺激到极限的{Name}再也无法压抑自己的反应，她的腰部猛地向上挺起，随后剧烈地扭动着，双腿不受控制地张开又并拢，脚踝和脚趾因极度的快感而紧绷。\n她的呼吸变得急促而破碎，胸口剧烈起伏，喉咙深处发出一声声甜美而放荡的呻吟，夹杂着含糊不清的哭喊和呜咽，唾液因无法及时吞咽而从嘴角溢出。\n在博士{PlayerName}面前，{Name}的理智被快感冲散，她的眼神变得迷离而涣散，泪水不断从眼角滑落，脸上浮现出一种既痛苦又极度愉悦的表情，整个人完全沉浸在高潮的快感中。\n当绝顶的瞬间来临时，她的身体猛地弓起，随后陷入一连串剧烈的痉挛中，阴道内壁疯狂地收缩着，大量的爱液从花穴深处喷涌而出，打湿了她的大腿和身下的表面。\n高潮过后的{Name}全身瘫软，四肢无力，但她的阴道和腹部仍在不规则地痉挛着，眼神中充满了满足与迷醉，嘴角微微上扬，短暂的失神后，她羞涩地躲避着{PlayerName}的目光，却又忍不住用眼角偷偷观察着对方的反应，脸上的红晕久久不能退去。
1008,b_orgasm_normal,0,high_1,阴道中传来的强烈快感让{Name}再也无法保持理智，她的腰肢不受控制地扭动着，臀部高高抬起，双腿大张着剧烈颤抖，脚趾因极度的快感而紧紧蜷曲。\n她的呼吸变得急促而混乱，胸口剧烈起伏，喉咙深处发出一声声甜美而放荡的呻吟，夹杂着破碎的哭喊和呜咽，唾液不受控制地从嘴角流下，沾湿了她的下巴。\n在博士{PlayerName}面前，{Name}的理智被快感彻底冲散，她的眼神变得迷离而涣散，泪水不断从眼角滑落，脸上浮现出一种混合着羞耻与极度愉悦的淫荡表情。\n当绝顶的瞬间来临时，她的全身肌肉猛地绷紧，随后陷入一连串剧烈的痉挛中，阴道内壁疯狂地收缩着，大量的爱液从花穴深处喷涌而出，沿着臀缝流下，形成了一片湿痕。\n高潮过后的{Name}全身瘫软，四肢无力，但她的阴道仍在不规律地收缩着，大腿内侧的肌肉依然在微微颤抖，她的意识短暂地脱离了身体，沉浸在一片快感的余韵中，直到几分钟后才逐渐恢复神志，羞涩地意识到自己刚才的失态。
1009,b_orgasm_normal,0,high_1,阴道的强烈快感如电流般席卷了{Name}的全身，她的腰部猛地弓起，随后剧烈地扭动着，双腿不受控制地痉挛，脚趾因极度的快感而紧紧蜷曲。\n她的呼吸变得极度紊乱，几乎要窒息，胸口剧烈起伏，喉咙深处发出一声高亢的呻吟，接着是一连串破碎的浪叫和呜咽，声音中充满了少女特有的甜美与淫荡的混合。\n在博士{PlayerName}的注视下，{Name}完全忘记了羞耻，她的眼神失去了焦点，泪水从眼角滑落，与汗水混合在一起，脸上浮现出一种完全沉浸在性快感中的恍惚表情，嘴唇微张，舌尖无意识地伸出。\n当高潮的巅峰来临时，她的身体猛地绷紧，全身肌肉紧绷到了极限，随后陷入一连串无法控制的痉挛中，阴道内壁疯狂地收缩着，大量的爱液从花径深处涌出，顺着她的臀部流下，打湿了身下的表面。\n绝顶过后的{Name}完全瘫软，四肢无力，但她的下体仍在不受控制地一张一合，大腿内侧的肌肉依然在不规律地抽搐，她的意识似乎短暂地离开了身体，眼神空洞，嘴角挂着一丝满足的微笑，好一会儿才逐渐回神，羞怯地看向{PlayerName}，脸上的红晕更加明显。
1010,b_orgasm_strong,0,high_1,连续不断的阴道高潮让{Name}的理智彻底崩溃，她的下体已经完全失去控制，阴道剧烈地痉挛着，花穴不停地一张一合，大量的爱液从深处喷涌而出，如同失禁一般淋湿了整个下身。\n她的腰部高高拱起，随后剧烈地扭动着，双腿大张着不断痉挛，连脚趾都因极度的快感而紧紧蜷曲，整个下半身似乎已经不再属于她自己。\n在博士{PlayerName}面前，{Name}完全丧失了少女应有的矜持，她的眼神完全涣散，瞳孔放大，泪水和唾液大量流下，弄湿了她的脸和身下的表面，嘴唇无意识地张合着，发出断断续续的胡言乱语和淫荡的呻吟。\n当那一波前所未有的强烈高潮终于降临时，她的身体猛地弓起，然后陷入一连串剧烈的痉挛中，一声撕心裂肺的尖叫从她的喉咙深处迸发出来，阴道内壁疯狂收缩，大量的爱液如喷泉般从下身喷射而出，洒落在四周。\n即使在高潮过后，余韵仍在她体内持续回荡，让她的身体不断颤抖，意识也处于半昏迷状态，阴道内壁仍在不规则地收缩着，大腿内侧的肌肉持续抽搐，她的眼神空洞而迷离，仿佛灵魂已经暂时离开了肉体，沉浸在无尽的快感之海中。
