cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,1009,0,CVP_A1_ShootPos|C6_E_1,\n{Name}将勃起的阴茎压在{TargetName}胸衣上快速摩擦，柔软的布料触感让他忍不住加快了动作\n随着一声低吼，{Name}射出精液，白浊液体在深色胸衣上形成明显的痕迹\n{TargetName}低头看着自己胸衣上的白色斑点，脸颊染上一层薄红，眼神中闪过一丝羞涩\n
1000,1009,0,CVP_A1_ShootPos|C6_E_1,\n{Name}双手扶着{TargetName}的肩膀，让她保持不动，然后将勃起的阴茎贴在她的胸衣边缘处摩擦\n快感累积到一定程度后，{Name}射出精液，白浊的液体洒在胸衣的蕾丝边上，形成点点白斑\n{TargetName}感受到胸前传来的湿热感，呼吸变得有些急促，眼神中带着一丝复杂的情绪\n
1001,1009,0,CVP_A1_ShootPos|C6_E_1,\n{Name}让{TargetName}微微挺胸，将阴茎放在她的胸衣下缘与皮肤的交界处摩擦，敏感的前端被轻轻挤压\n随着快感的积累，{Name}射出一股精液，白浊液体沿着胸衣的边缘缓缓流下\n{TargetName}感受到胸下传来的湿热触感，身体不由自主地轻颤了一下\n
1002,1009,0,CVP_A1_ShootPos|C6_E_1,\n{Name}将勃起的阴茎放在{TargetName}胸衣的肩带上摩擦，细腻的带子质感让他很快达到高潮\n精液从马眼喷射而出，沿着肩带滑落，在胸衣上形成醒目的痕迹\n{TargetName}感受到肩部传来的湿热感，羞耻感和异样感交织在一起\n
1003,1009,0,CVP_A1_ShootPos|C6_E_1,\n{Name}用手轻轻拉起{TargetName}胸衣的一小部分，形成一个临时的小空间，将阴茎前端插入其中\n随着几次深呼吸，{Name}释放出来，精液喷洒在胸衣内侧，一部分甚至沾到了{TargetName}的肌肤\n{TargetName}感受到胸前突然的湿热感，不由得轻轻咬住下唇\n
1004,1009,0,CVP_A1_ShootPos|C6_E_1,\n{Name}双手扶着{TargetName}的腰部，将勃起的阴茎贴在她胸衣的侧面摩擦，隔着薄薄的布料能感受到她的体温\n随着快感的累积，{Name}射出精液，白浊液体在胸衣上留下了明显的痕迹\n{TargetName}感受到胸侧传来的湿意，微微蹙眉，却也没有挣扎\n
1005,1009,0,CVP_A1_ShootPos|C6_E_1,\n{Name}让{TargetName}抬起双臂，将自己的阴茎插入她胸衣的下缘与身体之间的缝隙中摩擦\n随着一阵快感袭来，{Name}射出一股精液，白浊的液体部分沾在胸衣上，部分滴落在{TargetName}的腹部\n{TargetName}感受到胸下微妙的湿热感，心跳不由得加快了几分\n
1006,1009,0,CVP_A1_ShootPos|C6_E_1,\n{Name}轻轻将{TargetName}胸衣的一侧拉开一小缝，将勃起的阴茎前端插入其中，借着缝隙摩擦敏感的龟头\n快感如电流般窜过{Name}的脊背，他闷哼一声，精液喷洒在胸衣内侧和{TargetName}的肌肤上\n{TargetName}感受到胸前传来的温热湿意，眼中闪过一丝惊讶\n
1007,1009,0,CVP_A1_ShootPos|C6_E_1,\n{Name}双手轻抚{TargetName}的背部，让她微微挺胸，然后将勃起的阴茎放在胸衣的正面摩擦\n随着几次深呼吸，{Name}射出精液，白浊液体在胸衣上形成醒目的斑点\n{TargetName}低头看着自己胸前的湿痕，脸上浮现出一丝羞涩\n
1008,1009,0,CVP_A1_ShootPos|C6_E_1,\n{Name}让{TargetName}背对自己，将勃起的阴茎贴在她胸衣的背扣处摩擦，扣子的凸起质感增添了额外的刺激\n随着快感的积累，{Name}射出一股精液，白浊液体顺着胸衣的背部缓缓流下\n{TargetName}感受到背部传来的湿热感，不由得轻轻颤抖\n
1009,1009,0,CVP_A1_ShootPos|C6_E_1,\n{Name}轻轻拉起{TargetName}胸衣的边缘，将勃起的阴茎插入其与肌肤之间的小空间，感受着布料和肌肤的双重触感\n随着一阵剧烈的颤抖，{Name}释放出来，精液喷洒在{TargetName}的肌肤和胸衣内侧\n{TargetName}感受到胸前突然的温热液体，呼吸变得有些急促\n
1010,1009,0,CVP_A1_ShootPos|C6_E_1,\n{Name}将{TargetName}的胸衣肩带轻轻拉起，形成一个小空间，然后将勃起的阴茎插入其中摩擦\n随着快感的累积，{Name}射出精液，白浊液体沿着肩带和胸衣滑落，在上面留下湿痕\n{TargetName}感受到肩部和胸前传来的湿意，脸颊微微泛红\n
1011,1009,0,CVP_A1_ShootPos|C6_E_1,\n{Name}双手扶着{TargetName}的腰部，将自己的阴茎贴在她胸衣的侧面与腋下的交界处摩擦\n随着几次深呼吸，{Name}射出一股精液，白浊液体在深色的胸衣上形成明显的对比\n{TargetName}感受到腋下和胸侧传来的湿热感，眼中闪过一丝复杂的情绪\n
