cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|0_G_0,{Name}开场让大家把舌头伸出来，然后说：“伸出来的这一段，只是它的三分之一。”\n黑板上画着舌头的剖面，根部粗壮得让全班都吃了一惊。\n“舌技练的是整块肌肉，”{Name}说，“只用舌尖的人，永远学不到重点。”
1001,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|0_G_0,今天讲呼吸。{Name}说很多人一动舌头就忘了呼吸，憋到脸红才停下来。\n“用鼻子呼吸，舌头才能一直动。”{Name}示范了一下，嘴唇闭着，喉咙却一直在轻轻起伏。\n教室里响起了一片小心翼翼的鼻息声。
1002,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|0_G_0,{Name}讲到唾液，说这东西不是麻烦，是工具。\n“干着动只会疼，”{Name}说，“但太多了又会失去触感。学会控制它，比学会动作更难。”\n有人下意识咽了口唾沫，被{Name}点名说“对，就是这个动作，以后要能忍住”。
1003,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|0_G_0,{Name}在黑板上写了三个词：点、线、面。\n“舌尖是点，舌面是面，舌侧划过去是线。三种用法，三种感觉。”{Name}说，“今天先记住有这三种，实践课再学怎么用。”\n全班有一半的人正在偷偷用舌头顶自己的腮帮子。
1004,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|1_G_0,实践教室里每人发了一颗硬糖。{Name}的要求只有一个：含化它，但舌头不许碰到牙齿。\n教室里安静了整整十分钟，然后陆续有人举手说糖不见了。\n{Name}让举手的人张开嘴检查，一半以上的人牙齿上还粘着糖渣。
1005,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|1_G_0,今天练舌尖的独立动作。{Name}让大家用舌尖在上颚上画一个圈，慢慢地画，画完再反过来。\n有人画到一半舌头抽筋了，捂着嘴说不出话。{Name}说这很正常，舌头也是肌肉。\n“练到不抽筋的那一天，你就出师了。”
1006,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|1_G_0,{Name}拿出一面小镜子，让大家照着镜子把舌头伸出来，然后只让舌尖向上翘。\n镜子里的舌头们千奇百怪，有的整个卷了起来，有的纹丝不动。\n{Name}走了一圈，给做不到的人一人一根牙签，让她们顶着牙签的位置去够。
1007,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|1_G_0,呼吸练习：含着一口水，用鼻子呼吸一分钟，水不许咽下去也不许漏出来。\n第一轮几乎全军覆没，{Name}让大家擦干净下巴再来一次。\n第三轮的时候，终于有人做到了。{Name}说：“记住这种感觉，舌技的一切都建立在它上面。”
1008,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|2_G_0,大礼堂里，{Name}问台下的成年干员：“有多少人觉得舌技就是舔？”\n举手的人不少。{Name}说：“那是最粗浅的一层。舌头能点、能压、能卷、能推，舔只是其中之一。”\n台下前排的孩子们听得一脸茫然，后排的干员们听得一脸严肃。
1009,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|2_G_0,有人问舌头短是不是学不好，{Name}让那个人上台，递给对方一颗糖。\n“含着，用舌头把它从左边送到右边。”对方做到了。“你的舌头够用了。”{Name}说。\n台下笑成一片，那个人红着脸下了台。
1010,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|2_G_0,{Name}讲了一个常见误区：用力才有效。\n“舌头一用力就僵，僵了就没有触感。”{Name}说，“最好的状态是软而准，像水一样流过去，但每一滴都知道自己在哪。”\n台下有人把这句话工工整整地记了下来。
1011,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|2_G_0,公开课的结尾，{Name}讲了呼吸与节奏的关系，然后忽然停下来问：“刚才这三十秒，有谁一直在用鼻子呼吸？”\n礼堂里安静了几秒，然后响起一片恍然大悟的叹气声。\n“回去练。”{Name}说，“这是舌技，也是活着的基本功。”
1012,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|71_LE_3,{Name}对舌技也只是一知半解，讲到舌头有几块肌肉的时候翻了两遍书，说：“……八块。书上说八块。”
1013,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|71_LE_3,新手教师{Name}让大家伸舌头，自己也伸了一下，然后不知道下一步该讲什么，只好说：“先收回去。”
1014,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|71_LE_3,有学生问“舌根怎么用力”，{Name}想了半天，老实说：“我也在练。下周告诉你。”
1015,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|71_LE_3,实践课上{Name}示范用舌尖顶上颚，自己先抽了筋，捂着嘴说不出话。学生们等了三分钟。
1016,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|71_LE_3,{Name}发了糖让大家含着不碰牙，自己也含了一颗，十分钟后检查的时候，自己的牙上也粘着糖渣。
1017,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|71_LE_3,有个学生的舌头比{Name}灵活得多，{Name}干脆让她示范，自己站到学生的位置上跟着做。
1018,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|71_LE_3,大礼堂里坐着的干员比{Name}懂得多，{Name}讲了十分钟就把话筒递了下去：“谁来讲讲实战里的经验？我记笔记。”
1019,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|71_LE_3,新手教师{Name}在公开课上被问倒了三次。第三次{Name}笑了：“看来今天是你们给我上课。”
1020,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|71_LE_3,{Name}讲完准备的内容，台下一个成年干员补充了一句，{Name}愣了愣，把那句话写在了黑板上。
1021,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|71_G_3&CVP_A1_A|71_LE_6,{Name}让大家把舌头贴在上颚上数到十，然后问：“酸不酸？酸就对了。那是舌根在工作。”
1022,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|71_G_3&CVP_A1_A|71_LE_6,讲到唾液，{Name}拿了两张纸，一张干的一张湿的，让学生用手指在上面划。“干的涩，湿的滑。舌头也一样。”
1023,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|71_G_3&CVP_A1_A|71_LE_6,{Name}讲课喜欢反问。“舌头最有力的地方是哪里？”有人说舌尖，{Name}摇头：“舌根。舌尖只是最灵活。”
1024,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|71_G_3&CVP_A1_A|71_LE_6,{Name}给每人发了一小块冰，让大家用舌尖顶着它在嘴里绕圈，不许咬也不许咽。冰化完的时候，一半的人舌头已经麻了。
1025,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|71_G_3&CVP_A1_A|71_LE_6,实践课上{Name}让大家含一口水，用鼻子呼吸一分钟。第一轮漏得到处都是，{Name}拿着毛巾挨个擦下巴。
1026,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|71_G_3&CVP_A1_A|71_LE_6,{Name}让两人一组，一个人闭眼，另一个人把三种味道的糖依次放进她嘴里，只用舌头分辨顺序。猜对的不多。
1027,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|71_G_3&CVP_A1_A|71_LE_6,公开课上{Name}讲了自己的一次失误：太用力，对方躲了。“舌头一僵，触感就没了。软，才是力。”
1028,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|71_G_3&CVP_A1_A|71_LE_6,{Name}请一位干员上台含一口水，示范用鼻子呼吸。她做到了，{Name}说：“看，这就是舌技的地基。今天回去练的就是这个。”
1029,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|71_G_3&CVP_A1_A|71_LE_6,讲到节奏，{Name}在讲台上用舌尖发出了几声轻轻的“嗒”，快慢分明。台下有人跟着发，礼堂里像下起了小雨。
1030,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|71_G_6,{Name}讲课不用教案，讲到舌根的时候把嘴张开，让第一排的人看喉咙的起伏。“看见了吗？那才是发力的地方。”
1031,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|71_G_6,高手级的{Name}讲的东西课本上没有。“书上说舌尖要动。但没说什么时候不动。不动的那一秒，才是重点。”
1032,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|0_G_0&CVP_A1_A|71_G_6,{Name}在黑板上写了“点、线、面”，然后加了第四个字：“停”。“前三个是技巧，第四个是境界。”
1033,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|71_G_6,{Name}的示范让全班安静了：一颗硬糖，{Name}含了整整二十分钟，吐出来的时候还是完整的一颗，只是小了一圈。
1034,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|71_G_6,实践课上{Name}闭着眼睛，让学生把不同的东西放进自己嘴里，每一次都能说出是什么、放在了舌头的哪个位置。
1035,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|1_G_0&CVP_A1_A|71_G_6,{Name}挨个检查学生的舌尖动作，只看一眼就知道问题：“舌根没用力”“呼吸断了”“你在偷偷咬牙”。
1036,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|71_G_6,大礼堂里{Name}没有讲理论，只请了三位干员上台，用同一种方式舔了同一块糖，让台下猜谁是练过的。台下全猜对了。
1037,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|71_G_6,有干员问{Name}练舌技最难的是什么，{Name}说：“是让它停。它太想动了。”礼堂里安静了几秒，然后有人笑了。
1038,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|2_G_0&CVP_A1_A|71_G_6,公开课的最后{Name}什么都没说，只是张开嘴，让舌尖在唇上轻轻点了三下，快慢各不相同。“回去练这三下。”
1039,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|0_G_0&time_0_to_9,早上第一节舌技课，学生们的嘴都还没张开过。{Name}让大家先大声念一遍课文，念完再讲课。
1040,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|0_G_0&time_0_to_9,上午的课，有人还没刷牙就来了，{Name}闻出来了，让她去漱口。“舌技课的第一条纪律：嘴要干净。”
1041,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|1_G_0&time_aftermoon,下午的实践课，教室里闷，{Name}发的糖都有点化了。“正好。化了的糖更考验舌头。”
1042,teach,0,CVP_A1_Course|71_G_0&CVP_A1_CourseType|1_G_0&time_aftermoon,午后的舌技课，有学生练着练着打起了哈欠，嘴张得老大。{Name}说：“很好，舌根放松了。现在把它用起来。”
