key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,222,0,干员编号
Name,str,风笛,1,姓名
Sex,int,1,0,女
Profession,int,1,0,先锋
Race,int,27,0,瓦伊凡
Nation,int,131,0,维多利亚
Birthplace,int,13,0,维多利亚
Hp,int,2500,0,初始体力：2500
Mp,int,2500,0,初始气力：2500
Dormitory,str,无,1,初始宿舍
Token,str,一把红麦。大地孕育生命，生命反哺大地。
Introduce_1,str,维多利亚皇家近卫学校毕业，在维多利亚军队中服役满3年后，退役并经由陈警司介绍加入罗德岛。接受过系统训练的职业军人，经过一段时间的磨合，在罗德岛的各类任务中体现出了专业的战斗技巧与战术素养。,1,人物介绍_1
T|0,int,1,0,处女
T|1,int,1,0,A处女
T|2,int,1,0,角色有尿道处女素质
T|3,int,1,0,角色有子宫处女素质
T|4,int,1,0,无接吻经验
T|104,int,1,0,少女
T|112,int,1,0,兽角
T|124,int,1,0,巨乳
T|128,int,1,0,巨臀
T|130,int,1,0,肉腿
T|131,int,1,0,小足
A|41,int,2,0,指挥技能level:2
A|42,int,3,0,战斗技能level:3
C|3,str,罗德岛干员胸牌,0,罗德岛干员胸牌
C|5-1,str,黑白拼色高领带扣披肩,0,黑白拼色高领带扣披肩
C|5-2,str,深绿色长袖外套,0,深绿色长袖外套
C|5-3,str,白色女士衬衫,0,白色女士衬衫
C|7,str,黑色分指手套,0,黑色分指手套
C|8,str,格子百褶短裙,0,格子百褶短裙
C|10,str,黑色过膝袜,0,黑色过膝袜
C|11,str,防滑翻折中筒靴,0,防滑翻折中筒靴
C|12,str,维多利亚破城矛,0,维多利亚破城矛
