cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,B2_penis_in_body_2,0,high_1,{TargetName}卖力地吞吐着，每一次动作都让自己发出闷哼声，脸颊因吞吐的动作而凹陷，眼角泛起生理性的泪水，喉咙深处不断传来吞咽的声音。
1001,B2_penis_in_body_2,0,high_1,{TargetName}灵活地运用舌头和口腔黏膜带来柔软触感，因为吮吸的动作而使脸颊凹陷，唾液从嘴角溢出，顺着下巴滴落。
1002,B2_penis_in_body_2,0,high_1,{TargetName}主动前后摆动着头部，有节奏地吞吐着，每一次都尝试深入到喉咙深处，引起自己一阵阵本能的吞咽反应，喉结上下滚动着。
1003,B2_penis_in_body_2,0,high_1,{TargetName}的口腔被完全填满，舌头被迫贴在下方，主动发出湿润的水声，双手扶在{Name}的大腿上借力调整角度。
1004,B2_penis_in_body_2,0,high_1,{TargetName}努力取悦着{Name}，口腔提供温暖与湿润，每次吞吐都伴随着啧啧的水声，眼神逐渐迷离，呼吸变得急促。
1005,B2_penis_in_body_2,0,high_1,{TargetName}用口腔内的每一处褶皱和舌头去感受对方，主动提供湿润温暖的包裹感，眼中闪烁着水光，倒映着{Name}的身影。
1006,B2_penis_in_body_2,0,high_1,{TargetName}任由{Name}抓住自己的头发，适应着对方控制的深度，喉咙发出呜咽声，眼中泛起水光，嘴角流下晶莹的唾液。
1007,B2_penis_in_body_2,0,high_1,{TargetName}配合着{Name}的节奏前后摆动头部，唇舌尽力包裹着口中的硬物，发出含糊不清的呻吟声。
1008,B2_penis_in_body_2,0,high_1,{TargetName}感到口腔内的温度逐渐升高，刻意增加唾液分泌，使得每一次吞吐都变得更加顺滑，希望给{Name}带来更强烈的快感。
1009,B2_penis_in_body_2,0,high_1,随着动作的持续，{TargetName}的呼吸愈发急促，脸颊因缺氧而泛红，却仍然努力保持节奏，表现出无比的热情与顺从。
1010,B2_penis_in_body_2,0,high_1,{TargetName}感受到{Name}的手掌抚过自己的脸颊，更加卖力地吞吐着，喉咙深处发出模糊的呻吟，展示着自己的服务热忱。
1011,B2_penis_in_body_2,0,high_1,{TargetName}每当感到深入到喉咙时，都会刻意收缩喉部肌肉，提供一阵紧致的挤压感，让{Name}忍不住发出满足的叹息。
1012,B2_penis_in_body_2,0,high_1,{TargetName}大张着嘴唇，让唾液与前液混合在一起，在吞吐间故意形成细丝，随着动作牵连出银丝，画面格外淫靡。
1013,B2_penis_in_body_2,0,high_1,{TargetName}感受到{Name}按住自己的后脑，努力适应着加快的频率，鼻息变得急促，手指无意识地抓紧了{Name}的衣物。
1014,B2_penis_in_body_2,0,high_1,{TargetName}顺从地任由{Name}捏住自己的下巴控制动作，眼神中混合着服从与迷离，口中发出含糊不清的呜咽声。
