cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}握住{TargetName}戴着手套的手，将自己勃起的阴茎放在她的手掌上摩擦\n随着快感积累，{Name}呼吸加重，最终射出一股精液，白浊的液体沾湿了{TargetName}手套的表面\n{TargetName}看着自己手套上的白色痕迹，表情复杂，轻轻蜷缩着手指\n空气中弥漫着男性荷尔蒙的气息，两人之间的气氛微妙而紧张\n
1000,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}轻轻拉起{TargetName}戴着手套的手，将自己的阴茎放入她的手心，引导她握住并上下套弄\n没过多久，{Name}闷哼一声，射出一股精液，白浊沾满了{TargetName}精致的手套表面\n{TargetName}低头看着被染污的手套，眼神中闪过一丝难以名状的情绪，却仍让{Name}握着她的手\n
1001,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}抓住{TargetName}的手腕，将她戴着手套的手翻过来，掌心向上，然后将勃起的阴茎放在上面快速摩擦\n{Name}的呼吸逐渐急促，最终射出一股精液，白浊的液体沾染了{TargetName}手套的表面\n{TargetName}望着被染湿的手套，手指微微颤抖，却没有立即甩开\n
1002,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}将{TargetName}戴着手套的手引导到自己的阴茎上，让她的手指环绕住茎身，然后开始在她手中抽送\n几次抽送后，{Name}低吟一声，射出一股精液，白色的液体沾湿了{TargetName}的手套\n{TargetName}感受着手掌中阴茎的跳动，以及手套被温热液体浸湿的触感，表情微妙\n
1003,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}双手握住{TargetName}戴着手套的一只手，将她的手指微微分开，然后将勃起的阴茎插入指缝间快速抽动\n随着快感的累积，{Name}射出一股精液，白浊的液体从{TargetName}的指缝间流下，沾满了整个手套\n{TargetName}感受着指间湿润粘稠的触感，脸颊微微泛红\n
1004,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}拉过{TargetName}的手，让她握拳，然后将自己的阴茎抵在她戴着手套的拳头上方快速摩擦\n几次摩擦后，{Name}呻吟一声，射出一股精液，白浊的液体洒在{TargetName}的手套上，形成点点白斑\n{TargetName}看着自己被染污的手套，眼中闪过一丝惊讶和无奈\n
1005,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}轻轻拉开{TargetName}手套的袖口，将勃起的阴茎插入手套与手腕之间的缝隙，开始抽送\n几次抽送后，{Name}低喘一声，射出一股精液，白浊的液体留在了手套的内侧与{TargetName}的手腕之间\n{TargetName}感受到手腕处传来的湿热触感，不由得轻轻颤抖\n
1006,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}将{TargetName}戴着手套的两只手掌合在一起，形成一个空腔，然后将自己勃起的阴茎插入其中抽送\n随着快感的累积，{Name}射出一股精液，白浊的液体喷洒在{TargetName}手套的内侧\n{TargetName}感受着掌心的湿润和温热，微微张开手指，看着粘稠的液体从指缝间流下\n
1007,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}脱下{TargetName}的一只手套，将阴茎插入空手套中抽动几下，然后射出一股精液\n接着{Name}将装满精液的手套重新给{TargetName}戴上，湿润粘稠的触感立刻包裹了她的手掌\n{TargetName}感受到手指被温热液体浸润的感觉，表情微妙，眼神中闪过一丝羞耻\n
1008,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}让{TargetName}张开戴着手套的五指，将自己的阴茎贴在她的掌心快速摩擦\n随着快感的累积，{Name}射出一股精液，白浊的液体洒在{TargetName}的手套上，顺着掌纹流淌\n{TargetName}低头看着被染湿的手套，手指微微蜷缩，感受着湿热的触感\n
1009,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}拉起{TargetName}的手，将她戴着手套的拇指和食指形成一个环，然后将自己的阴茎插入其中抽送\n几次抽送后，{Name}呻吟一声，射出一股精液，白浊的液体沾湿了{TargetName}手套的内侧\n{TargetName}感受着指间的湿润触感，以及阴茎跳动的余韵，表情微妙而复杂\n
1010,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}将{TargetName}戴着手套的手背朝上放在自己大腿上，然后将勃起的阴茎放在手套表面摩擦\n随着快感的累积，{Name}射出一股精液，白浊的液体在黑色的手套上形成醒目的对比\n{TargetName}看着自己被染污的手套，眼神中闪过一丝复杂的情绪\n
1011,1009,0,CVP_A1_ShootPos|C7_E_1,\n{Name}脱下{TargetName}的两只手套，将它们叠放在一起，然后将阴茎插入其中抽送\n几次抽送后，{Name}射出一股精液，然后将沾满精液的手套重新给{TargetName}戴上\n{TargetName}感受到手掌和手指被温热粘稠液体包裹的触感，脸上浮现出一丝羞赧\n
