cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,repair_equipment,0,high_1,{Name}拿起干员在战斗中损坏的装备，开始修理
1,repair_equipment,0,high_1,{Name}开始给干员用钝了的武器磨刀和上油保养，以保持其良好的状态
2,repair_equipment,0,high_1,{Name}拿起干员的盾牌，用同种材料填补了一些破损的地方，并进行了一定的加固
3,repair_equipment,0,high_1,{Name}仔细检查干员的装备，发现了一些细小的裂缝，决定用焊接的方法进行修补
4,repair_equipment,0,high_1,{Name}用砂纸打磨干员的武器，使其表面更加光滑，并涂上一层防锈油
5,repair_equipment,0,high_1,{Name}将干员的盔甲放在火炉中加热，然后用锤子敲打，使其恢复原状
6,repair_equipment,0,high_1,{Name}用特制的工具拆解干员的装备，清理内部的灰尘和杂质，重新组装
7,repair_equipment,0,high_1,{Name}在干员的装备上添加了一些额外的防护层，以增强其耐用性和防御力
8,repair_equipment,0,high_1,{Name}用精密仪器检测干员装备的各项参数，确保其在战斗中能够正常运作
9,repair_equipment,0,high_1,{Name}将干员的装备放在水中冷却，以增加其硬度和韧性，防止在战斗中损坏
10,repair_equipment,0,high_1,{Name}用细针和线缝补干员装备上的破洞，确保其在战斗中不会影响使用
11,repair_equipment,0,high_1,{Name}在干员的装备上刻下源石回路，增强其防御能力，使其在战斗中更加坚固
12,repair_equipment,0,high_1,{Name}用特殊的试剂浸泡干员的装备，使其具有一定程度的自我修复的能力，延长使用寿命
13,repair_equipment,0,high_1,{Name}用锉刀仔细打磨干员的武器边缘，使其更加锋利，并涂上一层保护油
14,repair_equipment,0,high_1,{Name}将干员的装备放在铁砧上，用大锤敲打，修复变形的部分
15,repair_equipment,0,high_1,{Name}用细砂纸打磨干员的护甲，使其表面光滑，并涂上一层防护漆
16,repair_equipment,0,high_1,{Name}用焊枪修补干员装备上的裂缝，确保其在战斗中不会断裂
17,repair_equipment,0,high_1,{Name}将干员的武器放在火炉中加热，然后用水快速冷却，增加其硬度
18,repair_equipment,0,high_1,{Name}用特制的工具拆解干员的护甲，清理内部的灰尘和杂质，重新组装
19,repair_equipment,0,high_1,{Name}在干员的装备上添加了一层源石护盾，增强其防御力和抗击打能力
20,repair_equipment,0,high_1,{Name}用细针和线缝补干员装备上的破洞，确保其在战斗中不会影响使用
21,repair_equipment,0,high_1,{Name}将干员的装备放在水中冷却，以增加其硬度和韧性，防止在战斗中损坏
