cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,99,999,high_1,*0.1 前言
2,99,999,high_1,  *本文为示范性的人物口上模板教程，说明文字统一使用空白指令，并在文本开头有个*进行标记
3,99,999,high_1,  *本教程会由易到难，配合操作例子，帮助你熟练使用编辑器写出自己的角色口上
5,99,999,high_1,  *传统era里，代码的门槛拦住了大量有创作欲望的口上作者，有代码基础的作者们也在不断重复造轮子
6,99,999,high_1,  *erArk为了解决这个问题，和游戏本体同步开发了编辑器，使用特制的接口，让不写代码就写口上成为了可能
7,99,999,high_1,  *因为游戏和编辑器还在早期开发测试中，如果遇到BUG欢迎反馈
10,99,999,high_1,*————————————分隔符————————————
11,99,999,high_1,  *0.2 准备工作
13,99,999,high_1,  *首先，请点击最上方的【使用说明书】，里面有一些基础的操作说明
15,99,999,high_1,  *你只需要大概浏览一下，不需要立刻掌握，有需要的时候随时查看
17,99,999,high_1,  *为了使用本教程，你需要做以下准备工作：
18,99,999,high_1,  *①把游戏目录下config.ini文件中的debug改为1，以便在游戏中开启debug模式
19,99,999,high_1,  *②在游戏中，建立一个测试用的新档，初始招募你要写的角色
20,99,999,high_1,  *③在游戏系统设置中，将[通用文本]的选项改为[仅使用角色专属文本]，以去掉通用文本的干扰
21,99,999,high_1,  *④找一个地方，用来备份你的口上文件，你永远不知道你会因为什么奇怪的原因而遗失你的劳动成果，所以，备份吧！
100,99,999,high_1,*————————————分隔符————————————
101,99,999,high_1,*1.1 基础
102,99,999,high_1,  *首先，我们来看看最基础的一条口上是什么样的，点一下第103条看看↓
103,101,999,high_1,这是第103条，是一条聊天指令的测试口上，触发者是{Name}，交互对象是{TargetName}
104,99,999,high_1,  *↑可以在上面，[触发指令与状态]中看到它的触发指令是[聊天]，说明该条目是一个聊天指令会触发的口上
105,99,999,high_1,  *还可以看到条目的角色id为999，这限制了角色专属的口上不会在别人身上触发
106,99,999,high_1,  *另外，当角色id为0时，代表是通用文本，也就是地文，谁都可以触发
107,99,999,high_1,  *请进行以下步骤：
108,99,999,high_1,  *①点击103条，将左上角的角色id，改为你要写的角色id，保存
109,99,999,high_1,  *②将本文件复制到 游戏根目录/data/talk/chara/，这里你能够看到其他角色的口上文件
110,99,999,high_1,  *③更改文件名为规定格式，xxxx_角色名.csv，比如，0999_测试.csv
111,99,999,high_1,  *④开游戏，读测试档，找到你的角色，点击聊天指令
112,99,999,high_1,  *正常来说，你应该已经触发了这条口上，如果没有，检查上述①~④步骤是否有遗漏
120,99,999,high_1,*————————————分隔符————————————
121,99,999,high_1,*1.2 口上快速测试
122,99,999,high_1,  *在刚才的触发中，你应该看到{Name}显示的是玩家的名字，{TargetName}显示的是角色的名字
123,99,999,high_1,  *它代表着写口上的一个基础概念，代码中的变量文本，会在游戏中被替换成实际的内容
124,99,999,high_1,  *你可以在右下角的文本区中按下鼠标右键，可以看到所有你可用的变量文本
125,99,999,high_1,  *在你迫不及待想要试试手之前，稍等！
126,99,999,high_1,  *erArk有个特别的功能，可以同步编辑器的编辑和游戏的口上读取，实现所见即所得，一边写一边测
128,99,999,high_1,  *请进行以下步骤：
129,99,999,high_1,  *①游戏读取测试档，找到你要写的角色，点击[开启debug模式]，再点击[快速测试口上]，会提示你是否要刷新文件
130,99,999,high_1,  *②编辑器读取刚才保存在/data/talk/chara/的文件
131,99,999,high_1,  *③点击上面的第103条，开始进行你的尝试，修改下文字，插入一些变量文本什么的，然后保存
132,99,999,high_1,  *④回到游戏画面，点击刷新口上文件后测试，会进行一个数据重载，然后就可以测试了
133,99,999,high_1,  *正常来说，你在输入完角色id和口上编号后，会看到一个详细的测试页面，如果没有，检查上述①~④步骤是否有遗漏
200,99,999,high_1,*————————————分隔符————————————
201,99,999,high_1,*2.1 触发者与交互对象
202,99,999,high_1,  *在目前为止的文字中，以及编辑器的页面中，你已经看到了好几次“触发者”和“交互对象”了
203,99,999,high_1,  *那么，这两个词到底是什么意思？
204,99,999,high_1,  *当你在游戏中，对一个干员使用一个指令时，显然，你是那个触发者，干员是你的交互对象
205,99,999,high_1,  *但在你的游玩过程中，你肯定也见到过，干员自己使用了某些工作和娱乐的指令，或者主动和你、和其他干员聊天什么的
206,99,999,high_1,  *此时的触发者就不再是玩家，而是干员触发的，指令的目标可能也变成了玩家，或其他干员
207,99,999,high_1,  *综上所述，一个指令是谁发起的，谁就是指令的触发者，指令的目标是谁，谁就是指令的交互对象
208,99,999,high_1,  *当我们写口上的时候，显然不希望应该由干员对玩家说的话，因为触发者错误而变成玩家对干员说的
209,99,999,high_1,  *这就到了使用前提的时候了！
210,99,999,high_1,  *点击以下的221~224号条目，看看它们的前提
221,101,999,sys_0,这是第221条，是一条聊天指令的测试口上，这条口上的前提是玩家触发的该指令\n所以这条口上只能在玩家对NPC聊天时触发\n当前触发者：{Name}\n当前交互对象：{TargetName}
