cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_w_orgasm_normal_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,一股深沉钝重的快感自身体最深处如浪潮般涌出，未成年的{TargetName}整个人都被这厚重的滋味贯穿了。\n那种沉甸甸的、仿佛从骨盆底部直接撼动内脏与脊髓的感觉，与稚嫩身体从未体验过的一切都不同，令她的意识在这深处翻涌的浪潮里渐渐变得模糊。\n懵懂无知的她根本不明白{womb}最深处为什么会涌出这般令人战栗的东西，只觉得身体被彻底攻陷了，脑子里一片甜美的空白。\n她既慌乱又茫然，压根不懂这是所谓的绝顶，更想不到这具身子正因此而沉沦。
1001,action_part_w_orgasm_normal_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,深处翻涌的快感如重锤般自腹底一路撞进脑髓，未成年的{TargetName}被这自{womb}核心奔涌而出的浪潮淹没得神志涣散。\n那厚重钝沉的愉悦贯穿了她青涩的全身，意识开始变得模糊，却还没被彻底冲垮，稚嫩的心里塞满了从未有过的迷乱。\n性无知的她完全不懂身体最深处这陌生的滋味意味着什么，只能懵懂地承受着这灭顶般的快感，羞耻又茫然地沉醉其中。\n她隐隐觉得自己最私密的深处被彻底占据了，却压根想不到这样的沉沦会带来怎样的后果。
1002,action_part_w_orgasm_normal_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,一道从身体最深处炸开的钝重快感自腹底翻涌上脊背、漫进脑海，未成年的{TargetName}被这深沉的浪潮撼得意识飘忽。\n那种沉甸甸厚重的愉悦以{womb}为源头席卷全身，与稚嫩身躯熟悉的一切都截然不同，令她整颗心都被淹没在陌生的酥麻里。\n从未接触过性事的她惊惶又困惑，完全不理解身体最深处怎会涌出这样撼动灵魂的滋味，只觉得又羞又慌。\n懵懂的她沉浸在这灭顶的愉悦中，脑中一片甜美空白，全然不知这具已能孕育的身子正意味着什么。
1003,action_part_w_orgasm_normal_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,深沉而钝重的快感自{womb}这一身体最深的核心涌出，未成年的{TargetName}被这如撼动骨髓般的浪潮贯穿了全身。\n那厚重的愉悦一层层漫上脊背、翻进脑海，令她青涩的意识渐渐模糊，却还残存着一丝清明，心里被这陌生的快感彻底淹没。\n懵懂无知的她根本不懂什么叫绝顶，只是茫然地感受着身体最深处被彻底攻陷的滋味，又羞又惧地深深沉醉。\n她隐约意识到自己最深的地方失守了，稚嫩的心慌乱不已，却全然不知这样的失守会招来怎样的结果。
1004,action_part_w_orgasm_normal_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,未成年的{TargetName}被一股自身体最深处涌出的深沉快感彻底俘获，那沉重的浪潮从{womb}翻涌上来漫过整条脊背。\n那种钝重厚实、直撼内脏的愉悦与稚嫩身体所知的一切都不同，令她的神志在浪潮中一点点变得朦胧，却未被冲垮。\n性无知的她只觉得羞耻又茫然，完全不明白身体最深处为何会迸出这般灭顶的滋味，懵懂地沉浸在深深的满足里。\n她被这陌生的绝顶淹没得心头一片空白，压根不懂这就是高潮，更想不到这具已能受孕的身子正因此沉沦。

1005,action_part_w_orgasm_normal_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,一股深沉钝重的快感自{womb}这一身体最深处如浪潮般轰然涌起，年幼的{TargetName}被这自骨盆底撼动内脏与脊髓的厚重感受彻底淹没。\n这是一次完整正常的绝顶，那沉甸甸的快感自腹底翻涌上脊背又漫进脑髓，令她的意识开始变得模糊，却还未被彻底冲垮。\n虽已懂得性事，可当身体最深处被这样彻底攻陷而绝顶时，好奇的她仍羞耻地沉醉其中，心底涌起甜美的空白与深深的满足，年幼的她贪婪地咀嚼着这份禁忌的愉悦。
1006,action_part_w_orgasm_normal_C,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,深沉的快感从{womb}的核心猛地翻涌上来，钝重得如同重锤自腹底一路撼进脊髓，令好奇的{TargetName}整个人都被这浪潮吞没。\n年幼的她清楚地知道这是绝顶，也隐约明白这份快感背后孕育的可能，却依然被那从最深处贯穿全身的钝重愉悦冲得意识发昏。\n身体最深处被彻底征服的事实令她又羞又醉，稚嫩的心被完整的绝顶快感淹没，只剩下甜蜜的沉沦与懵懂的迷乱，她带着探索的痴迷深深沉溺。
