cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|129_E_1,{penis}在{TargetName}稚嫩纤细的{legs}间缓缓摩擦，那娇小身躯带来的紧致触感让{Name}头皮发麻，忍不住加快了腰部的摆动节奏。
1001,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|129_E_1,幼小的{legs}虽然纤细却出奇地柔嫩，{penis}被紧紧夹在那稚嫩的大腿间，每次抽动都让{Name}感到一阵酥麻的快感从下腹蔓延至全身。
1002,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|129_E_1,{Name}低喘着感受{penis}在那对修长却稚嫩的{legs}间滑动的快感，幼女特有的细嫩肌肤让他每一次挺动都格外舒爽销魂。
1003,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|129_E_1,被纤细的{legs}轻柔包裹着，{penis}贪婪地在幼小的腿间磨蹭，{Name}享受着这稚嫩身体带来的独特刺激，呼吸逐渐变得粗重。
1004,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|129_E_1,{TargetName}纤瘦的{legs}根本夹不紧{penis}，但那稚嫩光滑的肌肤摩擦着柱身的感觉却让{Name}欲罢不能，只想更加用力地挺腰。
1005,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|129_E_1,{Name}的{penis}在那对娇小的{legs}间进出着，幼女细嫩的大腿内侧肌肤带来的触感让他浑身酥软，快感在体内不断累积。
1006,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|129_E_1,稚嫩的{legs}勉强夹着粗大的{penis}，那纤细修长的腿部线条与成人的肉棒形成了鲜明对比，这种视觉冲击让{Name}兴奋不已。
1007,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|129_E_1,{Name}感受着{penis}在幼小细腻的{legs}间滑动的快感，那稚嫩柔软的肌肤每次摩擦都让他忍不住发出满足的粗喘。
1008,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|129_E_1,纤瘦的{legs}颤抖着努力夹紧{penis}，{Name}陶醉于幼女娇小身体带来的背德快感，下身不由自主地加速摩擦起来。
1009,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|129_E_1,{Name}的{penis}在{TargetName}细嫩的{legs}间磨蹭着，感受着那稚嫩肌肤的丝滑触感，快感如电流般窜遍全身让他沉醉其中。
1010,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|130_E_1,{penis}在{TargetName}那对丰润肉感十足的{legs}间来回摩擦着，虽然是幼女的身躯，但那柔软弹性的腿肉触感却让{Name}浑身酥麻，快感从下腹直冲大脑。
1011,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|130_E_1,幼小的{TargetName}拥有着超乎年龄的丰润{legs}，{penis}被那富有弹性的嫩肉紧紧包裹着，{Name}忍不住加快了挺动的节奏，贪婪地享受这独特的肉感刺激。
1012,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|130_E_1,{Name}低喘着感受{penis}被那对肉嘟嘟的{legs}挤压包裹的快感，幼女特有的稚嫩肌肤配上那丰满的腿肉让他沉迷其中无法自拔，只想更加深入地摩擦。
1013,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|130_E_1,柔软肉感的{legs}将{penis}夹得严严实实，{Name}陶醉于幼女丰润大腿带来的销魂触感，每一次抽动都让快感如潮水般涌来，令他呼吸急促。
1014,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|130_E_1,{TargetName}那对肉乎乎的小{legs}努力夹紧{penis}，丰满的腿肚在摩擦中不断变形，那柔软弹嫩的触感让{Name}兴奋不已，下身不由自主地加速挺动。
1015,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|130_E_1,{Name}的{penis}在那双肥嫩的{legs}间滑动着，幼女丰润的大腿内侧肌肤摩擦着柱身的触感让他头皮发麻，只觉得浑身酥软，沉浸在这肉欲的快感中。
1016,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|130_E_1,肉感十足的{legs}将{penis}包裹得严丝合缝，{Name}迷恋于幼女丰满腿肉带来的柔软触感，每一次摩擦都让他浑身战栗，快感如电流般窜遍全身。
1017,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|130_E_1,{Name}感受着{penis}在那对丰腴稚嫩的{legs}间抽插的快感，幼女肥软的腿肉每次挤压都让他忍不住发出满足的粗喘，下腹的快感不断累积膨胀。
1018,action_part_penis_in_body_10_C,0,CVP_A2_T|102_E_1&CVP_A2_T|130_E_1,丰润的{legs}颤抖着紧紧夹住{penis}，那柔嫩肉感的大腿将肉棒完全吞没，{Name}沉醉于幼女身躯带来的背德快感，腰部不自觉地猛烈摆动起来。
