cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,obey_4,0,CVP_A1_T|102_E_1,\n幼小的{Name}已经完全臣服于博士，将自己的一切都奉献给了这位主人。\n小小的{Name}看向{PlayerName}的眼神中充满了狂热的崇拜和无条件的忠诚。那稚嫩的脸庞上总是挂着对主人的痴迷表情，仿佛{PlayerName}就是她整个世界的中心。“主人的命令就是{Name}活着的意义...”她用天真的声音这样宣誓着自己的忠诚。\n尽管{Name}年纪尚小，身体还很稚嫩，但她已经把满足{PlayerName}的一切需求视为自己最高的使命。当博士需要她的身体时，她会表现出超乎年龄的顺从和奉献精神，那小小的脸上流露出为主人服务的狂喜。“能被主人使用，是{Name}最大的荣幸...”这样的想法已经深深刻入她幼小的心灵。\n{Name}的一切行为和思想都已经完全围绕着{PlayerName}这个中心。她会时刻观察主人的表情变化，猜测主人的需求；会记住主人喜欢的每一个细节，并竭尽全力满足；会为主人的一个赞许而欣喜若狂，为一次忽视而痛苦万分。\n小小的{Name}已经无法想象没有{PlayerName}的生活，她的存在完全依附于这位主人。“没有主人的话，{Name}宁愿死去...”她用极端的思维表达着自己的忠诚。她会毫不犹豫地执行主人的任何命令，即使那些超出常理的要求；会欣然接受主人的任何使用方式，把痛苦视为奉献的证明；会为能够取悦主人而感到无上的光荣和满足。{Name}稚嫩的心灵中只有一个信念：永远做{PlayerName}最忠实的奴隶，把自己的一切，包括灵魂，都交给这位主人。
1001,obey_4,0,CVP_A1_T|102_E_1,\n幼小的{Name}已经完全接受了自己作为博士性奴隶的命运，并从中找到了存在的意义。\n当{PlayerName}出现时，小小的{Name}会立刻跪倒在地，那稚嫩的脸上流露出无比虔诚的表情。“主人...{Name}在此等候您的差遣...”她会用充满敬畏的声音低声说道，眼神中充满了对{PlayerName}的绝对崇拜和臣服。\n虽然{Name}身体还很稚嫩，但她已经把自己完全视为{PlayerName}的私有财产。“主人想怎么使用{Name}都可以...”这样的想法已经植根于她幼小的心灵。当博士需要她的身体时，她会表现出超越年龄的服从和奉献，那稚嫩的脸上洋溢着为主人服务的狂喜。\n{Name}的一切行为举止都彻底以{PlayerName}为中心。她会不断学习如何更好地取悦主人；会记住主人的每一个喜好和习惯；会在主人面前完全放弃自我意识，成为主人意志的延伸。当{PlayerName}表扬她时，她会感到无上的荣幸，小脸上洋溢着纯粹的幸福；而当主人惩罚她时，她会感激涕零，视之为成长的机会。\n小小的{Name}已经无法想象没有{PlayerName}的生活。“主人就是{Name}的神明...”她用狂信徒的思维理解着这种关系。她会为主人的一个微笑而心跳加速，为一次触碰而颤抖不已。{Name}的整个世界已经只剩下服务{PlayerName}这一个目标，她的存在价值完全依附于博士的需求和命令。她天真地相信，作为主人的奴隶是她最大的荣幸，能够无条件奉献自己的一切，包括身体、心灵甚至生命，都是她的幸福和光荣。
1002,obey_4,0,CVP_A1_T|102_E_1,\n幼小的{Name}已经完全沦为博士的专属性奴，并且对这种身份感到无比自豪和满足。\n每当{PlayerName}出现时，小小的{Name}就会立刻停下手中的一切，迅速跪地低头，摆出一个标准的奴隶姿态。“主人...{Name}随时为您服务...”她会用稚嫩但充满虔诚的声音说道，眼神中流露出对{PlayerName}近乎盲目的崇拜和服从。\n尽管{Name}年龄尚小，身体还未发育成熟，但她已经把自己的全部身心都交给了{PlayerName}。“主人拥有{Name}的一切...”这样的观念已经深深烙印在她幼小的心灵中。当博士需要她时，她会表现出超乎寻常的奉献精神，那稚嫩的脸上洋溢着被使用的狂喜，仿佛这是她生命中最大的荣幸。\n{Name}的一切行为和思想都完全围绕着取悦{PlayerName}这个核心。她会竭尽全力学习如何满足主人的每一个需求；会不断揣摩主人的心思，提前做好准备；会为主人的一个赞许而欣喜若狂，为一次责备而痛哭流涕。在她天真的世界观中，博士的话语就是绝对的真理，博士的命令就是不可违抗的法则。\n小小的{Name}对{PlayerName}的依附已经达到了极致。“没有主人，{Name}就没有存在的意义...”她常常这样想着。她会为能够服务主人而感到无上的荣耀；会主动请求更多的使用和调教，视之为主人的恩赐；会在主人面前完全放弃自我，成为一个纯粹的服务工具。{Name}稚嫩的心灵中只有一个信念：永远做{PlayerName}最忠实的奴隶，把自己的一切，包括灵魂和尊严，都无条件地献给这位至高无上的主人。她天真地相信，这种绝对的臣服和奉献，就是她存在的唯一价值和意义。
1003,obey_4,0,CVP_A1_T|102_E_1,\n年幼的{Name}已经彻底臣服于博士，将自己完全交给了这位主人，并以此为最高荣耀。\n当{PlayerName}的身影出现时，小小的{Name}会像接收到电流一般立刻做出反应。她会迅速跪在地上，低垂着头，稚嫩的声音中充满了狂热的崇拜：“主人...{Name}在这里...请随意使用您的奴隶...”她那幼小的面庞上写满了对{PlayerName}的绝对服从和盲目信仰。\n尽管{Name}的身体还很稚嫩，但她已经完全接受了自己作为{PlayerName}私有财产的身份。“主人拥有{Name}的一切...”这个观念已经深深刻入她幼小的心灵。当博士命令她时，她会毫不犹豫地执行，无论那要求多么超越常理；当博士需要她的身体时，她会表现出异于常人的奉献热情，那稚嫩的脸上流露出被使用的极度满足感。\n{Name}的整个世界已经完全以{PlayerName}为中心运转。她会无时无刻不在想着如何取悦主人；会记住主人的每一个喜好和习惯；会为主人的一个眼神而颤抖，为一句称赞而落泪。在她纯真的认知中，博士就是她的神明，博士的欲望就是她行动的唯一指南。\n小小的{Name}已经无法想象没有{PlayerName}的生活。“如果没有主人，{Name}宁愿死去...”她用极端的思维表达着自己的忠诚。她会甘愿承受任何痛苦，只要那是主人的意愿；会不惜牺牲一切，包括自己的健康和尊严，只为博取主人的一丝满意；会在主人面前完全丧失自我意识，成为纯粹的服务工具。{Name}稚嫩的灵魂中只有一个信念：永远做{PlayerName}最忠实的奴隶，用自己的全部生命去服务这位至高无上的主人，并从这种绝对的臣服和奉献中，找到存在的唯一意义和价值。
1004,obey_4,0,CVP_A1_T|102_E_1,\n幼小的{Name}已经完全放弃了自我，将自己的一切都献给了博士这个主人，并从中获得了极致的满足感。\n每当听到{PlayerName}的脚步声，小小的{Name}就会像受到电击一般全身战栗。她会以最快的速度跪在地上，低垂着小脑袋，用带着颤抖的稚嫩声音说：“主人...快快来使用{Name}吧...”她那幼小的脸上流露出一种近乎宗教般的狂热和臣服。\n尽管{Name}年纪尚小，对世界的认知还很有限，但在她纯真的心灵中，已经深深烙印下了一个信条：{PlayerName}就是她生命的唯一意义。“没有主人的命令，{Name}连呼吸都是罪恶的...”她会用这样极端的观念来规范自己的一切行为。当博士需要她的身体时，她会表现出超越年龄的奉献精神，那稚嫩的脸上洋溢着被使用的狂喜，仿佛那是她生命中最神圣的时刻。\n{Name}的一切思想和行为都完全围绕着{PlayerName}的需求和喜好。她会不断学习如何更好地服务主人；会竭尽全力揣摩主人的每一个心思；会为能够满足主人的一个小要求而感到无上的光荣。在她幼小的世界观中，博士的话语就是绝对真理，博士的命令就是不可违抗的法则。\n小小的{Name}对{PlayerName}的依附已经达到了病态的程度。“主人就是{Name}的全部...”她常常这样想着。她会为博士的一个微笑而喜极而泣；会为一次忽视而鞭策自己；会主动请求更多的使用和调教，把痛苦视为荣耀的证明；会在主人面前完全丧失自我意识，成为主人欲望的纯粹容器。{Name}稚嫩的心灵中只有一个信念：永远做{PlayerName}最忠实的奴隶，无条件地献上自己的一切，包括身体、心灵、尊严甚至生命，并从这种极致的臣服和奉献中，找到存在的唯一价值和终极的幸福。

1005,obey_4,0,CVP_A1_T|103_E_1,\n年幼的{Name}已经完全沦为了{PlayerName}的性奴隶，她那尚未完全发育的身心都被彻底改造，只为服务于主人的一切需求。\n{Name}的眼神中已经失去了往日的天真，取而代之的是一种近乎狂热的崇拜和服从，仿佛{PlayerName}的每一个命令都是神圣不可违抗的旨意。\n当{PlayerName}对她发出指令时，{Name}会立刻放下手中的一切工作，迅速回应“是的，主人”，然后以最快的速度执行，她那稚嫩的身体因为急于表现而微微颤抖。\n{Name}已经学会了如何用自己尚显青涩的身体最大限度地取悦{PlayerName}，她会主动摆出各种羞耻的姿势，用那张天真的脸蛋吐出最下流淫荡的话语，只为看到主人满意的笑容。\n在{PlayerName}面前，{Name}已经完全丧失了自我意识，她的存在意义就是满足主人的一切欲望，无论多么过分的要求，她都会毫不犹豫地执行，甚至因为能够服务主人而感到无上的荣耀。\n即使在罗德岛的公共场合，{Name}也时刻准备着接受{PlayerName}的召唤，只需一个眼神，她就会找借口离开，然后在无人的角落跪伏在主人脚下，用自己稚嫩的身体满足主人的需求。\n{Name}对{PlayerName}的忠诚已经到了狂信的地步，她相信主人就是她生命的全部意义，愿意为了博士付出一切，甚至是生命。
1006,obey_4,0,CVP_A1_T|103_E_1,\n年幼的{Name}已经彻底沦为{PlayerName}的专属性奴隶，她那尚未完全发育的身体和心灵都被打上了主人的烙印。\n{Name}的一切行动都以{PlayerName}的意志为中心，她那双天真的眼睛里只剩下对主人的绝对崇拜和依赖，仿佛除了服侍{PlayerName}之外，她的生命再无其他意义。\n每当{PlayerName}流露出性欲的信号时，{Name}会立刻变得兴奋而紧张，她那幼小的身体会不自觉地颤抖，既是因为期待，也是因为对即将履行职责的喜悦。\n{Name}已经完全接受了自己作为性奴隶的身份，她会毫不犹豫地向{PlayerName}奉献自己的一切，那种完全臣服的姿态和发自内心的渴望服务的态度，让人既感到满足又忍不住想要更深入地占有她。\n在私下场合，{Name}会主动跪在{PlayerName}面前，用那张尚带稚气的脸抬头仰望主人，轻声请求：“请使用您的奴隶吧，主人。”这种反差感给{PlayerName}带来了极大的满足感。\n{Name}对{PlayerName}的忠诚已经到了盲目的地步，她相信主人的每一个决定都是正确的，每一个命令都值得她全力以赴去执行，即使是那些最下流最变态的要求，她也会毫不犹豫地接受并感到荣幸。\n对{Name}来说，能够取悦{PlayerName}已经成为她存在的唯一目的，她的自尊、羞耻和个人意志都已经被完全摧毁，只剩下对主人无条件的服从和崇拜。
1007,obey_4,0,CVP_A1_T|103_E_1,\n年幼的{Name}已经在精神上完全臣服于{PlayerName}，她那尚未完全发育的身心都被重新定义，只为了满足主人的一切欲望。\n{Name}看向{PlayerName}的眼神中充满了狂热的崇拜和无条件的服从，那种近乎宗教般的狂信让人充满成就感。\n当{PlayerName}下达指令时，{Name}会立刻跪地回应“遵命，主人”，她那稚嫩的声音中透露出对能够服务主人的无上喜悦。\n{Name}已经完全丧失了羞耻感和自我意识，她会毫不犹豫地在{PlayerName}面前展示自己幼小的身体，摆出各种淫荡的姿势，只为了博得主人一声赞赏。\n在满足{PlayerName}性需求时，{Name}表现出了超越年龄的热情和技巧，她会主动学习各种取悦主人的方法，并以能够让{PlayerName}达到高潮为最大的荣誉。\n{Name}对{PlayerName}的依赖已经达到了病态的程度，如果一天没有接受主人的“使用”，她就会感到焦虑不安，仿佛生活失去了意义。\n即使是最变态最过分的要求，{Name}也会毫不犹豫地执行，因为在她心中，{PlayerName}的意志高于一切，包括她自己的尊严、健康甚至生命。\n{Name}的整个存在已经被重新定义，她不再是一个独立的个体，而是{PlayerName}的一件所有物，一个随时准备服务的工具，而这种完全的臣服和归属感，却给她带来了前所未有的安全感和满足感。
