cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_eat_A,0,food_type_0&food_quality_low&food_recipe_difficulty_low&pl_action_food_normal,一份随手凑合的{FoodName}被草草端了上来，色泽黯沉毫无光泽，形态松散地软塌在器皿里，表面的油迹潦草随意，一看便知是不费工夫的简便手艺，完全没有任何用心摆盘的痕迹。\n靠近细嗅，它散发出的气味寡淡含混，几乎感觉不到任何正餐应有的鲜香，只有一缕有气无力的稀薄热气懒洋洋地向上漫散，隐约还夹着一股令人皱眉的生涩气息，无聊地飘散在鼻尖，叫人下意识地想别过脸去。\n凝视这份粗陋的{FoodName}，黯淡的色泽与令人不快的气息毫无诱人之处，松散的食材完全勾不起任何食欲，心底只剩下无奈的嫌弃。
1001,action_eat_A,0,food_type_0&food_quality_low&food_recipe_difficulty_low&pl_action_food_normal,眼前这份{FoodName}是仓促之间凑合出来的，摆盘潦草随意，色泽灰暗毫无光泽，食材形态随意地散落在器皿中，一眼便知是完全不费工夫的敷衍之作，毫无任何令人期待的卖相。\n凑近轻嗅，它散发出的气味令人失望，寡淡而混浊，只有一丝极其微弱的油脂气和令人不快的生涩气混搅在一起，完全嗅不到任何令人愉悦的鲜香，那股稀薄气息简直像是在故意敷衍，无精打采地飘散开来。\n这份潦草的{FoodName}实在提不起人的兴致，黯淡的色泽与含糊的气味令人直皱眉头，怎么看都是一副令人敬而远之的模样。
1002,action_eat_A,0,food_type_0&food_quality_low&food_recipe_difficulty_low&pl_action_food_normal,一份简便食谱做出的{FoodName}被随意盛了出来，器皿里的食物松松散散地堆着，色泽毫无神采，表面油迹潦草，看起来完全是不加任何讲究的凑合，毫无任何可言的美感与卖相。\n靠近去嗅，食物本身的气味寡淡令人泄气，只有一缕微弱的热气和令人皱鼻的生涩气飘散，没有任何令人垂涎的鲜香，这份食物的气味就像它的外表一样，毫无任何吸引力，只是无聊地弥散在空气里。\n这份粗糙的{FoodName}外观毫无吸引力，松散的食材毫无美感地摊在器皿里，黯沉的色泽令人皱眉嫌弃，哪里也找不出半分诱人之处。
1003,action_eat_A,0,food_type_0&food_quality_low&food_recipe_difficulty_low&pl_action_food_normal,这份{FoodName}的制作显然花了极少的工夫，食材堆叠得随意而乱，色泽灰暗缺乏光泽，表面既无诱人的油亮，也没有任何精心摆盘的痕迹，就这样随手凑合地被摆了上来，完全看不出有任何用心。\n靠近时隐约能嗅到一点微弱的气味，但那股气息寡淡含混，不像食物应有的鲜香，更像是随手加热时产生的平淡气息，混杂着一丝说不清楚的生涩，令人皱眉，完全嗅不到任何令人食欲大开的香气。\n光是凝视这份毫无卖相的{FoodName}，便叫人升起一阵嫌弃的厌倦感，黯淡的外观与无聊的气息令人提不起丝毫兴趣。
1004,action_eat_A,0,food_type_0&food_quality_low&food_recipe_difficulty_low&pl_action_food_normal,这份凑合出来的{FoodName}被草率地端了上来，色泽黯哑而无光，食材形态松懈软烂地摊在器皿里，完全没有任何令人赏心悦目的卖相，一眼便是粗陋仓促的手艺，令人提不起任何期待。\n它散发出的气息令人失望，那点微弱寡淡的热气有气无力地悄悄上散，几乎感受不到任何引人食欲的鲜香，只是隐约夹带着一股令人不适的生涩气味飘散在鼻端，令人不由自主地蹙起眉头，有种想立刻离开的冲动。\n这份黯淡的{FoodName}毫无诱人之处，松散的形态与令人失望的气息组合在一起，实在令人无从生出任何期待。
1005,action_eat_A,0,food_type_0&food_quality_low&food_recipe_difficulty_low&pl_action_food_normal,眼前这份{FoodName}看起来仿佛只是随手凑合，食材松散地堆着，色泽黯淡无光，表面油迹潦草，没有任何精心烹制的迹象，更没有半点诱人的卖相，令人一看便心生嫌弃。\n那股子微弱的热气有气无力地散着，仅带着一点点含混的气息，寡淡得几乎什么都闻不到，反倒还混着一股子令人皱眉的生涩，像是随意省略了所有最重要的步骤，哪怕是最基本的鲜香气也完全欠缺。\n这份糟糕的{FoodName}毫无令人垂涎的外表和气味，黯沉的色泽和含混的气息共同组成了一道令人嫌弃的风景，只叫人心头涌起无奈和厌倦。
1006,action_eat_A,0,food_type_0&food_quality_low&food_recipe_difficulty_low&pl_action_food_normal,随意盛放出来的{FoodName}看起来粗糙得令人失望，色泽黯沉无光泽，食材形态散漫随意，完全谈不上任何美感，一看便知是极为仓促简陋的手艺，令人感到无比失落。\n它散发出的气味更是令人泄气，寡淡而无力，稀薄的热气无精打采地飘散，几乎嗅不出任何可口的鲜香，只余下一股令人皱眉的混浊气息，夹带着说不清楚的生涩味道，令人本能地想别过脸去。\n凝视这份潦草的{FoodName}，心底只涌起一阵嫌弃，黯淡的外观与令人失望的气息让这份食物毫无任何吸引力，实在令人提不起半分品尝的兴趣。
