cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_s_orgasm_strong_B,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,{TargetName}稚嫩的皮肤大片彻底泛红发烫，表面瞬间起满密密麻麻的鸡皮疙瘩，一层层肌肉连续不受控制地剧烈痉挛抽搐。\n青涩的身子反复深深弓起后又猛地瘫软下去，脖颈高高仰起，稚嫩的下颌绷紧到不住发抖。\n纤细的四肢失控地颤抖乱蹬，小小的脚趾用力向内蜷缩扣紧，双手胡乱抓挠。\n泛红的毛孔里汗水如瀑布般涌出淌满周身，生理性泪水糊满眼角，青涩的花穴狂涌出大量爱液，呼吸急促紊乱到几乎失去节律。
1001,action_part_s_orgasm_strong_B,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,被玩弄的皮肤成片彻底涨红发烫，表面爬满一层细密的鸡皮疙瘩，{TargetName}稚嫩的肌肉一阵接一阵地剧烈痉挛抽搐个不停。\n娇小的身躯猛地绷成弓形又软软塌落，如此反复起伏，纤细的脖颈仰得极高，下颌绷得直发颤。\n两条细腿失控地乱蹬乱颤，稚嫩的脚趾死死蜷曲扣紧，纤细的手指痉挛地抓紧了身边一切。\n滚烫的肌肤上汗珠成串滚落淌满全身，眼角生理性泪水不断溢出，下体反射性地狂涌爱液并溅出小股水花。
1002,action_part_s_orgasm_strong_B,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,{TargetName}稚嫩的皮肤大面积泛红滚烫，表面骤然起满一片鸡皮疙瘩，纤细的肌肉连续而剧烈地抽搐痉挛。\n青涩的腰背猛地深深弓起后又骤然瘫软，一次次重复着，脖颈向后仰起，稚嫩的下颌紧绷发抖。\n瘦弱的四肢不受控地颤抖乱抓，小脚趾用力向内蜷缩，纤细的手死死攥紧。\n泛红发烫的皮肤汗如泉涌淌落全身，眼眶里生理性泪水糊了满脸，稚嫩的下体大量喷涌爱液，急促的呼吸彻底乱了节律，胸口剧烈起伏。
1003,action_part_s_orgasm_strong_B,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,大片皮肤彻底涨得通红滚烫，表面密密地起满了鸡皮疙瘩，{TargetName}稚嫩的肌肉一波波剧烈地痉挛绷紧。\n娇小的身子深深弓起又瘫软，如此往复不停，脖颈高高扬起，稚嫩下颌绷得不住颤抖。\n细弱的双腿失控地乱蹬乱踹，脚趾狠狠向内蜷曲，稚嫩的手指抽搐着乱抓乱挠。\n滚烫的毛孔里汗水如瀑倾泻淌满娇躯，眼角泪水止不住地流，青涩的花穴狂涌爱液并伴着小幅潮吹，呼吸紊乱急促到几乎断续。
1004,action_part_s_orgasm_strong_B,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,{TargetName}成片的皮肤瞬间彻底泛红发烫，表面起满一层鸡皮疙瘩，稚嫩的肌肉连续剧烈地痉挛抽搐不止。\n青涩的身躯反复深深弓起后又无力瘫软，纤细的脖颈仰起，稚嫩的下颌绷紧到发颤。\n瘦削的四肢失控地颤抖乱蹬，小小脚趾用力蜷缩扣紧，双手痉挛地抓挠身侧。\n泛红滚烫的肌肤汗水如注淌满全身，生理性泪水涌出糊满眼角，稚嫩下体反射性地狂涌大量爱液，急促的喘息彻底失去了节律。

1005,action_part_s_orgasm_strong_B,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,{TargetName}稚嫩的身体猛地深深弓起，被抚弄的皮肤大片彻底泛红发烫，表面瞬间起满一层鸡皮疙瘩，年轻的肌肉一阵接一阵不受控制地剧烈痉挛抽搐。\n她的脖颈高高仰起，下颌绷紧到发抖，纤细的四肢失控地颤抖乱蹬，稚嫩的脚趾死死向内蜷缩。\n通红发烫的皮肤如瀑布般涌出大量汗水淌满全身，生理性的泪水糊满眼角。\n弓起的腰身反复挺立后又瘫软下去，花穴狂涌爱液甚至溅出小股潮吹，呼吸急促紊乱到几乎失去节律。
1006,action_part_s_orgasm_strong_B,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,被玩弄到反常敏感的皮肤在{TargetName}年幼的身上成片绷紧发烫，一层细密的鸡皮疙瘩铺满肌肤，稚嫩的肌肉连续而剧烈地抽搐痉挛。\n她的背脊深深弓起一道弧线随即又瘫软塌下，两条细腿失控地乱蹬乱绷，脚趾用力蜷曲，双手死死抓紧不放。\n泛红滚烫的皮肤大量沁出汗珠，成串地顺着年轻的躯体滑落，眼角沁满生理性的泪水。\n花穴间大量爱液不受控制地狂涌而出，将下身浸得湿透，她的呼吸大幅起伏、紊乱失序，表情彻底失控。
