key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注

#(说明行，写完请删掉该行)  人物的基础属性，照着填写就可以#
AdvNpc,int,999,0,干员编号：999
Name,str,样板人物,1,姓名：样板人物
Sex,int,1,0,性别：女，当前版本暂不支持其他性别的干员
Profession,int,4,0,职业：术师
Race,int,13,0,种族：菲林
Nation,int,0,0,势力：罗德岛
Birthplace,int,9,0,出身地：雷姆必拓
Hp,int,1500,0,初始体力：1500，上下浮动最多一千
Mp,int,1000,0,初始气力：1000，上下浮动最多一千
Dormitory,str,无,1,如果没有专门设定就统一写“无”，会住进宿舍
Token,str,一条项链,1,信物：一条项链
Introduce_1,str,一个术士菲林,1,人物介绍：一个术士菲林
TextColor,str,#fffff0,1,字体颜色，使用16进制颜色

#(说明行，写完请删掉该行)  人物的初始能力、经验、素质，开头的AET分别代表能力、经验、素质，数字代表数据编号#
#(说明行，写完请删掉该行)  除非人设有特殊需求，一般初始能力最高可以到3级，初始经验最高不要超过两百#
#(说明行，写完请删掉该行)  这里给出的都是必选项，有其他想加的AET可以自行参照相关属性表来添加#
A|0,int,1,0,0号能力（Ability）的值级为1：初始N感觉为1
E|81,int,100,0,81号经验（Experience）的值为100：初始战斗经验为100
T|0,int,1,0,0号素质（Talent）的值为1：初始拥有处女素质
T|1,int,1,0,A处女
T|4,int,1,0,无接吻经验
T|104,int,1,0,少女（年龄素质，必选）
T|111,int,1,0,兽耳
T|113,int,1,0,兽尾
T|123,int,1,0,普乳（胸部、屁股、腿、脚，四个素质都是必选）
T|127,int,1,0,普臀
T|129,int,1,0,细腿
T|131,int,1,0,小足

#(说明行，写完请删掉该行)  人物的初始服装，数字代表服装序号，新人物的衣服只用写类型编号就行了，一个类别里可以有多个#
#(说明行，写完请删掉该行)  0：帽子，1：眼镜，2：耳饰，3：脖饰，4：口饰，5：上衣，6：胸衣，7：手套，8：下衣，9：内裤，10：袜子，11：鞋子，12：武器，13：附属物#
#(说明行，写完请删掉该行)  以下例子是阿米娅的衣服，编号换成了衣服类型#
C|3,str,渐变蕾丝纱巾,0,渐变蕾丝纱巾
C|5,str,罗德岛制服夹克,0,罗德岛制服夹克
C|5,str,白色羊绒衫,0,白色羊绒衫
C|7,str,抑制戒指,0,抑制戒指
C|8,str,苏格兰风短格子裙,0,苏格兰风短格子裙
C|9,str,纯白色内裤,0,纯白色内裤
C|10,str,黑色连裤袜,0,黑色连裤袜
C|11,str,深蓝色小皮鞋,0,深蓝色小皮鞋
