cid,name,department,place,place_tag,tag,need,auto_ai,auto_ai_move,auto_ai_work,describe
模板id,工作名,工作部门,工作地点,工作地点标签,标签(1为灰色显示，2为特殊解锁不直接显示),必要条件,是否使用自动ai行动,自动ai移动数据,自动ai工作数据,描述
int,str,str,str,str,int,str,int,str,str,str
0,1,1,1,0,0,0,0,0,0,1
工作模板,,,,,,,,,,

0,无,无,无,无,0,无,0,无,无,无

021,检修工程师,工程部,运维部,Maintenance_Department,0,无,0,无,无,检修维护罗德岛的各种设施
022,铁匠,工程部,铁匠铺,Blacksmith_Shop,0,无,1,622,309,维修干员的装备
051,厨师,生活娱乐区,厨房,Kitchen,0,无,1,521,310,给食堂做饭，以供干员们食用
061,坐诊医生,医疗部,门诊室,Clinic,0,无,1,661,301|patient_wait,接待并诊治病人，获得龙门币
071,招募专员,文职部,人事办公室,HR_Office,0,无,1,541,302,招募干员，消耗龙门币，增加招募条
091,训练学员,训练场,训练场,Training_Room,0,无,1,514,318,去训练场训练，会根据职业自动到近战的木桩房或远程的射击房进行训练
092,健身锻炼员,训练场,健身区,Gym,0,无,1,613,319,去健身区锻炼，增加体力和气力上限
101,图书馆管理员,图书馆,图书馆,Library,0,无,0,无,无,进行图书馆的管理操作
121,生产工人,制造加工区,生产车间,Production_Workshop,0,无,1,518,311,在车间内使用原材料制造出对应的产品
131,外交官,访客区,外交办公室,Diplomatic_Office,1,O131|1,1,631,316,处理与各国之间的关系，承接大小委托，协调当地的外勤工作(需要在[外交势力]系统中任命)
132,邀请专员,访客区,外交办公室,Diplomatic_Office,0,O131|1,1,631,314,邀请各界人士来罗德岛访问，拓宽罗德岛的人脉
151,教师,教育区,教室,Class_Room,0,无,1,561,303,给学生上课
152,学生,教育区,教室,Class_Room,0,无,1,561,304,听老师讲课
161,药材种植员,疗养庭院,药田,Herb_Garden,0,无,1,641,315,在药田里种植药材等农作物
162,花草种植员,疗养庭院,温室,Greenhouse,0,O71|1,1,642,315,在温室里种植花草等香料
171,按摩师,大浴场,浴场休息区,Bath_Rest_Room,0,无,1,606,313|place_someone_not_massage_therapist,为干员提供搓澡、按摩、捏脚、刮痧、拔罐等服务
191,监狱长,关押区,监狱长办公室,Warden_Office,1,无,1,652,320|prisoner_in_custody,管理关押区的干员
193,性爱练习生,关押区,调教室,Humiliation_Room,2,无,0,无,无,利用道具练习自己的性爱技巧
