cid,status,duration,trigger,type

0,无行动,-1,both,日常
1,移动,1,both,日常
2,等待,-1,both,日常
3,换衣服,5,npc,日常
5,角色特殊指令,10,pl,日常
99,空白示范指令,1,both,日常
101,聊天,5,both,日常
102,谈话次数过多而失败,5,pl,日常
103,身体接触,10,both,日常
104,按摩,30,both,日常
110,休息,60,both,日常
111,睡觉,-1,both,日常
112,淋浴,15,both,日常
113,起床,5,both,日常
115,让NPC跟随玩家,5,pl,日常
116,让NPC停止跟随玩家,5,pl,日常
117,道歉,60,pl,日常
118,道歉失败,60,pl,日常
119,听牢骚,45,pl,日常
131,泡咖啡,15,both,日常
133,让对方泡咖啡,15,pl,日常
134,做饭,-1,both,日常
135,进食,5,both,日常
136,拒绝进食,5,pl,日常
137,购买食物,1,pl,日常
140,解手,5,both,日常
141,脱掉全部衣服,10,npc,日常
142,换上浴帽和浴巾,10,npc,日常
143,换上睡衣和内衣,10,npc,日常
144,身上衣服脱到衣柜,10,npc,日常
145,衣柜衣服穿回身上,10,npc,日常
146,脱掉衣服并换上泳衣,10,npc,日常
147,脱鞋袜,5,npc,日常
148,脱衣换浴帽和浴巾,10,npc,日常
149,脱衣并穿回衣柜衣服,10,npc,日常

151,唱歌,10,both,娱乐
152,演奏乐器,10,both,娱乐
153,看电影,120,both,娱乐
154,摄影,60,both,娱乐
155,玩水,60,both,娱乐
156,下棋,30,both,娱乐
157,打麻将,60,both,娱乐
158,打牌,60,both,娱乐
159,排演舞剧,120,both,娱乐
160,玩街机游戏,60,both,娱乐
161,游泳,60,both,娱乐
162,品酒,30,both,娱乐
163,品茶,30,both,娱乐
164,品咖啡,30,both,娱乐
165,品尝点心,30,both,娱乐
166,品尝美食,30,both,娱乐
167,过家家,60,both,娱乐
168,修整发型,60,both,娱乐
169,全身造型服务,120,both,娱乐
171,听肚子里的动静,5,both,娱乐
172,一起玩耍,30,both,娱乐
173,博士在桌游中获胜,10,pl,娱乐
174,博士在桌游中输了,10,pl,娱乐
181,泡脚,30,both,娱乐
182,蒸桑拿,30,both,娱乐
183,水疗护理,60,both,娱乐
184,泡温泉,60,both,娱乐
191,对目标香薰疗愈_回复,60,pl,娱乐
192,对目标香薰疗愈_习得,60,pl,娱乐
193,对目标香薰疗愈_反感,60,pl,娱乐
194,对目标香薰疗愈_快感,60,pl,娱乐
195,对目标香薰疗愈_好感,60,pl,娱乐
196,对目标香薰疗愈_催眠,60,pl,娱乐
201,处理公务,60,both,工作
202,指挥作战,5,pl,工作
205,战斗训练,120,both,工作
206,锻炼身体,60,both,工作
207,诊疗病人,30,both,工作
208,招募干员,60,both,工作
209,邀请访客,60,both,工作
210,读书,30,both,工作
213,授课,45,both,工作
214,上学,45,both,工作
215,维护设施,60,both,工作
216,维修装备,60,both,工作
217,干员做饭,30,npc,工作
218,制造产品,30,both,工作
219,种植与养护作物,60,both,工作
221,处理外交事宜,60,both,工作
251,早安问候：叫起床,5,npc,工作_助理
252,早安问候：早安吻,5,npc,工作_助理
253,早安问候：早安咬,10,npc,工作_助理
254,晚安问候：催睡觉,5,npc,工作_助理
255,晚安问候：晚安吻,5,npc,工作_助理
256,晚安问候：晚安咬,10,npc,工作_助理
261,干员助理做饭,30,npc,工作_助理
301,摸头,10,both,猥亵
302,摸胸,10,both,猥亵
303,摸屁股,10,both,猥亵
304,摸耳朵,10,both,猥亵
305,摸角,10,both,猥亵
306,摸尾巴,10,both,猥亵
307,摸光环,10,both,猥亵
308,摸翅膀,10,both,猥亵
309,摸触手,10,both,猥亵
310,摸小车,10,both,猥亵
311,牵手,10,both,猥亵
312,拥抱,3,both,猥亵
313,亲吻,5,both,猥亵
314,膝枕,30,both,猥亵
315,掀起裙子,5,both,猥亵
316,索要内裤,5,both,猥亵
317,索要袜子,5,both,猥亵
331,阴蒂爱抚,5,both,猥亵
332,手指插入（V）,5,both,猥亵
333,手指插入（A）,5,both,猥亵
336,挤奶,30,both,猥亵
341,闻内衣,1,pl,猥亵
342,偷走内裤,5,pl,猥亵
343,偷走袜子,5,pl,猥亵
344,偷走所有人内裤,10,pl,猥亵
345,偷走所有人袜子,10,pl,猥亵
351,装袋搬走,10,pl,猥亵
352,投入监牢,10,pl,猥亵
353,解除囚禁,10,pl,猥亵
361,进入H状态,5,both,性爱
362,结束H,5,pl,性爱
363,邀请H失败,10,pl,猥亵
364,H时博士体力为零中断,5,pl,性爱
365,H时交互对象体力为零中断,5,pl,性爱
366,H时被人目击闯入中断,5,pl,性爱
367,结束无意识H,5,pl,性爱
371,告白,10,both,猥亵
372,告白失败,10,pl,猥亵
373,戴上项圈,10,both,猥亵
374,戴上项圈失败,10,pl,猥亵
380,邀请群交,5,pl,性爱
381,邀请群交失败,5,pl,猥亵
382,结束群交,5,pl,性爱
383,群交时博士体力为零中断,5,pl,性爱
384,群交时自己体力为零退出,5,npc,性爱
385,群交时NPC数量不足转为单人H,5,pl,性爱
386,自己加入群交,5,npc,性爱
396,目睹玩家与其他角色H,10,npc,猥亵
397,亲吻失败,5,pl,猥亵
398,重度猥亵失败,10,pl,猥亵
399,轻度猥亵失败,10,pl,猥亵
401,身体爱抚,10,both,性爱
402,接吻,5,both,性爱
403,胸爱抚,10,both,性爱
404,玩弄乳头,10,both,性爱
405,舔吸乳头,10,both,性爱
406,阴蒂爱抚,10,both,性爱
407,掰开阴唇观察,10,both,性爱
408,掰开肛门观察,10,both,性爱
409,舔阴,10,both,性爱
410,舔肛,10,both,性爱
411,手指插入(V),10,both,性爱
412,手指插入(A),10,both,性爱
413,命令对方自慰,10,both,性爱
414,命令对方舔自己肛门,10,both,性爱
415,继续享受,-1,pl,性爱
416,诱惑对方,10,pl,性爱
417,命令对方小便,5,pl,性爱
418,自慰(女),10,npc,性爱
420,手交,10,both,性爱_侍奉
421,口交,10,both,性爱_侍奉
422,乳交,10,both,性爱_侍奉
423,足交,10,both,性爱_侍奉
424,发交,10,both,性爱_侍奉
425,腋交,10,both,性爱_侍奉
426,素股,10,both,性爱_侍奉
427,手交口交,10,both,性爱_侍奉
428,乳交口交,10,both,性爱_侍奉
429,真空口交,10,both,性爱_侍奉
430,深喉插入,10,both,性爱_侍奉
431,六九式,10,both,性爱_侍奉
432,腿交,10,both,性爱_侍奉
433,尾交,10,both,性爱_侍奉
434,阴茎蹭脸,10,both,性爱_侍奉
435,阴茎蹭角,10,both,性爱_侍奉
436,阴茎蹭耳朵,10,both,性爱_侍奉
437,清洁口交,10,both,性爱_侍奉
451,润滑液,10,both,性爱_药物
452,事前避孕药,10,both,性爱_药物
453,事后避孕药,10,both,性爱_药物
454,媚药,10,both,性爱_药物
455,灌肠液,10,both,性爱_药物
456,一次性利尿剂,10,both,性爱_药物
457,持续性利尿剂,10,both,性爱_药物
458,安眠药,10,both,性爱_药物
459,排卵促进药,10,both,性爱_药物
471,戴上避孕套,1,both,性爱_道具
472,低温蜡烛,10,both,性爱_道具
473,尿道棉棒,10,both,性爱_道具
474,摘掉避孕套,1,both,性爱_道具
481,乳头跳蛋,10,both,性爱_道具
482,戴上乳头夹,10,both,性爱_道具
483,阴蒂跳蛋,10,both,性爱_道具
484,戴上阴蒂夹,10,both,性爱_道具
485,电动按摩棒,10,both,性爱_道具
486,V插入震动棒,10,both,性爱_道具
487,加粗震动棒,10,both,性爱_道具
488,巨型震动棒,10,both,性爱_道具
489,A插入震动棒,10,both,性爱_道具
490,加粗肛门震动棒,10,both,性爱_道具
491,巨型肛门震动棒,10,both,性爱_道具
492,灌肠,10,both,性爱_道具
493,肛塞,10,both,性爱_道具
494,塞入肛门拉珠,10,both,性爱_道具
495,拔出肛塞,10,both,性爱_道具
496,取下乳头夹,10,both,性爱_道具
497,取下阴蒂夹,10,both,性爱_道具
498,拔出震动棒,10,both,性爱_道具
499,拔出肛门震动棒,10,both,性爱_道具
500,拔出肛门拉珠,10,both,性爱_道具

