key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,1035,0,角色编号
Name,str,维什戴尔,1,角色姓名
Sex,int,1,0,角色性别
Profession,int,2,0,角色职业为狙击
Race,int,25,0,角色种族为萨卡兹
Nation,int,3,0,角色势力为巴别塔
Birthplace,int,6,0,角色出身地为卡兹戴尔
Hp,int,1888,0,角色初始体力
Mp,int,2000,0,角色初始气力
Dormitory,str,无,1,角色初始宿舍
Token,str,一颗画着笑脸的手雷。你并不清楚它是什么时候到你手上的。往好处想，你或许只是收到了一场还未绽放的烟花。,1,角色信物
Introduce_1,str,萨卡兹雇佣兵领袖W，现正式更名为维什戴尔。于伦蒂尼姆战争期间，与罗德岛伦蒂尼姆特别行动队紧密合作，数度阻遏军事委员会的行动。,1,角色介绍
A|42,int,8,0,角色战斗技能为8
A|35,int,2,0,角色施虐为2
A|43,int,2,0,角色料理技能为2
A|41,int,4,0,角色指挥技能为4
E|81,int,120,0,角色战斗经验为120
E|83,int,10,0,角色料理经验为10
E|87,int,40,0,角色指挥经验为40
T|0,int,1,0,角色有处女素质
T|1,int,1,0,角色有Ａ处女素质
T|4,int,1,0,角色有无接吻经验素质
T|105,int,1,0,角色有大姐姐素质
T|112,int,1,0,角色有兽角素质
T|113,int,1,0,角色有兽尾素质
T|124,int,1,0,角色有巨乳素质
T|127,int,1,0,角色有普臀素质
T|130,int,1,0,角色有肉腿素质
T|131,int,1,0,角色有小足素质
T|150,int,1,0,角色有源石病感染者素质
T|229,int,1,0,角色有施虐狂素质
C|5-1,str,红色兜帽夹克,0,红色兜帽夹克
C|5-2,str,黑色运动胸衣,0,黑色运动胸衣
C|6,str,黑色运动胸衣,0,黑色运动胸衣
C|8,str,黑色皮革热裤,0,黑色皮革热裤
C|11,str,黑色系带战术靴,0,黑色系带战术靴
C|12-1,str,祖宗发射器,0,祖宗发射器
C|12-2,str,战术匕首,0,战术匕首
C|13,str,腰部炸弹,0,腰部炸弹挂件
