cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_v_orgasm_small_C,0,group_sex_mode_on&CVP_A2_A|34_LE_4&CVP_A2_T|106_E_1,{vagina}骤然颤缩了一下，细密的内壁一阵阵地收紧放松，将一缕甜腻而清醒的快感直白地传递进来，{TargetName}的心头在那一瞬骤然涌起一阵晕眩——不是那种彻底失控的绝顶，而是一个可感知的轻度峰值，带着甜蜜而令她慌乱的触感，清清楚楚地告诉她身体已经轻微高潮了。\n成熟而敏锐的感知让她对每一阵{vagina}的颤缩都接收得格外真切，那种漫出的甜热在腰腹深处缓缓扩散，她清楚地感知到爱液正在悄然沁出，{vagina}的内壁正在不受控制地一阵阵收紧，这种清醒的感知反而让心底升起了更浓厚的羞耻与慌乱。\n周围还有其他人——这个清醒的认知与{vagina}阵阵颤缩的感受交织在一起，让心底的羞耻感如火焰般蔓延，她竭力维持着表面的平静，不动声色地将手臂遮住下腹，侧转了脸颊，发丝垂落在颊侧，将下唇咬得微微泛白，把那一阵险些脱口的细声死死堵在喉间，那一阵轻度的绝顶就这样在压抑与羞耻中悄然到来又悄然消散。\n{vagina}最后一阵颤缩平息时，心底里残留着一丝甜腻的余韵，连耳廓都透着一抹难以消退的绯红，那种清醒而真实的高潮感受就这样留在了记忆里，甜蜜而又让她无处安放。
1001,action_part_v_orgasm_small_C,0,group_sex_mode_on&CVP_A2_A|34_LE_4&CVP_A2_T|106_E_1,那种轻度绝顶的感觉从{vagina}深处悄然升起，阵阵细密的颤缩将甜腻的快感一波一波地漫入意识，{TargetName}心头骤然一颤——不剧烈，不排山倒海，却清晰得让她无法忽视，那是身体已经轻微高潮的信号，甜腻而直白，让她内心涌起了一阵既陌生又熟悉的迷乱。\n{vagina}的每一次收紧都让心中的迷乱加深一分，成熟的身体对这种感受有着异乎寻常的清醒感知，腰腹深处那阵温热的潮涌没有彻底淹没她的意识，却让她始终无法假装若无其事，那一丝一缕的甜蜜颤动让她心底升起了矛盾的情绪——快感是真实的，羞耻感也同样真实地灼烫着她。\n但更令她慌乱的是旁边还有其他人，{vagina}的颤缩就在众目睽睽之下悄然进行，那种被人看见的危机感裹着羞耻将她的心口填满，她悄悄低垂了脸，侧转了身形，任由发丝遮住泛红的耳廓，双腿下意识地向内收紧，试图将一切颤动与湿润都藏在身体的折叠之间，不让旁人察觉出分毫。\n等到{vagina}最后那一阵轻微的余颤消散，成熟的她轻轻吐出了一口气，心底里那一阵甜腻而清醒的高潮感慢慢退去，留下的是久久萦绕的羞耻余温，和那份被自己的身体当众悄悄出卖的隐约慌乱。
1002,action_part_v_orgasm_small_C,0,group_sex_mode_on&CVP_A2_A|34_LE_4&CVP_A2_T|106_E_1,{vagina}悄悄收紧了一下，那种细腻的痉挛感如一缕细丝般轻柔地贯穿了她的意识，{TargetName}心底倏地涌起一种既熟悉又陌生的高潮感——熟悉来自于她早已对此有过无数想象，陌生则来自于真实身体的反应远比想象更直白、更无可回避，那种清醒的高潮感受让她的心头微微一颤。\n这只是一次轻度的绝顶，{vagina}的颤缩虽然清晰，却没有将她的意识彻底卷走，她依然清醒地感知着每一阵细腻的收缩，感知着爱液悄然沁出的温热，感知着腰腹深处那股缓缓漫散的甜意，这种清醒的感知本身就是一种折磨，让每一阵颤动都如此真实可感，让羞耻心无处遁形。\n更难以承受的是那种在旁人眼前轻微高潮的羞耻，{vagina}的颤缩不受意志控制地进行着，内心里的慌乱与快感纠缠在一起，让成熟的她也生出了一阵难以平息的迷乱，胸腔里像是有一团火烫得她无法轻易喘匀，她悄悄侧过了脸，压低了视线，不敢让任何人看清此时通红的神情。\n最后一阵细密的颤缩消散时，{vagina}的余波轻轻漾开又平息，那一阵轻度绝顶的甜腻感受慢慢沉淀在心底，成熟的她没有因这轻微的高潮而失去自持，却也无法否认，那种清醒而真实的快感曾让她的心脏短暂地失了秩序。
1003,action_part_v_orgasm_small_C,0,group_sex_mode_on&CVP_A2_A|34_LE_4&CVP_A2_T|106_E_1,{TargetName}清楚地感知到{vagina}的那一阵颤缩——那不是幻觉，是真实的轻度高潮，细密的痉挛将一缕甜腻而清醒的快感层层递进，从{vagina}深处漫散向腰腹，那种感受轻柔而直白，让她的心头骤然涌起了一阵因自身失控而来的惊讶与羞耻，一时间不知如何消化这种复杂的感受。\n这种轻度的绝顶没有让她失去意识，反而让她以一种过于清醒的状态感受着每一阵{vagina}的收缩，那种甜腻的颤动在腰腹深处一阵阵地推送，成熟的身体对这种感受的接受如此直白，以至于她的心底在甜蜜与迷乱之间轻轻颤动，无法平息。\n偏偏周围还有其他人的存在，那种在众目睽睽之下轻微高潮的羞耻感如同潮水一般涌来，{vagina}的每一次颤缩都在众人面前悄然进行，她用有限的动作遮住自己，侧转了脸，手指无声地攥紧，将那一阵想要从唇间逃逸的细声压住，试图让自己看起来什么都没有发生。\n{vagina}的最后一阵轻柔颤缩消散了，腰腹深处的那一抹温热缓缓平息，成熟的她在这次轻微高潮里保住了大部分的表面平静，但心底里那阵因被自己身体悄悄出卖而升起的羞耻与迷乱，却在很久之后才慢慢散去。
1004,action_part_v_orgasm_small_C,0,group_sex_mode_on&CVP_A2_A|34_LE_4&CVP_A2_T|106_E_1,轻度绝顶的感受从{vagina}深处清晰地升起，细密的颤缩将甜腻而直白的快感传递进来，没有铺天盖地的冲击，却足以让{TargetName}内心清楚地感知到——这就是高潮，轻柔的、可承受的，却真实且无可回避，让她的心头在那一瞬涌起了一阵难以名状的复杂波动。\n{vagina}每一阵收缩都将那种甜腻的感受强调一遍，成熟的感知没有给她留下任何忽视的余地，腰腹深处的温热一阵阵漫散，那种清醒的高潮体验既甜蜜又让她心底生出慌乱——毕竟她知道此刻不是只有她一个人，而{vagina}的颤动正在众人面前悄然进行。\n周围其他人的存在让那一阵轻微的绝顶快感混入了更浓烈的羞耻与窘迫，{vagina}的颤缩在她感知里无比真实，偏偏必须被压制、被遮掩，不能让任何人察觉出丝毫端倪，这种在掌控与失控之间摇摆的感受让成熟的她也不由生出了一阵无法平息的迷乱，下唇被轻轻咬住，垂落的发丝遮住了侧颊，一切都在悄然进行之中。\n等到{vagina}的最后一阵颤缩彻底消散，那一阵轻度绝顶的余韵在心底留下了甜腻的温热，成熟的身体也在轻微的颤动里缓缓回归平静，而那份在众人前轻微高潮所带来的羞耻与慌乱，却在心底留下了深深的印记，久久难以消散。
