cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,first_meet,4027,high_1,我此行不代表梅兰德基金会，也不代表莱茵生命，单纯是霍尔海雅个人想要与罗德岛有进一步的接触......你是要松开我的手？我的自我介绍可还没结束。
2,day_hello,4027,CVP_A3|4027_X_G_0&CVP_A3|4027_X_LE_25&high_5,“早上好，博士。希望今天你不会让我失望。” 她的语气简短而正式，目光中带有些许戒备，显然还不太习惯早上与他问候。
3,day_hello,4027,CVP_A3|4027_X_GE_26&CVP_A3|4027_X_LE_50&high_5,“早上好，博士♡ 今天准备好接受我的挑战了吗？” 她的眼神中带有一丝挑衅，仿佛在暗示今天不会让他轻松度过。
4,day_hello,4027,CVP_A3|4027_X_G_50&CVP_A3|4027_X_LE_75&high_5,霍尔海雅轻轻靠近博士，用尾巴缠绕住他的手臂，带着调皮的笑意\n“早上好，博士♡ 我今天可不打算这么轻易放过你呢。” 她的眼神中透出狡黠的光芒，尾巴缓缓在他手臂上缠绕，仿佛在宣示某种所有权。
5,day_hello,4027,CVP_A3|4027_X_G_75&high_5,{Name}伏在博士的肩上，尾巴轻轻地绕在他的脖子上，脸上带着满足的微笑\n“博士……今天我会像这样紧紧地缠住您♡。” 她的声音低柔而妩媚，尾巴在他的颈间轻轻滑动，仿佛在表达她对他的完全依赖，目光中满是依恋与渴望。
6,follow,4027,CVP_A3|4027_X_G_0&CVP_A3|4027_X_LE_25&sys_0&high_999,{TargetName}保持冷静的步伐，刻意与博士保持几步之远的距离\n“希望你知道自己在做什么，博士。毕竟，我可不会轻易被人牵着走。” 她的目光警惕而冰冷，仿佛时刻准备抽身。
7,follow,4027,CVP_A3|4027_X_GE_26&CVP_A3|4027_X_LE_50&high_999,{TargetName}默默跟随在博士的身后，步伐放慢，脸上带着淡淡的微笑\n“我想，我可以相信你，毕竟你的方向总是这么明确。” 她微微叹息，步伐轻盈，语气中透出更多的信赖。
8,follow,4027,CVP_A3|4027_X_G_50&CVP_A3|4027_X_LE_75&high_999,霍尔海雅轻轻靠近博士，尾巴不自觉地缠上他的手腕，微微笑道\n“你去哪儿，我都会紧紧跟随……你可甩不掉我了，博士♡。” 她的语气中带着轻轻的撒娇，尾巴在他手腕上绕动，仿佛在宣示一种专属的亲密。
9,follow,4027,CVP_A3|4027_X_G_75&high_999,霍尔海雅几乎贴在博士身旁，尾巴紧紧缠住他的手臂，目光中满是柔顺\n“博士……无论您去哪里，我都会寸步不离地跟随您♡。” 她的声音中充满了顺从与依恋，尾巴温柔地缠绕在他手臂上，仿佛是她专属的枷锁。
10,wait,4027,CVP_A3|4027_X_G_0&CVP_A3|4027_X_LE_25&high_5,霍尔海雅站在不远处，双手抱胸，目光冷漠地注视博士\n“快点结束吧，博士，我并不打算浪费太多时间在这里。” 她的语气中没有一丝温情，目光淡漠，保持着明显的距离感。
11,wait,4027,CVP_A3|4027_X_GE_26&CVP_A3|4027_X_LE_50&high_5,{TargetName}倚靠在门框上，嘴角带着一丝坏笑，目光带有戏谑地盯着博士\n“你不会要我一直等你吧？要知道，我可不是那种听话的小宠物。” 她语气中带着一丝挑衅，仿佛想激起博士的反应，眼神中带有调皮的光芒。
12,wait,4027,CVP_A3|4027_X_G_50&CVP_A3|4027_X_LE_75&high_5,{TargetName}轻轻将头靠在博士肩上，尾巴围绕着他的腰，目光中满是温情\n“在你身边，我可以等很久，反而觉得时间不够用呢。” 她的声音轻柔，带着深深的依赖，手轻轻握着他的手臂，仿佛不想离开。
13,chat,4027,CVP_A3|4027_X_G_0&CVP_A3|4027_X_LE_25&high_5,{TargetName}看向博士，语气冷淡\n“如果你有重要的事可以说，但没什么事的话，我不想浪费时间在闲聊上。”\n霍尔海雅显得冷静而不近人情，仿佛对这种聊天毫无兴趣。
14,chat,4027,CVP_A3|4027_X_G_0&CVP_A3|4027_X_LE_25&high_5,{TargetName}站在一旁，不屑地瞥了一眼博士\n“博士，有时候，我真不知道你为什么喜欢和我说这些琐事。”\n她的语气冷漠，透露出一种明显的疏离感。
15,chat,4027,CVP_A3|4027_X_G_0&CVP_A3|4027_X_LE_25&high_5,霍尔海雅略微皱眉，声音中没有任何情绪\n“别指望我会回应太多，你知道我不擅长聊天。”\n依旧是一种不愿深度交流的态度。
16,chat,4027,CVP_A3|4027_X_G_0&CVP_A3|4027_X_LE_25&high_5,“至于那次行动中的那些所谓的‘计划’……只不过是一场自以为是的闹剧。”\n霍尔海雅的语气依然冷漠，对那些经历显得毫无波澜。
17,chat,4027,CVP_A3|4027_X_GE_26&CVP_A3|4027_X_LE_50&high_5,{TargetName}坐在博士对面，脸上带着坏笑，语气轻佻\n“你知道吗？我刚才看到你和那位新人聊得还挺开心，是不是准备把她当成你的新助理？”\n话语中带着故意的挑逗和一丝嫉妒的意味，显然是在试探博士的反应。
18,chat,4027,CVP_A3|4027_X_GE_26&CVP_A3|4027_X_LE_50&high_5,{TargetName}轻轻靠近博士，带着狡黠的笑容\n“博士，你不会以为我会乖乖听话吧？小心哪天我就跑得远远的，让你找不到我。”\n语气中带着调皮的威胁和恶作剧的意味，仿佛她真的随时可能捉弄博士。
19,chat,4027,CVP_A3|4027_X_GE_26&CVP_A3|4027_X_LE_50&high_5,“贾斯汀那家伙可真会装腔作势，他说的那些‘疗养’……恐怕只有傻子才会信。”\n{TargetName}的语气中带有明显的嘲讽，显得对那次行动的参与者毫不客气。
20,chat,4027,CVP_A3|4027_X_GE_26&CVP_A3|4027_X_LE_50&high_5,“你知道吗，那次行动中我可知道不少好玩的事情发生……不过你得先表现好，我才会告诉你哦。”\n{TargetName}的声音中带有挑逗的味道，仿佛在故意激起你的好奇心。
21,chat,4027,CVP_A3|4027_X_G_75&high_5,{TargetName}用尾巴轻轻环绕住博士的手臂，带着轻微的笑意\n“今天的天气真好，不如我们找个地方休息一下吧？毕竟，你也得偶尔放松一下。”\n{TargetName}的声音中带着温柔和关心，尾巴的触感温暖，仿佛在传递着温暖和支持。
22,chat,4027,CVP_A3|4027_X_G_75&high_5,霍尔海雅轻轻走到你的身后，将身子贴上去，胸口紧贴着你的背，低声轻笑\n“今天和你在一起真是让人放松呢，博士……你也该学会偶尔停下来享受一下。”\n{TargetName}的声音中带着些许依恋，身体紧贴着{PlayerName}，传递出温暖而柔软的触感，仿佛不想让{PlayerName}离开。
23,chat_failed,4027,high_10,“或许该学会适可而止，博士。”{TargetName}将尾巴缠在了{PlayerName}的脖子上
24,stroke,4027,CVP_A3|4027_X_G_0&CVP_A3|4027_X_LE_25&high_5,{PlayerName}无意间触碰到霍尔海雅的肩膀，{TargetName}微微侧身，冷冷地瞥了一眼\n“下次小心一点，博士。我不喜欢随便的触碰。”\n她的语气中带有一丝警告，显然并不习惯这样的亲密互动。
25,stroke,4027,CVP_A3|4027_X_G_0&CVP_A3|4027_X_LE_25&high_5,{PlayerName}伸手不小心碰到{TargetName}的手臂，{TargetName}迅速抽回，目光中带有防备\n“还是不要随便碰我为好。”\n{TargetName}的声音冷静而疏远，显得戒备十足。
26,stroke,4027,CVP_A3|4027_X_GE_26&CVP_A3|4027_X_LE_50&high_5,霍尔海雅轻轻靠近博士，坏笑着用手指轻轻戳了戳{PlayerName}的胸口\n“你在躲什么呢？我只是想试试你的反应而已。”\n{TargetName}的声音中带着一丝调皮和挑逗，仿佛故意试探{PlayerName}的反应。
27,stroke,4027,CVP_A3|4027_X_GE_26&CVP_A3|4027_X_LE_50&high_5&sys_1,{Name}轻轻拍了拍博士的肩膀，嘴角带着一抹狡猾的笑意\n“你不会害怕和我有肢体接触吧，博士？放心，我不会咬人的。”\n{Name}的声音中透着恶作剧的味道，仿佛在故意挑逗{PlayerName}的反应。
28,stroke,4027,CVP_A3|4027_X_GE_26&CVP_A3|4027_X_LE_50&high_5,{TargetName}微微靠近博士，用手指滑过{PlayerName}的手背，带着调皮的笑容\n“哎呀，博士，你的反应还挺有趣的呢。看来你并不习惯这样的接触？”\n她的语气中带有明显的调侃，似乎在故意引起{PlayerName}的不安。
29,stroke,4027,CVP_A3|4027_X_G_50&CVP_A3|4027_X_LE_75&high_5,霍尔海雅走到博士身后，双手轻轻搭在{PlayerName}的肩膀上，将柔软的胸口轻轻贴在{PlayerName}的背上，尾巴缠住{PlayerName}的腰间，带着轻柔的笑意\n“博士，这样待在你身后，让我感到格外安心……不过，不要太得意，我随时可能变得更调皮。”\n她的声音温柔中带着一丝调皮，胸口的触感紧贴着{PlayerName}的背，尾巴缓缓滑动，仿佛在无声地挑逗。
30,stroke,4027,CVP_A3|4027_X_G_50&CVP_A3|4027_X_LE_75&high_5,{TargetName}站在博士面前，尾巴绕上他的腰，身体轻轻前倾，胸口微微靠近他，眼中带着温柔的笑意\n“博士，你的反应真是让我感到愉快呢……别担心，我会一直这样守护在你身旁。”\n{TargetName}的声音中带着一丝调皮，尾巴绕在你身上，身体的贴近充满了诱惑，让人难以忽视她的存在。
31,stroke,4027,CVP_A3|4027_X_G_75&high_5,霍尔海雅缓缓走到博士背后，将丰满的胸口紧贴在他的背上，双手环抱住你的肩膀，尾巴缠绕在你的腰上，脸上带着妩媚的微笑\n“博士♡，感受到我的温暖了吗？今天我可是不会放开你的。”\n{TargetName}的声音低柔，带着挑逗的笑意，尾巴慢慢收紧，贴近你的腿，仿佛在无声地宣示着她的占有欲，让博士完全感受到她的存在。
32,stroke,4027,CVP_A3|4027_X_G_75&high_5,霍尔海雅坐在你的对面，穿着黑色丝袜的脚轻轻抬起，搭在你的大腿上，眼中带着挑逗的笑意\n“今天的天气真好，不如我们这样待着不动，看看谁能先忍不住？”\n她的声音低沉而妩媚，脚尖滑动的触感带着微微的挑逗，仿佛想要让你感到她的存在无处不在。
33,massage,4027,CVP_A3|4027_X_G_0&CVP_A3|4027_X_LE_25&high_5,{PlayerName}轻轻按摩{TargetName}的手臂，{TargetName}略微皱眉，勉强接受\n“我可以自己处理，这种小事不必麻烦你。”\n{TargetName}的语气冷淡，显得对这种关心并不感到放松。
34,massage,4027,CVP_A3|4027_X_G_0&CVP_A3|4027_X_LE_25&high_5,博士为霍尔海雅按了按肩膀，她微微侧身，带着些许戒备\n“希望这不会浪费太多时间。”\n语气中带有警惕，显然还没有放下对你的戒心。
35,massage,4027,CVP_A3|4027_X_GE_26&CVP_A3|4027_X_LE_50&high_5,你按压霍尔海雅的肩膀时，她带着调皮的笑意转头看你\n“这样挺不错的嘛，博士。要是手法再好一点，或许我会考虑付小费哦。”\n她的声音中带着戏弄，仿佛在故意挑逗，让你感到不安。
36,massage,4027,CVP_A3|4027_X_GE_26&CVP_A3|4027_X_LE_50&high_5,你轻轻按摩霍尔海雅的腰部，她带着坏笑低声说道\n“哎呀，博士，你竟然这么贴心……不过，别以为这样我就会完全信任你哦。”\n她的语气中透出一丝调皮和试探，仿佛想看你的反应。
37,massage,4027,CVP_A3|4027_X_G_50&CVP_A3|4027_X_LE_75&high_5,你按摩霍尔海雅的肩膀，她笑着轻轻抬头，语气暧昧\n“你这手法，倒是不错……如果表现再好些，我或许会奖励你哦。”\n她的声音中带着挑逗，微微转头，仿佛在给你无声的鼓励。
