cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}将勃起的阴茎贴在{TargetName}武器的表面轻轻摩擦，几下之后便射出精液，白浊液体沿着武器的光滑表面缓缓流淌\n{TargetName}看着自己武器被染上白色液体，表情微微变化，却没有立即擦拭\n{Name}满意地看着自己的杰作，手指轻轻抹过武器表面，将白浊液体涂抹得更加均匀\n空气中弥漫着一股独特的腥膻气息，两人的呼吸都变得有些急促\n
1000,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}握住{TargetName}的武器，将其置于身前，阴茎贴在武器的护手处摩擦，很快便到达高潮\n随着一声低吟，{Name}射出精液，白浊液体沿着武器的护手处流淌，形成一道醒目的痕迹\n{TargetName}看着自己的武器被染上精液，眼神中闪过一丝羞耻与无奈\n{Name}满足地看着自己的成果，手指轻轻拨弄着那片沾满自己体液的区域\n
1001,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}将{TargetName}的武器握在手中，把阴茎放在武器的主体部位摩擦，几下之后便射出精液\n白浊液体沿着武器的纹路缓缓流淌，形成一道道白色的痕迹\n{TargetName}看着武器上的液体，脸上浮现出一丝羞赧，却又不愿直接伸手去擦\n{Name}欣赏着自己的杰作，手指轻轻抹过武器表面，将白浊液体涂抹得更加均匀\n
1002,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}用手固定住{TargetName}的武器，将阴茎插入武器的缝隙或接缝处抽动\n几下摩擦后便释放了出来，精液填满了狭小的空间，从缝隙中溢出\n{TargetName}看着自己的武器被侵犯，不由得微微咬住下唇，表情复杂\n{Name}看着白浊液体从武器缝隙中缓缓流出的样子，满意地点了点头\n
1003,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}让{TargetName}握住自己的武器，将阴茎放在武器的顶端或末端摩擦\n随着一阵快感袭来，{Name}射出精液，白浊液体包裹住武器的一端，缓缓下滑\n{TargetName}感受到武器传来的湿热触感，手指不自觉地紧了紧\n{Name}看着自己的液体沿着武器表面流淌，心中升起一股奇妙的满足感\n
1004,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}将{TargetName}的武器放置于腿间，把阴茎贴在武器的装饰部位摩擦，几下之后便射出精液\n白浊液体沾满了武器精致的装饰，顺着纹路缓缓流淌\n{TargetName}看着武器上的精液，脸上浮现出一丝无奈，却依然保持着沉默\n{Name}满意地看着武器被自己的精液标记，内心满足感油然而生\n
1005,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}用手指轻轻抚摸{TargetName}武器的把手，然后将阴茎抵上去快速摩擦\n几下之后便到达高潮，精液喷射而出，将把手染成湿润的白色\n{TargetName}看着武器被染上白浊，眼神中流露出羞耻与无奈\n{Name}欣赏着自己的杰作，手指轻轻拨弄着那片沾满精液的区域\n
1006,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}将{TargetName}的武器放在身前，对准武器的关节连接处射出精液\n白浊液体渗入精密的连接部位，在金属或材质表面形成一道道痕迹\n{TargetName}看着武器关键部位被弄脏，表情有些复杂但并未出声抗议\n{Name}满意地看着{TargetName}的武器被自己的液体侵占，脸上露出满足的微笑\n
1007,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}双手握住{TargetName}的武器，将其微微抬起，把阴茎贴在武器的握把与护手之间的部位摩擦\n几下抽动后便射出精液，白浊液体沿着武器的纹路缓缓流淌\n{TargetName}看着自己平日紧握的部位被染上白色，脸上浮现出一丝羞耻\n{Name}放下武器，欣赏着自己的精液在武器表面形成的痕迹，心中涌起一股奇妙的满足感\n
1008,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}让{TargetName}保持静止，将阴茎抵在她武器的刃身或主体部分摩擦，几下之后便释放出来\n精液沿着武器的表面缓缓流淌，形成一道道白色的痕迹\n{TargetName}看着武器被染上白浊，表情变得有些复杂\n{Name}欣赏着自己的杰作，满意地点了点头，手指轻轻抹过那片已被精液覆盖的区域\n
1009,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}将{TargetName}的武器置于腿间，对准武器的装饰纹路射出精液\n白浊液体填满了凹陷的纹路，在武器表面形成独特的图案\n{TargetName}看着自己心爱的武器被染上白色液体，不由得微微皱眉\n{Name}满意地看着白浊液体在武器纹路中形成的图案，心中涌起一股奇特的满足感\n
1010,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}握住{TargetName}武器的一端，将阴茎贴在武器的另一端摩擦，几下之后便射出精液\n白浊液体沿着武器的表面缓缓流淌，形成一道醒目的痕迹\n{TargetName}看着武器上的精液，眼神中闪过一丝羞耻\n{Name}满意地看着自己的杰作，手指轻轻抹过武器表面，将白浊液体涂抹得更加均匀\n
1011,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}将{TargetName}的武器放在身边，把阴茎贴在武器的侧面摩擦，很快便到达高潮\n精液喷射而出，在武器的侧面形成一片湿润的区域\n{TargetName}看着自己的武器被染上白浊，表情变得有些复杂\n{Name}看着武器上的精液痕迹，心中升起一股独特的满足感\n
1012,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}让{TargetName}握住自己的武器保持水平，将阴茎放在武器上方摩擦，几下之后便射出精液\n白浊液体从上方落下，沿着武器的表面流淌，留下一道道痕迹\n{TargetName}看着自己手中的武器被玷污，脸上浮现出一丝羞赧\n{Name}看着自己的液体在武器表面形成的图案，脸上露出满足的表情\n
1013,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}将{TargetName}的武器竖起，把阴茎贴在武器的顶端摩擦，几下之后便释放出来\n精液从顶端缓缓下滑，沿着武器的整个表面流淌\n{TargetName}看着武器上的精液如同小溪般流淌，脸上浮现出一丝羞耻\n{Name}看着白浊液体在武器表面形成的痕迹，心中涌起一股奇妙的满足感\n
1014,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}双手握住{TargetName}的武器两端，将阴茎贴在武器的中央部位摩擦，很快便射出精液\n白浊液体沾满了武器的中央，在表面形成一片湿润的区域\n{TargetName}看着武器中央的白浊，表情有些复杂\n{Name}满意地看着自己的杰作，手指轻轻涂抹着那片已被精液覆盖的区域\n
1015,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}将{TargetName}的武器放在大腿上，对准武器的装饰部位射出精液\n白浊液体沾满了精致的装饰，顺着纹路缓缓流淌\n{TargetName}看着武器上的精液，眼神中闪过一丝羞耻与无奈\n{Name}欣赏着自己的精液在武器装饰上形成的图案，内心满足感油然而生\n
1016,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}握住{TargetName}武器的手柄，将阴茎抵在护手处摩擦，几下之后便到达高潮\n精液喷射而出，染满了武器的护手部分，在金属或材质表面形成一片湿润\n{TargetName}看着自己武器的护手被染上白色，脸上浮现出一丝羞赧\n{Name}放下武器，满足地看着自己的精液在武器表面形成的痕迹，心中升起一股奇特的满足感\n
1017,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}让{TargetName}保持静止，将阴茎抵在她武器的接缝处摩擦，几下之后便释放出来\n精液渗入精密的连接部位，从狭小的缝隙中溢出\n{TargetName}看着武器关键部位被弄脏，表情变得有些复杂\n{Name}欣赏着自己的杰作，满意地点了点头，看着白浊液体从武器缝隙中缓缓流出的样子\n
1018,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}将{TargetName}的武器横放，将阴茎沿着武器的长轴摩擦，几下之后便射出精液\n白浊液体在武器表面形成一道长长的痕迹，缓缓流淌\n{TargetName}看着自己的武器被染上一道长长的白色痕迹，不由得轻轻咬住下唇\n{Name}满意地看着自己的杰作，手指轻轻沿着那道痕迹滑动，心中涌起一股征服感\n
1019,p_orgasm_small,0,CVP_A1_ShootPos|C12_E_1,\n{Name}用手指挑起{TargetName}武器的一端，将阴茎抵在武器的重心部位摩擦，几下之后便射出精液\n白浊液体从重心处向四周扩散，在武器表面形成辐射状的痕迹\n{TargetName}看着武器上的精液，脸上浮现出一丝羞耻\n{Name}满意地看着自己的杰作，欣赏着精液在武器表面形成的独特图案\n
1020,p_orgasm_normal,0,CVP_A1_ShootPos|C12_E_1,\n{Name}将{TargetName}的武器放置在身前，对准武器表面射出大量精液，浓稠的白浊液体完全覆盖了武器的一大片区域\n精液顺着武器的表面和纹路流淌，甚至滴落到地面上，形成一小滩\n{TargetName}看着自己的武器被大量精液浸湿，脸上浮现出震惊的表情，眼神中带着一丝难以置信\n{Name}满意地看着{TargetName}的武器被自己的大量液体覆盖，内心满足感油然而生\n
1021,p_orgasm_normal,0,CVP_A1_ShootPos|C12_E_1,\n{Name}双手握住{TargetName}的武器两端，将勃起的阴茎用力贴在武器的中央部位摩擦，很快便到达临界点\n随着一声低吼，{Name}射出大量精液，浓稠的液体完全浸湿了武器的中央部位，甚至顺着边缘滴落\n{TargetName}看着自己的武器被大量精液浸透，不由得睁大眼睛，表情变得有些惊慌\n{Name}看着自己的液体将武器中央浸得透湿，满足地喘着粗气，手指轻轻拨弄着那片已被完全湿润的区域\n
1022,p_orgasm_normal,0,CVP_A1_ShootPos|C12_E_1,\n{Name}将{TargetName}的武器平放，把阴茎伸到武器的关节连接处，在精密结构中摩擦几下后射出大量精液\n浓稠的白浊液体完全填满了连接部位的缝隙，大量溢出并沿着武器表面流淌\n{TargetName}看着武器的关键部位被大量精液浸湿，惊讶地张开嘴，担忧武器的功能性受损\n{Name}欣赏着精液从武器缝隙中溢出并沿着表面流淌的样子，心中升起一股强烈的征服感\n
1023,p_orgasm_normal,0,CVP_A1_ShootPos|C12_E_1,\n{Name}握住{TargetName}武器的一端，将阴茎插入武器的护手与握把之间的空隙中快速抽动\n几下摩擦后便释放了出来，大量精液喷涌而出，完全浸湿了武器的护手和握把部分\n{TargetName}看着自己平日紧握的部位被大量精液浸透，不由得惊讶地张开嘴\n{Name}看着白浊液体从武器的护手处溢出，沿着握把流淌，满意地点了点头\n
1024,p_orgasm_normal,0,CVP_A1_ShootPos|C12_E_1,\n{Name}让{TargetName}握住自己的武器末端，将阴茎放在武器的主体部分快速摩擦\n随着一阵快感袭来，{Name}射出大量精液，浓稠的白浊液体完全覆盖了武器的主体，大量液体顺着表面流淌\n{TargetName}感受到手中的武器被大量湿热液体浸湿，脸上浮现出震惊的表情，不知所措\n{Name}看着自己的液体完全包裹住武器的主体部分，心中升起一股强烈的征服感\n
1025,p_orgasm_normal,0,CVP_A1_ShootPos|C12_E_1,\n{Name}将{TargetName}的武器竖起，对准武器的顶端用力射出大量精液\n浓稠的白浊液体从顶端顺着整个武器表面流淌，形成一道道粘稠的溪流\n{TargetName}看着自己的武器从顶到底都被精液覆盖，不由得瞪大眼睛，表情充满震惊\n{Name}满意地看着精液顺着{TargetName}武器的全长流淌，甚至滴落到地面上的样子\n
