cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_v_orgasm_small_C,0,CVP_A2_T|102_E_1&high_1,一阵轻微而无法忽视的颤栗从{vagina}深处骤然升起，幼小懵懂的{TargetName}根本没有料到这种感觉。\n那股细密的酥麻就像一阵小小的波浪，从深处漫过稚嫩的小腹，漫过幼嫩的腰肢，令她整个人都发起了细细的颤抖，脑子里乱乱的，什么都想不清楚，只是隐隐约约地觉得那里有什么东西在悄悄撑着，带来一种令她迷乱而茫然的奇异滋味。\n{TargetName}的意识在那阵颤动到来的瞬间变得迷糊了一点，稚嫩的心里充斥着从未有过的慌乱与羞涩，小小的心脏怦怦乱跳着。\n{vagina}不由自主地轻轻颤动着，那种感觉说不清好还是不好，只是来得太突然，令幼小的她根本没有时间反应，身体就已经开始自己颤抖了，令她既惊慌又不知所措，只能懵懵懂懂地任由那种感觉蔓延着。\n那阵令人迷乱的颤动慢慢平息了，{TargetName}却一时间还没有完全回过神来，脸颊不知不觉地变得红扑扑的，整颗心还在扑通扑通地跳着，心里装满了搞不明白的迷茫和说不清楚的羞涩，不知道自己的身体为什么会有这种奇怪的反应，只是懵懂地感受着那阵颤动留下的余温，慢慢地消散在幼小的身体里。
1001,action_part_v_orgasm_small_C,0,CVP_A2_T|103_E_1&high_1,一股细腻的酥麻感骤然从{vagina}深处泛出来，令{TargetName}猝不及防地轻轻颤了一下，{vagina}不由自主地轻轻收缩了几下。\n那种细密而带着甜腻的感觉从深处向外扩散开来，漫过小腹，漫过腰肢，让整个娇小的身体都细细地颤动着，{TargetName}的心跳骤然加快，脑子里有一瞬间的空白，完全不知道该如何应对。\n{TargetName}隐约明白这是什么感觉，偏偏这种明白让她更加脸红，颊边的绯红不受控制地蔓延开来。\n{vagina}的轻微颤动令她有些失措，那种酥软的感觉虽然轻浅，却令她的意识短暂地迷离了一下，娇小的心脏急速地跳动着，既羞涩又懵懂，那种说不清楚的甜腻感令她不知道该把眼神放哪里，只好慌慌张张地低下了头。\n那阵轻浅的颤动慢慢平息了，{TargetName}的脸颊还是热乎乎的，心里装满了说不清道不明的羞涩，明明已经隐约知道这是什么感觉，可真正发生在自己身上的时候，还是忍不住觉得慌乱和茫然。\n{vagina}残留着一丝细微的余颤，带着让她说不出口的甜腻滋味，令{TargetName}心里久久不能平静下来。
1002,action_part_v_orgasm_small_C,0,CVP_A2_T|104_E_1&high_1,一阵细腻而甜腻的快感骤然从{vagina}深处涌了出来。\n{TargetName}的心头猛地一跳，那股令她头皮轻轻发麻的酥痒感从{vagina}扩散到整个下腹，漫过细腰，漫过柔嫩的腿根，让她的双腿无意识地轻轻夹紧了一点，脑子里蓦地变得空荡荡的，什么都想不清楚了，只剩下那股细细的颤动在身体里一波一波地荡漾着，令她的意识短暂地散乱了一下。\n{TargetName}当然知道这是什么感觉，正是因为知道，她的脸颊才会在那一瞬间染上浓烈的红晕，那种熟悉的酥软颤意虽然轻浅，却偏偏无法压制。\n{vagina}一下一下轻轻地收缩着，既令她想把这种感觉深藏心底，又忍不住被那股细腻的快感带着走，心脏急速地跳着，那股既羞涩又难以启齿的甜腻在心里横冲直撞，令{TargetName}暗暗咬了咬下唇，却还是无法阻止身体细细地颤动着。\n那阵轻浅的绝顶慢慢退去，{TargetName}的脸颊还是滚烫的，意识一点点重新清晰起来，心里装满了说不清楚的甜蜜与窘迫。\n{vagina}残留的细腻余颤带着一丝难以言说的满足感，令她心里久久无法平静，那阵甜腻的余味在少女的身体里悄悄消散，却在心里留下了一片迷乱与惬意，令她久久缓不过神来。
1003,action_part_v_orgasm_small_C,0,CVP_A2_T|105_E_1&high_1,一阵细腻而绵密的快感骤然从{vagina}深处漫出来，令{TargetName}的身体轻轻一颤，她本能地想要压制住那股忽然涌上来的酥麻感，却发现根本无能为力。\n{vagina}不受控制地轻轻收缩了几下，那种细腻的颤意从深处一波一波地向外扩散，漫过腰肢，漫过绷紧的小腹，令整个身体都细细地颤动起来。\n{TargetName}的意识在那一刹那短暂地散乱了，脑子里忽然乱了阵脚，什么都顾不上想了。\n{TargetName}自认为已有些许心理准备，可那种细腻的快感还是令她猝不及防，颊边的绯红在顷刻间蔓延开来。\n{vagina}轻微而无法停止的收缩令她的呼吸微微乱了节奏，那股说不清楚的甜腻从深处漫过来，带着令她既甜蜜又窘迫的触感，令{TargetName}暗暗咬了咬下唇，想要稳住自己，却发现手指已经不自觉地轻轻攥紧了，整颗心都被那股无法压制的快感搅得七零八落，哪里还能维持什么从容的姿态。\n那阵轻浅的绝顶慢慢退去，{TargetName}的脸颊还是微微发烫，那种残留在{vagina}处的细微余颤带着一丝令她难以启齿的满足感，令她既想装作若无其事，又实在无法平复心里涌动着的甜蜜与慌乱。\n那股甜腻的余韵在身体里悄悄消散，却在心里留下了久久无法散去的迷乱与羞涩。
1004,action_part_v_orgasm_small_C,0,CVP_A2_T|106_E_1&high_1,一阵从未预料到的甜麻感骤然从{vagina}深处涌出，{TargetName}的身体轻轻颤了一下，那股细腻而绵密的快感夹带着令她措手不及的甜腻。\n从{vagina}处向外一圈圈地漫开，渗进绷紧的小腹，令腰肢也跟着微微一颤，{TargetName}的心跳在那一刻骤然乱了节奏，意识虽然还算清醒，脑子里却已经涌起了一片细碎的甜麻，令她向来沉稳的神态在那一瞬间悄然乱了。\n理论上，她早已了解这是什么感觉，可当{vagina}真实而鲜明的轻柔颤动来临时，那种惊讶与羞涩还是不受控制地在心底涌上来，丰腴的腰身轻轻弓起一分，双腿下意识地收拢，脸颊上浮现出一抹细腻的红晕。\n{TargetName}咬了咬下唇，想要稳住神，却发现那种甜腻的颤意根本无法压制，只能任由那阵轻浅的快感在体内细细地漫开，带着叫她心跳加速的迷乱与甜蜜。\n等那阵轻度的绝顶渐渐退散，{TargetName}的心里装满了说不出口的复杂情绪，那种甜腻而余韵不散的满足感令她既惬意又渴望。\n{vagina}处细微的颤意还未完全平息，每一下轻微的收缩都在提醒着她方才那阵轻浅峰值带来的甜蜜，令她成熟的心底悄悄燃起了更浓烈的渴望，不愿意就这样止步于此。
