cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,breast_sucking,0,high_1,{Name}舔吸着{TargetName}的乳头，舌头在上面打着圈，让{TargetName}体会到一阵阵的快感
1,breast_sucking,0,high_1,{Name}灵活的舌头拨弄着{TargetName}被吸吮着的乳头，轻微的负压令{TargetName}的乳头无处可逃，只得不断感受着不断叠加的快感。
2,breast_sucking,0,high_1,{Name}缓慢地用坚硬的牙齿碾轧着{TargetName}娇嫩的乳头，痛楚和快感交织着，在{TargetName}的脑内交织着，呈现出了不一样的快乐。
3,breast_sucking,0,high_1,{Name}有节奏地吸吮着{TargetName}挺立的乳头，周期性的快感堆叠起来，冲击着{TargetName}的思维。
4,breast_sucking,0,high_1,{Name}的嘴唇覆盖着{TargetName}的乳晕，反复使用舌尖挑逗着{TargetName}的乳头。
1000,breast_sucking,0,CVP_A2_T|102_E_1,{Name}小心翼翼地舔舐着{TargetName}尚未发育的乳头，幼小的{TargetName}对这陌生的感觉感到好奇又困惑，稚嫩的身体不由自主地微微颤抖。\n{Name}的舌尖轻轻打着圈，给予着最温柔的照顾。
1001,breast_sucking,0,CVP_A2_T|102_E_1,{Name}含住{TargetName}小小的乳尖，轻柔地吮吸着，幼女娇小的身体因这从未体验过的刺激而轻轻战栗，懵懂的眼神中充满了不解与新奇。\n{Name}的手轻抚着她的背部，安抚着她的紧张。
1002,breast_sucking,0,CVP_A2_T|102_E_1,{Name}用舌尖轻轻挑逗着{TargetName}稚嫩的乳尖，幼小的身体与成人形成鲜明对比。\n{TargetName}不明白自己为何会感到奇怪的舒适，只是本能地微微挺起胸膛，迎合着{Name}的动作。
1003,breast_sucking,0,CVP_A2_T|102_E_1,{Name}温柔地吮吸着{TargetName}平坦胸部上的小小乳头，幼女因这陌生的感觉而困惑地皱起眉头。\n{Name}的手轻抚着她的脸颊，安慰着她继续体验这新奇的感受。
1004,breast_sucking,0,CVP_A2_T|102_E_1,{Name}小心翼翼地以唇舌包裹住{TargetName}幼嫩的乳尖，轻柔地吸吮着。\n{TargetName}好奇地看着{Name}的动作，稚嫩的身体因这从未有过的刺激而微微发抖，小手不知所措地抓着{Name}的衣服。
1005,breast_sucking,0,CVP_A2_T|102_E_1,{Name}轻轻用舌尖拨弄着{TargetName}娇小的乳尖，幼女的身体对这刺激异常敏感，每一次触碰都引起她全身的颤抖。\n{TargetName}不明白这种感觉，但却本能地享受着这种关爱。
1006,breast_sucking,0,CVP_A2_T|102_E_1,{Name}轻柔地吮吸着{TargetName}幼小的乳头，舌头小心地舔舐着周围的皮肤。\n{TargetName}因这陌生的感觉而困惑不解，但身体却诚实地对这温柔的刺激做出反应，稚嫩的小手无意识地抓紧了{Name}的头发。
1007,breast_sucking,0,CVP_A2_T|102_E_1,{Name}温柔地用嘴唇包裹住{TargetName}尚未发育的小小乳尖，轻轻吸吮着。\n幼小的{TargetName}对这种感觉既好奇又害怕，眼中满是懵懂，身体却不由自主地微微挺起，迎合着{Name}的动作。
1008,breast_sucking,0,CVP_A2_T|102_E_1,{Name}的舌尖轻轻在{TargetName}稚嫩的乳头上打转，幼女纤小的身体因这刺激而微微颤抖。\n{TargetName}不明白自己为何会有这样的反应，只是本能地感受着这份异样的温柔。
1009,breast_sucking,0,CVP_A2_T|102_E_1,{Name}极其轻柔地吮吸着{TargetName}娇小的乳尖，幼女的身体对这刺激格外敏感。\n{TargetName}眼中闪烁着好奇与不解，小手紧紧抓着{Name}的衣服，既想逃离这陌生的感觉，又被这奇妙的体验所吸引。

1010,breast_sucking,0,CVP_A2_T|103_E_1,{Name}含住{TargetName}初显发育的乳头，舌尖灵活地挑逗着敏感的尖端。\n萝莉青涩的身体因这刺激而微微发抖，既害怕又好奇的眼神中透露出对这全新体验的矛盾心情。
1011,breast_sucking,0,CVP_A2_T|103_E_1,{Name}轻轻吮吸着{TargetName}刚刚发育的乳尖，萝莉娇小的胸部因这刺激而变得更加敏感。\n{TargetName}咬着下唇，努力克制着自己的声音，脸上却不由自主地浮现出一抹潮红。
1012,breast_sucking,0,CVP_A2_T|103_E_1,{Name}用舌头绕着{TargetName}稚嫩的乳晕打转，时而轻轻吸吮着微微隆起的乳尖。\n初次体验这种感觉的萝莉既紧张又好奇，身体因快感而轻轻战栗，却又不由自主地向前倾，迎合着{Name}的动作。
1013,breast_sucking,0,CVP_A2_T|103_E_1,{Name}温柔地舔弄着{TargetName}刚刚发育的乳头，轻轻地用牙齿刮擦着敏感的尖端。\n萝莉因这从未有过的刺激而发出小小的惊呼，青涩的身体不知如何应对这陌生的快感，只能本能地颤抖着。
1014,breast_sucking,0,CVP_A2_T|103_E_1,{Name}小心地含住{TargetName}娇小的乳头，轻柔地吮吸着，舌尖富有技巧地在敏感点上打着圈。\n初次体验这种感觉的萝莉紧张地抓着{Name}的肩膀，身体因快感而微微发抖，眼中既有害怕又有隐隐的期待。
1015,breast_sucking,0,CVP_A2_T|103_E_1,{Name}用舌尖挑逗着{TargetName}初显发育的乳尖，偶尔轻轻吸吮，引发一阵阵颤栗。\n萝莉对这陌生的感觉既好奇又害羞，纤细的手指紧紧抓着{Name}的衣服，脸上浮现出困惑又享受的表情。
1016,breast_sucking,0,CVP_A2_T|103_E_1,{Name}轻柔地吮吸着{TargetName}敏感的乳头，舌头在周围的皮肤上打着圈，给予全面的刺激。\n青涩的萝莉因这种从未体验过的感觉而全身发软，一边紧张地咬着嘴唇，一边又不由自主地挺起胸膛迎合。
1017,breast_sucking,0,CVP_A2_T|103_E_1,{Name}细致地品尝着{TargetName}娇嫩的乳尖，时而用舌尖轻弹，时而温柔地吸吮。\n初尝情事的萝莉不知如何表达这陌生的快感，只能用颤抖的双手抱住{Name}的头，既想推开又舍不得这奇妙的感受。
1018,breast_sucking,0,CVP_A2_T|103_E_1,{Name}富有节奏地舔舐着{TargetName}敏感的乳头，轻轻地用牙齿轻咬，带来一阵阵酥麻。\n萝莉因这刺激而轻轻颤抖，青涩的身体对这全新的体验极为敏感，每一次触碰都引发她无法控制的战栗。
1019,breast_sucking,0,CVP_A2_T|103_E_1,{Name}温柔地含住{TargetName}稚嫩的乳尖，轻柔而有力地吮吸着，舌尖不时挑逗敏感点。\n萝莉的身体因这陌生的刺激而紧绷，既想逃离这过于强烈的感受，又被这奇妙的快感所吸引，矛盾的心情写在懵懂的脸上。

1020,breast_sucking,0,CVP_A2_T|104_E_1,{Name}熟练地含住{TargetName}挺立的乳头，舌尖灵活地在敏感的尖端打转，引发一阵阵快感。\n青春洋溢的少女因这刺激而轻轻颤抖，羞涩地咬着下唇，却又忍不住挺起胸膛迎合。
1021,breast_sucking,0,CVP_A2_T|104_E_1,{Name}温柔地吮吸着{TargetName}敏感的乳尖，时而用舌头轻舔，时而用牙齿轻咬，带来不同层次的刺激。\n少女的身体因快感而微微战栗，既紧张又期待的眼神透露出她对性事既向往又害羞的矛盾心理。
1022,breast_sucking,0,CVP_A2_T|104_E_1,{Name}富有技巧地品尝着{TargetName}饱满的乳头，舌尖在乳晕周围打着圈，偶尔轻咬敏感的尖端。\n年轻的少女对这刺激既熟悉又陌生，身体诚实地做出反应，微微挺起的腰肢和急促的呼吸展现出她对快感的渴望。
1023,breast_sucking,0,CVP_A2_T|104_E_1,{Name}热情地吸吮着{TargetName}丰满的乳头，舌头富有节奏地挑逗着最敏感的部位。\n少女因这熟悉的快感而轻声呻吟，青春期的身体对性刺激异常敏感，每一次触碰都能引发全身的电流般的快感。
1024,breast_sucking,0,CVP_A2_T|104_E_1,{Name}用唇舌细致地照顾着{TargetName}挺立的乳尖，时而轻柔，时而有力，带来层次分明的刺激。\n正值青春的少女羞涩又大胆地享受着这份快感，身体随着{Name}的动作而微微颤抖，呼吸也变得急促而火热。
1025,breast_sucking,0,CVP_A2_T|104_E_1,{Name}轻轻咬住{TargetName}敏感的乳头，同时用舌尖快速拨弄，引发一阵强烈的快感。\n少女因这刺激而弓起背，既羞涩又大胆地迎合着，青春期的身体对这种感官刺激格外敏感，每一次触碰都让她全身颤抖。
1026,breast_sucking,0,CVP_A2_T|104_E_1,{Name}有力地吮吸着{TargetName}饱满的乳尖，舌头不断在敏感点上来回滑动，带来持续的快感。\n年轻的少女因这熟悉又陌生的感觉而紧紧抓住{Name}的肩膀，身体随着吸吮的节奏微微摇摆，既享受着这份刺激，又害羞于自己的反应。
1027,breast_sucking,0,CVP_A2_T|104_E_1,{Name}富有经验地挑逗着{TargetName}敏感的乳头，时而用舌尖轻弹，时而整个含住用力吸吮。\n青春期的少女对这样的刺激既期待又害羞，身体却诚实地做出反应，腰肢不由自主地扭动，呼吸越发急促。
1028,breast_sucking,0,CVP_A2_T|104_E_1,{Name}用舌尖细致地描绘着{TargetName}乳晕的轮廓，然后突然含住整个乳头用力吸吮。\n少女因这突如其来的强烈刺激而轻呼出声，身体瞬间绷紧，又在持续的快感中慢慢放松，完全沉浸在这奇妙的感受中。
1029,breast_sucking,0,CVP_A2_T|104_E_1,{Name}交替地照顾着{TargetName}两边的乳头，当一边被温暖的口腔包裹时，另一边则暴露在空气中，形成鲜明的感官对比。\n正值青春的少女对这样的刺激异常敏感，身体随着{Name}的动作起伏，既害羞于自己的反应，又期待着更多的快感。

1030,breast_sucking,0,CVP_A2_T|105_E_1,{Name}熟练地含住{TargetName}丰满的乳头，舌尖富有技巧地挑逗着敏感点，引发阵阵快感。\n大姐姐的身体因刺激而微微颤抖，脸上浮现出既成熟又略带青涩的表情，展现出她特有的魅力。
1031,breast_sucking,0,CVP_A2_T|105_E_1,{Name}温柔而有力地吸吮着{TargetName}挺立的乳尖，舌头灵活地在周围打着圈，不时用牙齿轻咬带来些许刺痛与快感。\n略有经验的{TargetName}享受着这熟悉的感觉，却又因{Name}独特的节奏而显出一丝羞涩，成熟与青涩并存的反应格外诱人。
1032,breast_sucking,0,CVP_A2_T|105_E_1,{Name}细致地品尝着{TargetName}饱满的乳头，舌尖在敏感的尖端来回滑动，时而用力吸吮，带来强烈的刺激。\n大姐姐熟练地配合着{Name}的动作，却又在特别敏感时流露出羞涩的表情，这种反差让她的每一个反应都充满魅力。
1033,breast_sucking,0,CVP_A2_T|105_E_1,{Name}用唇舌热情地照顾着{TargetName}敏感的乳尖，富有节奏地轮流舔弄、吸吮和轻咬，带来层次分明的快感。\n{TargetName}因这刺激而轻声呻吟，身体随着{Name}的动作微微摇摆，展现出既有经验又保留一丝羞怯的诱人姿态。
1034,breast_sucking,0,CVP_A2_T|105_E_1,{Name}大胆地吸吮着{TargetName}丰满的乳头，舌头不断地在敏感点上挑逗，偶尔用牙齿轻咬带来一丝疼痛与快感的混合。\n大姐姐对这样的刺激既熟悉又期待，身体随着{Name}的节奏起伏，脸上却时不时流露出青涩的表情，这种反差格外迷人。
1035,breast_sucking,0,CVP_A2_T|105_E_1,{Name}专注地吮吸着{TargetName}挺立的乳尖，舌尖灵活地在周围的皮肤上打转，精准地刺激着每一个敏感点。\n{TargetName}熟练地配合着这样的动作，却又在某些特别强烈的刺激下显出一丝腼腆，成熟与青涩的完美结合让她的反应格外动人。
