cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,first_a_sex,0,dr_position_normal&high_1&CVP_A1_T|107_E_1&CVP_A1_G_E_0,{PlayerName}将已为人妻的{Name}仰躺着按在身下，轻柔却坚定地分开她丰腴的双腿，露出那从未被侵犯过的菊穴。\n{Name}的眼中闪烁着复杂的神色，既有对这陌生关系的困惑与不安，又有身为人妻却要被另一个男人开拓禁地的羞耻与背德感。\n{PlayerName}的手指沾着润滑，在那紧闭的后穴入口轻轻打转，试探着那处从未被触碰的禁区，感受着括约肌的紧致与抗拒。\n{Name}的身体因这陌生的触感而微微颤抖，她想起自己的丈夫从未碰过这个地方，而如今却要被一个几乎不认识的男人夺走这份贞洁，内心充满了矛盾与自我质疑。\n当{PlayerName}粗壮的龟头抵上那紧皱的肛门时，{Name}的呼吸骤然急促，成熟的身躯因紧张而绷紧，双手无意识地抓紧了身下的表面。\n{PlayerName}缓缓施力，龟头艰难地挤开那从未被开拓过的后穴入口，感受到那里紧致得几乎无法进入的阻力。\n{Name}发出一声压抑的闷哼，她成熟的面庞因强烈的异物感而扭曲，眼角泛起了泪光，身为人妻的她无法理解自己为何会与一个陌生人发生这样背德的行为。\n{PlayerName}继续深入，粗大的阴茎一寸寸撑开那从未被使用过的肠道，每前进一分都能感受到内壁的痉挛与紧缩。\n{Name}的腰肢因疼痛与异物感而不自觉地扭动，双腿想要并拢却被{PlayerName}的身体阻挡，只能无力地攀附在他的腰侧。\n当整根阴茎终于完全没入那紧致的后穴时，{Name}的身体剧烈颤抖，她的菊穴被撑开到了极限，感受着那根粗大肉棒在体内的存在感，一种从未体验过的充盈感让她既痛苦又迷惘，不明白自己作为有夫之妇，为何要在与陌生人的背德行为中失去最后一处贞洁。
1001,first_a_sex,0,dr_position_normal&high_1&CVP_A1_T|107_E_1&CVP_A1_G_E_0,{PlayerName}让已婚的{Name}平躺在身下，她成熟丰满的身躯微微发颤，眼神中透着身为人妻却即将被陌生男人侵犯后穴的羞耻与迷茫。\n{PlayerName}抬起{Name}柔软的双腿，将她的膝盖压向胸前，让那从未被触碰过的粉嫩菊穴完全暴露在眼前。\n{Name}的脸颊泛起潮红，她想起结婚多年丈夫从未索求过这个地方，而今却要将这处贞洁献给一个几乎不认识的人，内心充满了背德的刺激与深深的困惑。\n{PlayerName}用手指在那紧闭的肛门周围画着圈，感受着括约肌的收缩与排斥，然后沾上润滑慢慢将指尖探入，为即将到来的侵犯做着准备。\n{Name}咬着下唇发出细微的呻吟，她成熟的身体因这陌生的刺激而微微痉挛，眼中闪烁着复杂的情绪，既有生理上的不适，又有心理上对这段陌生关系的质疑。\n当{PlayerName}将勃起的阴茎对准那个紧皱的入口时，{Name}的身体明显僵硬了一瞬，她知道自己即将在背叛丈夫的罪恶中失去最后的贞洁。\n{PlayerName}腰部缓缓用力，龟头艰难地挤入那从未被开拓过的后穴，感受着肠壁被强行撑开的紧致与阻力。\n{Name}发出一声压抑的呜咽，成熟的面庞因剧烈的异物感而变形，双手无力地推拒着{PlayerName}的胸膛，却无法阻止那根粗大肉棒继续深入。\n{PlayerName}一寸寸挺进，将阴茎完全埋入{Name}紧窄的后穴深处，那里紧紧包裹着入侵的肉棒，带来与阴道截然不同的快感。\n{Name}的身体随着这根粗大阴茎的进入而不断颤抖，她成熟的曲线在{PlayerName}身下微微起伏，眼中泪光闪烁，既有疼痛的泪水，也有对自己作为人妻却与陌生人发生如此淫靡行为的迷惘与自责，不明白自己是如何走到这一步的。

1002,first_a_sex,0,dr_position_back&CVP_A1_T|107_E_1&high_1&CVP_A1_G_E_0,{PlayerName}让已为人妻的{Name}以跪趴的姿势伏在身前，她成熟丰腴的臀部高高抬起，曲线柔美的腰肢微微颤抖。\n尽管身份是他人之妻，{Name}此刻却顺从地将自己最隐秘的部位暴露在这个几乎还算陌生的男人面前，内心充满了对这种背德关系的困惑与不安。\n{PlayerName}的双手揉捏着她饱满的臀肉，然后分开两瓣，露出那紧闭的后穴入口，那里从未被侵犯过，褶皱紧致地收缩着。\n当{PlayerName}将硬挺的龟头抵在那个从未被开发的禁地时，{Name}的身体不自觉地绷紧，她不明白自己为何会与这个陌生人发展到这一步，更不明白为何要献出连丈夫都未曾触碰过的地方。\n{PlayerName}缓慢而坚定地向前推进，龟头挤压着那圈紧致的括约肌，强行撑开那道狭窄的入口。\n{Name}发出一声压抑的呜咽，成熟的身躯因异物入侵后穴而剧烈战栗，她的手指用力抓挠着身下的表面，指节因为用力而泛白。\n{PlayerName}感受到那处从未被使用过的甬道正在被自己一寸寸撑开，紧致的肠壁层层包裹着他的阴茎，带来与阴道完全不同的刺激。\n{Name}垂下头颅，眼眶中盈满了生理性的泪水，作为人妻的她无法理解自己为何会在这种陌生的关系中，将最后的禁区也交给这个男人。\n{PlayerName}的阴茎继续向深处挺进，每一寸的推进都让{Name}感受到强烈的异物感和被贯穿的充盈，她的腰肢不自觉地向下塌陷，臀部却被{PlayerName}的双手牢牢固定。\n随着整根阴茎完全没入她的后穴深处，{Name}的小腹因内部被撑开而微微鼓起，背德的快感开始从被侵犯的穴道深处蔓延开来。\n她的身体在痛苦与陌生的快感中颤抖，内心充斥着对这段不伦关系的困惑，以及背叛丈夫和婚姻的强烈愧疚，却又无法否认那从后穴传来的、不同于以往的诡异快感。
1003,first_a_sex,0,dr_position_back&CVP_A1_T|107_E_1&high_1&CVP_A1_G_E_0,{Name}以跪伏的姿态将成熟的身体呈现在{PlayerName}面前，她浑圆的臀部高高翘起，腰肢因紧张而微微发抖。\n作为已婚的人妻，她不知为何会与这个并不熟悉的博士走到这一步，心中满是对自己行为的质疑与迷茫。\n{PlayerName}俯视着她饱满的臀瓣之间那个紧紧闭合的菊穴，那是连她的丈夫都从未染指过的处子之地，褐色的穴口紧张地收缩着。\n当{PlayerName}将自己硬热的阴茎顶在那个紧闭的入口时，{Name}的全身都僵硬了，她能感受到那根滚烫的肉棒正抵着她最隐秘的后门。\n{PlayerName}双手揽住她丰腴的腰肢，开始缓慢但不可阻挡地向前施压，龟头一点一点地撑开那圈紧致到极点的括约肌。\n{Name}发出一声低沉的呻吟，她成熟的身体因后穴被破开的异物感而不住颤栗，双臂几乎支撑不住自己，整个上半身都在轻微地摇晃。\n{PlayerName}能感觉到她的后穴正在被自己的阴茎强行打开，那从未被使用过的肠道内壁紧紧吸附着他的性器，带来令人沉醉的紧致感。\n{Name}咬紧下唇，泪水从眼角滑落，她无法理解自己为何会在与这个陌生男人的关系中，将这最后的禁忌之地也献出，背叛婚姻的愧疚与被侵犯的羞耻交织在心头。\n{PlayerName}的阴茎持续向她的体内深入，那粗壮的柱身一寸寸没入紧窄的后穴，{Name}的臀肉因这深入的侵犯而微微颤动，她的腰身不由自主地向下凹陷。\n当{PlayerName}的整根性器完全埋入她的后穴深处时，{Name}感受到一种前所未有的被填满的充盈感，小腹微微隆起，勾勒出阴茎在体内的轮廓。\n一种不同于阴道交合的诡异快感从被撑开的菊穴深处涌起，让这个已为人妻的女人在困惑与羞耻中，隐约感受到了背德行为带来的禁忌刺激与陌生的欢愉。


1004,first_a_sex,0,dr_position_back_lie&high_1&CVP_A1_T|107_E_1&CVP_A1_G_E_0,{PlayerName}从身后环抱着侧卧的{Name}，一只手臂垫在她的颈下，另一只手则沿着她成熟的曲线缓缓下滑。\n作为人妻的{Name}紧咬下唇，身体微微颤抖着，明知道这是背叛婚姻的禁忌行为，却无法抗拒博士带来的刺激感。\n{PlayerName}的手指拨开她丰腴的臀瓣，露出那个从未被侵犯过的紧闭菊穴，指尖轻轻试探着那处禁忌的入口。\n{Name}的呼吸变得急促而紊乱，她能感受到博士炙热的欲望正抵在自己的后穴上，羞耻感与背德的兴奋交织在一起。\n“这是……不应该的……”人妻的内心充满挣扎，她有丈夫，有家庭，却即将把最后的贞洁献给一个不该有亲密关系的人。\n{PlayerName}的龟头缓缓压上那个紧闭的肉环，{Name}本能地收紧了臀部，但侧卧的姿势让她无处可逃。\n博士的手臂从后方牢牢环住她的腰身，开始稳定而坚决地向前推进，龟头的顶端挤入了那个从未被开发的甬道。\n{Name}发出一声压抑的闷哼，肛口被撑开的瞬间传来强烈的异物感，括约肌本能地收缩却无法阻止入侵。\n疼痛从后穴传遍全身，{Name}的手指紧紧抓住身下的织物，指节因用力而泛白，作为人妻却把后穴处女献给了别人的事实让她既羞耻又兴奋。\n{PlayerName}没有急于深入，而是让龟头停留在入口处，让{Name}的菊穴慢慢适应被撑开的感觉，同时亲吻着她敏感的耳后。\n当括约肌的阻力稍微减弱，博士便继续向前推进，粗壮的阴茎一寸寸没入那个从未被使用过的紧致甬道。\n{Name}能清晰地感受到博士的形状在自己的肠道里开拓着新的领地，这种被填满的充盈感与阴道被进入完全不同。\n作为人妻，她从未想过会有这样的一天，在丈夫不知道的地方，把自己最后的处女献给了这个男人。\n{PlayerName}的阴茎已经没入大半，{Name}的身体因为强烈的异物感而轻微痉挛，但混杂其中的快感也让她难以自持。\n博士的呼吸喷洒在她的颈后，双手紧紧环抱着她成熟的身躯，最后一记深入，整根阴茎完全埋入了她的菊穴深处。\n{Name}发出一声长长的喟叹，后穴被完全填满的感觉让她的大脑一片空白，背德的刺激让这份禁忌的快感更加强烈。\n她的内壁紧紧包裹着入侵者，这个曾属于她丈夫都未曾涉足的地方，如今却被博士彻底占有，这个认知让人妻的羞耻心与快感同时达到了顶点。
