cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,


1000,action_part_c_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,发育未全的{TargetName}小小身子毫无预兆地弓成一张满弓，{clitoris}胀硬挺立到发痛，从稚嫩的缝隙间彻底暴露出来，根部一下接一下地疯狂搏动痉挛。\n这次绝顶远比以往任何一次都要猛烈，那点被开发到极致的敏感处像被高压电流反复贯穿，锐利的快感集中炸开，几乎将她幼小的意识冲得粉碎。\n懵懂无知的她根本不懂身体为何这样疯狂颤栗，只能睁大茫然的眼睛任凭陌生的洪流将自己吞没，稚嫩的下腹深处剧烈抽搐，大量爱液从尚未成熟的阴部汩汩涌出。
1001,action_part_c_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,青涩稚嫩的{TargetName}猛地绷直了单薄的脊背，{clitoris}充血膨大到极限，从幼嫩的皮肉间高高挺出，根部连续不受控地剧烈跳动。\n那一小点被磨得敏感到近乎痛楚，锐利的刺激如针尖般集中扎进神经，强度远远盖过了之前的每一次高潮，稚气未脱的意识在这股洪流里几乎被冲得一片空白。\n她根本不明白这陌生而凶猛的感觉意味着什么，只能瞪圆了慌乱的眼睛，任由幼小身体失控颤栗，稚嫩阴部涌出的爱液甚至夹着一小股潮吹喷溅而出。
1002,action_part_c_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,{TargetName}尚未长开的娇小身躯剧烈痉挛起来，{clitoris}肿胀挺立、通体泛红地暴露在空气里，根部一波接一波地深深搏动。\n这次强烈的绝顶像利刃一样锐利，将那一点敏感处的快感放大到几乎难以承受的地步，稚嫩的下腹深处连续抽搐，纤细的双腿失控地痉挛夹紧又乱蹬。\n完全不懂性事的她连自己为何会这般失神都想不明白，更不知道这剧烈的反应正发生在她已能孕育生命的身体上，只能懵懵懂懂地任由这股洪流将她卷走。
1003,action_part_c_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,发育尚浅的{TargetName}整个人猛然弓起又瘫软，{clitoris}胀硬到发痛地挺立着，从稚嫩的褶皱间彻底翻露出来，根部剧烈而密集地颤搏。\n敏感度攀上新台阶后的这次绝顶锋利得近乎灼痛，集中在那一点上的快感瞬间烧穿了她幼小的神经，令她失神地颤栗着，稚气的脸蛋涨得通红。\n她对这陌生的极致快感一无所知，茫然又惊慌地承受着身体的疯狂反应，大量爱液顺着尚未成熟的缝隙汹涌流淌。
1004,action_part_c_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,{TargetName}稚嫩单薄的身子骤然剧烈战栗，{clitoris}充血挺硬、完全暴露地高高翘立，根部一下下失控地深深搏动跳弹。\n这远超普通绝顶的强烈冲击将那一小点敏感处的快感推到极限，锐利得如同电流反复劈进脊髓，稚气未脱的意识几乎被彻底冲垮，下腹深处剧烈抽搐。\n什么都不懂的她被这从未体验过的凶猛快感吓得手足无措，只能懵懂地睁大泪眼任凭幼嫩身体疯狂颤抖，阴部涌出的爱液浸湿了一大片。

1005,action_part_c_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,连续绝顶太多次后的{clitoris}早已敏感得过了头，懂得性知识却仍未成年的{TargetName}明知这灭顶快感意味着什么，依旧压不住好奇，任那一小点被推上全新的顶端。\n{clitoris}胀硬挺立到发痛，根部一下下疯狂搏动痉挛，下腹深处剧烈抽搐，稚嫩的腰肢深深弓起，两条细腿失控地绷直乱颤。\n远比寻常绝顶凶狠的锐利快感如利刃钉进那一点，年轻的身子在陌生强度里失神颤栗，阴部爱液汹涌涌出，把嫩白的腿根浇得湿透。
1006,action_part_c_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,在那一小点连着高潮无数回后，{clitoris}的敏感度陡然跃上新台阶，青涩的{TargetName}好奇地想探明自己究竟还能被开发到什么地步，下一瞬便被一记远超以往的强绝顶狠狠掀翻。\n{clitoris}完全从包皮下暴露挺出，胀得发疼地剧烈搏动，年幼的下腹连续深抽，腰肢弓起又瘫软，双腿痉挛着夹紧。\n锐利到近乎痛楚的快感烧穿她稚嫩的神经，那小小一点竟被逼到如此地步，令她又迷乱又好奇地颤抖不止，涌出的爱液沾湿了大片腿根。
