cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

1000,action_part_u_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,单薄稚嫩的{TargetName}娇躯猛地弹起，{urethra}不受控制地连续痉挛，又尖又利的酥麻沿着极细的管道整根窜过，尖锐得像电流把这条纤细的通道一路烧穿。\n连番绝顶后那里的敏感度又攀上一个新台阶，这强烈的一记远超以往，几乎把她的意识冲垮。\n尿道口反复张合再也关不上，滚烫的尿液失禁般喷涌，混着爱液打湿了腿根。\n幼小的她不懂排泄之处为何迸出这样凶猛的东西，只能失神颤栗。
1001,action_part_u_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,{TargetName}尚未长开的身子剧烈一挺，{urethra}疯了似的连连抽搐，一股尖利的酥麻感顺着那条极窄的细管激射窜过，仿佛整根通道都被电流生生烧穿。\n在那里接连高潮太多次后，敏感度陡然拔高一截，这一记非常强的绝顶远远盖过从前的任何一次。\n尿道口一开一合止不住地痉挛，热烫的尿液不受控制地汩汩涌泄，量比往常多出许多，阴部也随之泛滥出大片爱液。\n年幼无知的她完全弄不明白身体为何会这样失控，懵懂地瘫软颤栗。
1002,action_part_u_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,娇小青涩的{TargetName}腰肢猛地深深弓起，{urethra}剧烈而失控地连续收缩，那种又尖又刺的快感沿着纤细的管道一路窜到脑门，锐利得几乎叫人承受不住。\n先前一连串绝顶把那里的敏感度顶上了新的台阶，如今这一波强烈的冲击彻底盖过了以往的绝顶。\n伴着完全失守的排泄感，滚热的尿液失禁般喷涌淌落，还夹着小幅潮吹般的爱液四溅。\n什么都不懂的她只觉一片茫然，任由稚嫩的身体不受控制地痉挛发抖。
1003,action_part_u_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,{TargetName}单薄的身板绷得笔直，{urethra}一波接一波地剧烈痉挛，尖锐的酥麻像利针沿着极细的通道飞速穿刺，混着再也憋不住的排泄感一齐炸开。\n那里被连续绝顶开发到敏感度更上一层，这非常强的一记远比普通绝顶要凶猛得多。\n尿道口失控地张合抽搐，灼热的尿液止不住地奔涌而出，量明显多过以往，还伴着阴部大量渗涌的爱液。\n幼小懵懂的她惊慌得说不出话，只能失神地颤抖着任其肆虐。
1004,action_part_u_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,稚气未脱的{TargetName}猛地一僵，{urethra}不受控制地连番抽紧又弹开，那股又尖又利的快感沿着细窄的管道整根窜过，锐利得仿佛要将这纤弱的通道烧穿。\n经过一连串绝顶的累积，敏感度攀上了新的高度，这一次的冲击强得远超从前任何一回。\n小腹下方剧烈抽搐，尿道口反复张合仿佛关不拢，热尿失禁般喷涌淋漓，量多得惊人。\n对性一无所知的她根本不懂这是什么，只能懵然失神地剧烈颤栗。

1005,action_part_u_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,连续绝顶了无数次之后，稚嫩的{TargetName}这条纤细通道的敏感度攀上了全新的台阶，如今稍受一点刺激便再也承受不住。\n积攒到极致的快感骤然炸开，又尖又利的酥麻刺痛沿着极窄的管道整根窜过，仿佛有电流把{urethra}生生烧穿。\n{urethra}剧烈而不受控制地连续痉挛，尿道口反复张合抽搐仿佛再也关不上，滚烫的尿液失禁般喷涌流淌，量远多于寻常。\n年幼却已懂得性知识的她，好奇又迷乱地承受着这份远超普通绝顶的强烈冲击。
1006,action_part_u_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,这条又细又窄的管道被逼着连续攀顶太多回，敏感度早已升上一个新的高度，青涩的{TargetName}此刻已经彻底守不住。\n一股极致尖锐的快感沿着{urethra}窜到脑门，尖利得近乎痛楚，像要把这条纤细的通道整根点燃。\n小腹下方剧烈抽搐，腰肢深深弓起，双腿失控地痉挛乱蹬，止不住的尿液伴着大股爱液喷涌而出，甚至溅起一小片潮吹。\n明明懂得这会带来什么，好奇心旺盛的少女却仍迷醉地迎接着这场比以往强烈太多的绝顶。
1007,action_part_u_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,经历了太多次连绵的顶点后，{urethra}的敏感度陡然跃上新的台阶，年幼的{TargetName}连这处排泄的地方都被开发到失了守。\n积蓄已久的快感一齐迸发，又尖又利的酥麻像电流般把这条极细的管道整根烧穿，尖锐到全身战栗。\n{urethra}不受控制地连番抽搐，尿道口张合个不停，温热的尿液毫无节制地淌落，混着完全失守的排泄感。\n虽已通晓性事，好奇的她仍在这远胜普通绝顶的强烈快意里失神颤抖。
