cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,str,int,str,str
0,0,0,0,1
口上配置数据,,,,
1000,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}将勃起的阴茎插入{TargetName}的口腔，在湿热的口腔内轻轻抽送，随后射出一股精液\n温热的白浊液体在{TargetName}的口腔内扩散，一部分顺着她的嘴角滑落\n{TargetName}感受到口腔内突然涌入的温热液体，眼神中闪过一丝惊讶，喉咙不自觉地做出吞咽动作\n{Name}轻抚着{TargetName}的头发，看着她吞咽的样子，内心涌起一股满足感\n
1001,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}扶着{TargetName}的后脑勺，将阴茎深入她的口腔，感受着口腔的柔软和温暖，随后射精\n白色的液体喷射在{TargetName}的口腔内壁上，有些顺着喉咙流入食道，有些则从嘴角溢出\n{TargetName}感受到口腔内突然涌入的温热液体，不由得微微皱眉，却依然保持着张嘴的姿势\n{Name}看着{TargetName}嘴角溢出的白浊，满足地叹了口气\n
1002,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}双手捧着{TargetName}的脸，将阴茎在她口腔中缓慢抽送，享受着舌头的触感，很快就达到了高潮\n精液从马眼喷射而出，射在{TargetName}的舌头和口腔顶部，形成小小的白色水洼\n{TargetName}感受到口腔中喷射的液体，舌头不自觉地舔舐着，眼神中带着复杂的情绪\n{Name}看着{TargetName}口中的精液，满意地点了点头\n
1003,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}轻轻抓住{TargetName}的头发，将阴茎插入她的口腔，在湿润温暖的环境中快速抽送，很快就达到了临界点\n随着一声低吟，{Name}射出一股精液，白浊的液体喷洒在{TargetName}的口腔内\n{TargetName}感受到口中的温热液体，眼神微微变化，喉咙轻轻蠕动着\n{Name}看着{TargetName}吞咽的动作，满足感油然而生\n
1004,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}让{TargetName}跪坐在地上，将勃起的阴茎送入她的口中，享受着她舌头的舔舐和口腔的吸吮，随后射出精液\n白色的液体在{TargetName}的口腔内扩散，有些顺着她的喉咙流入体内\n{TargetName}感受到口中突然涌入的液体，微微瞪大眼睛，却没有退缩\n{Name}轻抚{TargetName}的脸颊，看着她吞咽的样子，心中满是满足\n
1005,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}一手扶着{TargetName}的下巴，一手引导着自己的阴茎进入她的口腔，在温暖湿润的环境中抽送几下，随后射精\n精液喷射在{TargetName}的喉咙深处，一部分顺着食道流入胃中，一部分则在口腔内流动\n{TargetName}感受到喉咙深处涌入的液体，不由得做出吞咽动作，眼中闪过一丝复杂情绪\n{Name}看着{TargetName}吞咽的样子，满足地长舒一口气\n
1006,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}让{TargetName}伸出舌头，然后将阴茎放在她的舌面上轻轻摩擦，随后引导她含住，在口腔中轻轻抽送\n随着几次深入的插入，{Name}射出精液，白浊的液体填满了{TargetName}的口腔\n{TargetName}感受到口中温热的液体，舌头不自觉地舔舐着，喉咙做出吞咽动作\n{Name}看着{TargetName}含着精液的样子，心中涌起一股奇特的满足感\n
1007,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}轻轻按住{TargetName}的后脑，将阴茎深入她的口腔，感受着喉咙入口的紧致和舌头的柔软\n没多久，{Name}就忍不住射精，白色的液体喷洒在{TargetName}的喉咙深处\n{TargetName}感受到深处涌入的液体，不由得微微颤抖，喉咙不自觉地做出吞咽动作\n{Name}感受着{TargetName}喉咙的蠕动，满足地叹了口气\n
1008,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}双手扶着{TargetName}的头，将阴茎插入她的口腔，在湿润温暖的环境中缓慢抽送\n随着一阵快感，{Name}射出精液，白浊的液体在{TargetName}的口腔内扩散，一部分顺着嘴角滑落\n{TargetName}感受到口中的温热液体，舌头不自觉地舔舐着，眼神中带着复杂的情绪\n{Name}看着{TargetName}嘴角溢出的白浊，心中涌起一股成就感\n
1009,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}轻轻抬起{TargetName}的下巴，引导她张开嘴，然后将勃起的阴茎送入，在她的舌头上轻轻摩擦\n随着几次深入的抽送，{Name}射出精液，白色的液体填满了{TargetName}的口腔\n{TargetName}感受到口中温热的液体，眼神微微变化，喉咙轻轻蠕动着\n{Name}看着{TargetName}含着精液的样子，满足地点了点头\n
1010,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}让{TargetName}侧头，将阴茎从侧面插入她的口腔，感受着她柔软的舌头和温暖的口腔内壁\n随着快感的累积，{Name}射出精液，白浊的液体射在{TargetName}的口腔内\n{TargetName}感受到口中温热的液体，不由得微微皱眉，却也没有拒绝\n{Name}看着{TargetName}吞咽的样子，满足感油然而生\n
1011,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}双手捧着{TargetName}的脸，将阴茎慢慢推入她的口腔，感受着舌头的湿滑和口腔的温暖\n很快，{Name}就达到高潮，精液从马眼喷射而出，射在{TargetName}的舌头上和口腔内壁上\n{TargetName}感受到口中涌入的液体，眼神中闪过一丝惊讶，舌头不自觉地舔舐着\n{Name}看着{TargetName}品尝精液的样子，心中涌起一股满足感\n
1012,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}轻轻按住{TargetName}的后脑，将阴茎插入她的口腔，在温暖湿润的环境中缓慢抽送\n几次深呼吸后，{Name}射出精液，白浊的液体喷洒在{TargetName}的口腔内\n{TargetName}感受到口中的温热液体，眼神微微变化，喉咙自动地做出吞咽动作\n{Name}看着{TargetName}吞咽的样子，满意地点了点头\n
1013,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}让{TargetName}张开嘴，然后将勃起的阴茎轻轻放入，感受着她舌头的舔舐和口腔的包裹\n随着快感的累积，{Name}射出精液，白色的液体射在{TargetName}的舌头上\n{TargetName}感受到舌头上温热粘稠的液体，眼神中闪过一丝惊讶，却没有吐出\n{Name}看着{TargetName}品尝精液的样子，心中涌起一股满足感\n
1014,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}一手扶着{TargetName}的后脑勺，一手引导着自己的阴茎进入她的口腔，在温暖湿润的环境中抽送\n随着一声低吟，{Name}射出精液，白浊的液体喷洒在{TargetName}的口腔内\n{TargetName}感受到口中涌入的液体，微微睁大眼睛，喉咙不自觉地做出吞咽动作\n{Name}感受着{TargetName}喉咙的蠕动，满足地叹了口气\n
1015,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}让{TargetName}先用舌头舔湿自己的阴茎，然后将其插入她的口腔，在湿滑温暖的环境中抽送\n几次深入的插入后，{Name}射出精液，白色的液体填满了{TargetName}的口腔\n{TargetName}感受到口中温热的液体，舌头不自觉地舔舐着，眼神中带着复杂的情绪\n{Name}看着{TargetName}品尝精液的样子，满足地微笑着\n
1016,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}轻轻抬起{TargetName}的下巴，引导她张开嘴，然后将阴茎慢慢推入，感受着她舌头的湿滑和口腔的温暖\n随着快感的累积，{Name}射出精液，白浊的液体射在{TargetName}的口腔内\n{TargetName}感受到口中温热的液体，眼神微微变化，喉咙轻轻蠕动着\n{Name}看着{TargetName}吞咽的样子，心中涌起一股满足感\n
1017,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}双手扶着{TargetName}的头，将阴茎插入她的口腔，在湿润温暖的环境中缓慢抽送\n没多久，{Name}就达到高潮，精液从马眼喷射而出，射在{TargetName}的口腔内\n{TargetName}感受到口中涌入的液体，微微皱眉，却没有拒绝\n{Name}看着{TargetName}吞咽的样子，满足感油然而生\n
1018,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}让{TargetName}跪在地上，然后将勃起的阴茎放入她的口中，在湿润温暖的环境中轻轻抽送\n随着几次深入的插入，{Name}射出精液，白色的液体填满了{TargetName}的口腔\n{TargetName}感受到口中温热的液体，不由得瞪大眼睛，喉咙不自觉地做出吞咽动作\n{Name}看着{TargetName}吞咽的样子，满足地长舒一口气\n
1019,p_orgasm_small,0,CVP_A1_ShootPos|B2_E_1,\n{Name}轻轻抓住{TargetName}的头发，将阴茎插入她的口腔，在湿润温暖的环境中快速抽送\n随着快感的累积，{Name}射出精液，白浊的液体喷洒在{TargetName}的口腔内，一部分顺着她的嘴角滑落\n{TargetName}感受到口中的温热液体，舌头不自觉地舔舐着，眼神中闪过一丝复杂的情绪\n{Name}看着{TargetName}嘴角溢出的白浊，心满意足\n
1020,p_orgasm_normal,0,CVP_A1_ShootPos|B2_E_1,\n{Name}双手固定住{TargetName}的头，将胀大的阴茎深入她的口腔，在湿热的环境中快速抽送，随后射出大量精液\n浓稠的白色液体如同洪水般涌入{TargetName}的口腔，完全填满了她的嘴巴，甚至从嘴角和鼻孔溢出\n{TargetName}感受到口腔被大量温热液体瞬间充满，不由得瞪大眼睛，发出呜咽声，喉咙急促地做着吞咽动作\n{Name}看着{TargetName}被精液呛到的样子，心中涌起一股强烈的征服欲\n
1021,p_orgasm_normal,0,CVP_A1_ShootPos|B2_E_1,\n{Name}抓住{TargetName}的头发，将勃起的阴茎深入她的口腔，甚至顶到喉咙深处，在湿热的环境中抽送几下后射出大量精液\n浓稠的白浊液体喷涌而出，瞬间填满了{TargetName}的口腔和喉咙，大量液体甚至从她的嘴角溢出，流到胸前\n{TargetName}感受到喉咙和口腔内大量温热粘稠的液体，呼吸变得困难，眼中闪过一丝惊恐，却无法挣脱\n{Name}紧紧抓着{TargetName}的头发，感受着她喉咙的蠕动，满足感达到顶峰\n
1022,p_orgasm_normal,0,CVP_A1_ShootPos|B2_E_1,\n{Name}让{TargetName}张开嘴，将胀大的阴茎插入她的口腔，在温暖湿润的环境中快速抽送\n随着一声低吼，{Name}射出大量精液，浓稠的白色液体如同喷泉般涌入{TargetName}的口腔，完全填满了她的嘴巴，甚至从嘴角溢出\n{TargetName}感受到口腔瞬间被大量温热液体充满，不由得瞪大眼睛，喉咙急促地做着吞咽动作，却无法完全吞下\n{Name}看着{TargetName}努力吞咽却仍有精液从嘴角溢出的样子，心中涌起一股强烈的满足感\n
1023,p_orgasm_normal,0,CVP_A1_ShootPos|B2_E_1,\n{Name}双手按住{TargetName}的头，将胀大的阴茎插入她的口腔，在湿热的环境中快速抽送\n几次深入的抽送后，{Name}射出大量精液，浓稠的白浊液体瞬间填满了{TargetName}的口腔，甚至从嘴角和鼻孔溢出\n{TargetName}感受到口腔被大量温热液体充满，呼吸变得困难，眼中闪过一丝惊恐，却无法挣脱\n{Name}紧紧按着{TargetName}的头，看着她被精液填满的嘴巴，心中涌起一股强烈的征服欲\n
