cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,


1000,action_part_s_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,稚嫩的{TargetName}整片皮肤蓦地掀起猛烈的战栗，成片的酥麻如电流般窜过每一寸肌肤，强度远超以往任何一次。\n连续被玩到高潮许多次后，那本无感的皮肤竟被开发得如此敏感，如今连最轻的碰触都能引发全身剧烈颤栗。\n泛红发烫的肌肤上汗水如瀑布般涌落，青涩的下体也反射性地狂涌爱液。\n年幼无知的她根本不懂身体为何这样，只能在陌生而汹涌的强绝顶里懵懂地失神颤抖。
1001,action_part_s_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,一波远比从前更凶猛的快感成片漫过{TargetName}稚嫩的皮肤，酥麻如潮水般涌遍全身，激得娇小的身子剧烈痉挛。\n那被反复调教到敏感的皮肤早已越过从前的极限，这一次的强绝顶烈到连一寸肌肤都难以承受。\n汗水从泛红的毛孔里大量沁出淌满周身，稚嫩的花穴还失禁般涌出大量爱液。\n对性事一无所知的她只觉得有什么可怕的东西正把自己冲垮，却根本说不清那究竟是什么。
1002,action_part_s_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,{TargetName}那本不该有性感的皮肤忽然爆发出滔天般的战栗，酥麻从表面一路成片扩散，比普通高潮猛烈太多。\n经过一次次绝顶的累积，青涩肌肤的敏感度攀上了新的台阶，如今轻轻一碰便能让整个人剧烈颤栗失控。\n发烫的皮肤上汗珠成串滚落，稚嫩下体也不受控地喷涌出大量爱液。\n懵懂的她惊慌地睁大眼，完全不明白这汹涌的快感意味着什么，更不知这样下去会招致怎样的后果。
1003,action_part_s_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,强烈到近乎失控的酥麻猛地席卷{TargetName}的整片皮肤，如无数电流窜过肌肤表面，把稚嫩的身子彻底淹没。\n被连续玩弄到高潮多次的皮肤敏感度已陡然提升，这一次的绝顶远远盖过了之前所有的快感峰值。\n泛红滚烫的肌肤大量渗汗淌落，青涩的花穴狂涌爱液甚至伴着小幅潮吹。\n她根本不懂这具已能孕育生命的身体为何会如此，只是在陌生的极致快感中懵懂无措地颤栗着。
1004,action_part_s_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_1,{TargetName}成片的皮肤蓦然翻涌起一阵猛烈的酥麻战栗，快感如电流般成片窜过每一寸肌肤，强烈得叫人无从招架。\n那本无性感的皮肤被反复开发后敏感度更上一层，如今最轻微的触碰都能激起全身失控的颤栗。\n发烫泛红的肌肤汗如雨下淌满周身，稚嫩下体亦反射性地涌出大股爱液。\n年幼而对性懵懂的她只能失神地承受这陌生汹涌的强绝顶，全然不解自己身上究竟发生了什么。

1005,action_part_s_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,还未成年的{TargetName}那具稚嫩身体早被反复调教得离谱敏感，连普通皮肤都成了能被玩到绝顶的性感带。\n这次强绝顶远比以往的普通绝顶更凶，如电流般的酥麻从皮肤成片窜过、烧遍全身，敏感度攀上新台阶后连最轻的触碰都叫她剧烈颤栗。\n泛红发烫的肌肤大量沁出汗水淌落，花穴反射性地狂涌爱液。\n对性满怀好奇的她心里清楚被开发成这样意味着什么，却只顾着在这非常强的绝顶里失神发抖。
1006,action_part_s_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,{TargetName}年幼的身子猛地绷成一片颤栗，被抚弄的皮肤成片爆开酥麻，如潮水般漫过她每一寸肌肤。\n这已不是先前那种普通绝顶，而是连续高潮多次、敏感度拔高一档后迎来的非常强的绝顶，强烈到连最轻的碰触都令她承受不住。\n通红滚烫的皮肤如瀑布般涌出汗水，下体也止不住地喷溅爱液，甚至伴着小幅潮吹。\n虽未成年，她却懂得这份快感的含义，好奇又贪恋地任由这股洪流将自己冲得神志涣散。
1007,action_part_s_orgasm_strong_A,0,CVP_A2_T|6_E_0&CVP_A2_T|7_E_1&CVP_A2_T|222_E_0,被开发到反常敏感的皮肤在这一刻迎来了远超普通绝顶的强绝顶，{TargetName}稚嫩的身体成片战栗起来。\n酥麻如电流般一波接一波窜过肌肤，敏感度升上新台阶后，连风一般的轻触都能把她烧得从皮肤一路酥到脑髓。\n汗水从泛红发烫的毛孔大量渗出、淌满全身，花穴同时狂涌出大量爱液。\n未成年却早已懂事的她，怀着对性的好奇，在这非常强的绝顶里彻底失了神。
