cid,behavior_id,adv_id,premise,context
口上id,触发口上的行为id,口上限定的剧情npcid,前提id,口上内容
str,int,int,str,str
0,0,0,0,1
口上配置数据,,,,
0,430,0,sys_0,{Name}毫不留情地把阴茎用力插入{TargetName}的喉咙，感受着{TargetName}喉咙如同阴道般的紧致，开始快速地抽插
1,430,0,sys_0,{Name}将自己的肉棒用力地压上了{TargetName}的舌根，在温暖湿滑的裹挟下，咸腥的味道在{TargetName}的喉咙中被硕大的龟头涂抹得到处都是。
2,430,0,sys_0,{TargetName}过分紧致的喉关被{Name}滚烫的阴茎无情地突破，反胃恶心的感觉反而为{Name}泄欲的过程带来了别样的阻滞快感，引得{Name}加快了抽插的速度。
3,430,0,sys_0,{Name}的肉棒直冲冲地顶住了{TargetName}还在奋力抵抗的喉头，然而在{TargetName}本人的意志下，{Name}的肉棒轻而易举地深入了{TargetName}的喉咙，肆意地释放着自己的欲望。
4,430,0,sys_0,{TargetName}强行克制了来自本能的恶心，顺从着自己的欲望将{Name}的阴茎完全吞没，生理性的泪水从眼角流下，模糊了{TargetName}精致的妆容。\n但{TargetName}忽略了这一切，专注于服侍着{Name}挺立的肉棒。
5,430,0,sys_0,{TargetName}的喉咙被{Name}粗壮的阴茎撑到极限，每一次深入都让她感到窒息，但她还是努力放松喉咙，让{Name}能够更深入地享受她的服务，同时眼泪不由自主地从她绯红的脸颊流下，透露出一种无言的顺从。
6,430,0,sys_0,{Name}紧紧抓住{TargetName}的秀发，强制性地控制着抽插的节奏，而{TargetName}只能呜咽着接受这一切，她的喉咙被摩擦得发热，咽反射让她不断地收缩喉部肌肉，这反而给{Name}带来了更强烈的快感。
7,430,0,sys_0,{TargetName}的嘴唇已经被{Name}的动作摩擦得微微发肿，但她仍然尽力张开，让{Name}能够更轻松地进出她的喉咙，每当{Name}的阴茎顶到最深处时，她都会发出一声短促的呻吟，那是痛苦与快感交织的声音。
8,430,0,sys_0,{Name}的阴茎在{TargetName}的口腔中肆意进出，每一次深入都能感受到{TargetName}喉咙不由自主的紧缩，那种被紧紧包裹的感觉让{Name}欲罢不能，而{TargetName}则竭力控制着自己的呼吸，适应着这种侵入。
9,430,0,sys_0,{TargetName}的嘴巴被{Name}的阴茎填满，津液不受控制地从嘴角溢出，顺着她精致的下巴滴落，她的眼神已经有些迷离，但仍然努力地配合着{Name}的节奏，想要给予{Name}最大的满足。
10,430,0,sys_0,{Name}的手掌按在{TargetName}的后脑勺上，阴茎深深地插入她的喉咙，{TargetName}的鼻子几乎碰到了{Name}的耻毛，强烈的窒息感让她的脸变得通红，但她没有反抗，而是用舌头轻轻舔舐着能触及的部分。
11,430,0,sys_0,{TargetName}的喉咙被{Name}的阴茎撑开，她感到一阵阵的不适，但看到{Name}享受的表情，她还是尽力忍耐着，甚至开始主动摆动头部，让{Name}的阴茎在她喉咙深处进出，以带给{Name}更多的快感。
12,430,0,sys_0,{Name}抓住{TargetName}的头发，将她的头部固定，然后开始猛烈抽插，{TargetName}的眼睛睁得大大的，喉咙被强行打开的感觉让她想要呕吐，但她只能发出含糊不清的呜咽声，任由{Name}使用她的喉咙。
13,430,0,sys_0,{TargetName}跪在{Name}的双腿间，努力地吞吐着那根粗壮的肉棒，每当龟头深入喉咙时，她都会感到一阵窒息，但她已经学会了在这短暂的间隙中换气，以便能够更长时间地服侍{Name}，给予{Name}更多的愉悦。
14,430,0,sys_0,{Name}感受着{TargetName}喉咙紧致的包裹，每一次深入都能感受到她喉咙的蠕动，这种刺激让{Name}忍不住加快了速度，而{TargetName}则尽力放松自己，适应着这种节奏，尽管生理性的泪水已经模糊了她的视线。
15,430,0,sys_0,{TargetName}的喉咙被{Name}的阴茎深深插入，那种被完全填满的感觉让她有些窒息，但同时也带来了一种奇妙的满足感，她用手扶着{Name}的大腿，让自己能够更好地稳定身体，承受着{Name}的每一次冲击。
16,430,0,sys_0,{Name}的阴茎在{TargetName}的喉咙中进出，每一次抽插都让{TargetName}的喉结上下滑动，看着{TargetName}因缺氧而微微泛红的脸颊，{Name}感到一种强烈的征服欲，而{TargetName}则用眼神传达着她的顺从与奉献。
17,430,0,sys_0,{TargetName}的喉咙已经适应了{Name}阴茎的形状，但每一次深入仍然让她感到一阵不适，她的手指不自觉地抓紧了{Name}的衣物，但她没有退缩，而是努力地配合着{Name}的节奏，希望能给{Name}带来更多的快感。
18,430,0,sys_0,{Name}的手指插入{TargetName}的发丝中，控制着她的头部运动，而{TargetName}则尽力放松喉咙，让{Name}的阴茎能够更顺畅地进出，尽管这样做会让她感到一阵阵的恶心，但看到{Name}满足的表情，她觉得这一切都是值得的。
19,430,0,sys_0,{TargetName}的口腔被{Name}的阴茎塞得满满的，每一次抽插都让她的喉咙感到不适，但她已经学会了在{Name}稍微退出时深吸一口气，然后在{Name}再次深入时放松喉咙，这样的技巧让她能够更好地服侍{Name}，尽管这依然很困难。
